,G,Length
260,galvanotropism,14
261,galwes,6
262,gamashes,8
263,gamba,5
264,gambadoes,9
265,gambeson,8
266,gambet,6
267,gambier,7
268,gambison,8
269,gambist,7
270,gambit,6
271,gambled,7
272,gambling,8
273,gamble,6
274,gambler,7
275,gamboge,7
276,gambogian,9
277,gambogic,8
278,gambol,6
279,gamboled,8
280,gambolled,9
281,gamboling,9
282,gambolling,10
283,gambrel,7
284,gambroon,8
285,game,4
286,gamed,5
287,gaming,6
288,gamecock,8
289,gameful,7
290,gamekeeper,10
291,gameless,8
292,gamely,6
293,gameness,8
294,gamesome,8
295,gamester,8
296,gamic,5
297,gamin,5
298,gamma,5
299,gammadion,9
300,gammer,6
301,gammon,6
302,gammoned,8
303,gammoning,9
304,gamogenesis,11
305,gamogenetic,11
306,gamomorphism,12
307,gamopetalous,12
308,gamophyllous,12
309,gamosepalous,12
310,gamut,5
311,gamy,4
312,gan,3
313,ganch,5
314,gander,6
315,gane,4
316,ganesa,6
317,gang,4
318,ganger,6
319,gangetic,8
320,gangion,7
321,gangliac,8
322,ganglial,8
323,gangliate,9
324,gangliated,10
325,gangliform,10
326,ganglioform,11
327,ganglia,7
328,ganglions,9
329,ganglion,8
330,ganglionary,11
331,ganglionic,10
332,gangrel,7
333,gangrenate,10
334,gangrene,8
335,gangrened,9
336,gangrening,10
337,gangrenescent,13
338,gangrenous,10
339,gangue,6
340,gangway,7
341,ganil,5
342,ganister,8
343,gannister,9
344,ganja,5
345,gannet,6
346,ganocephala,11
347,ganocephalous,13
348,ganoid,6
349,ganoidal,8
350,ganoidei,8
351,ganoidian,9
352,ganoine,7
353,gansa,5
354,gantlet,7
355,gantline,8
356,gantlope,8
357,gantry,6
358,ganza,5
359,gaol,4
360,gaoler,6
361,gap,3
362,gaped,5
363,gaping,6
364,gape,4
365,gaper,5
366,gapeseed,8
367,gapesing,8
368,gapeworm,8
369,gapingstock,11
370,gar,3
371,garancin,8
372,garb,4
373,garbage,7
374,garbed,6
375,garbel,6
376,garbled,7
377,garbling,8
378,garble,6
379,garbler,7
380,garboard,8
381,garboil,7
382,garcinia,8
383,gard,4
384,gardant,7
385,garden,6
386,gardened,8
387,gardening,9
388,gardener,8
389,gardenia,8
390,gardenless,10
391,gardenly,8
392,gardenship,10
393,gardon,6
394,gardyloo,8
395,gare,4
396,garefowl,8
397,garfish,7
398,gargalize,9
399,garganey,8
400,gargantuan,10
401,gargarism,9
402,gargarize,9
403,garget,6
404,gargil,6
405,gargle,6
406,garggled,8
407,gargling,8
408,gargol,6
409,gargoulette,11
410,gargoyle,8
411,gargyle,7
412,garibaldi,9
413,garish,6
414,garland,7
415,garlanded,9
416,garlanding,10
417,garlandless,11
418,garlic,6
419,garlicky,8
420,garment,7
421,garmented,9
422,garmenture,10
423,garner,6
424,garnered,8
425,garnering,9
426,garnet,6
427,garnetiferous,13
428,garnierite,10
429,garnished,9
430,garnishing,10
431,garnish,7
432,garnishee,9
433,garnisheed,10
434,garnisheeing,12
435,garnisher,9
436,garnishment,11
437,garniture,9
438,garookuh,8
439,garous,6
440,garpike,7
441,garran,6
442,garret,6
443,garreted,8
444,garreteer,9
445,garreting,9
446,garrison,8
447,garrisoned,10
448,garrisoning,11
449,garron,6
450,garrot,6
451,garrote,7
452,garroted,8
453,garroting,9
454,garroter,8
455,garrulity,9
456,garrulous,9
457,garrupa,7
458,garter,6
459,gartered,8
460,gartering,9
461,garth,5
462,garum,5
463,garvie,6
464,gases,5
465,gas,3
466,gasalier,8
467,gascoines,9
468,gascon,6
469,gasconade,9
470,gasconaded,10
471,gasconading,11
472,gasconader,10
473,gascoynes,9
474,gaseity,7
475,gaseous,7
476,gashed,6
477,gashing,7
478,gash,4
479,gashful,7
480,gasification,12
481,gasiform,8
482,gasified,8
483,gasifying,9
484,gasify,6
485,gasket,6
486,gaskins,7
487,gaslight,8
488,gasogen,7
489,gasolene,8
490,gasolier,8
491,gasoline,8
492,gasometer,9
493,gasometric,10
494,gasometrical,12
495,gasometry,9
496,gasoscope,9
497,gasped,6
498,gasping,7
499,gasp,4
500,gaspereau,9
501,gasserian,9
502,gassing,7
503,gassy,5
504,gast,4
505,gaster,6
506,gasteromycetes,14
507,gasteropod,10
508,gasteropoda,11
509,gasteropodous,13
510,gastful,7
511,gastly,6
512,gastight,8
513,gastness,8
514,gastornis,9
515,gastraea,8
516,gastralgia,10
517,gastric,7
518,gastriloquist,13
519,gastriloquous,13
520,gastriloquy,11
521,gastritis,9
522,gastrocnemius,13
523,gastrocolic,11
524,gastrodisc,10
525,gastroduodenal,14
526,gastroduodenitis,16
527,gastroelytrotomy,16
528,gastroenteric,13
529,gastroenteritis,15
530,gastroepiploic,14
531,gastrohepatic,13
532,gastrohysterotomy,17
533,gastrointestinal,16
534,gastrolith,10
535,gastrology,10
536,gastromalacia,13
537,gastromancy,11
538,gastromyces,11
539,gastromyth,10
540,gastronome,10
541,gastronomer,11
542,gastronomic,11
543,gastronomical,13
544,gastronomist,12
545,gastronomy,10
546,gastrophrenic,13
547,gastropneumatic,15
548,gastropod,9
549,gastropoda,10
550,gastropodous,12
551,gastroraphy,11
552,gastroscope,11
553,gastroscopic,12
554,gastroscopy,11
555,gastrosplenic,13
556,gastrostege,11
557,gastrostomy,11
558,gastrotomy,10
559,gastrotricha,12
560,gastrotrocha,12
561,gastrovascular,14
562,gastrulae,9
563,gastrula,8
564,gastrulation,12
565,gastrura,8
566,gastrurous,10
567,gat,3
568,gate,4
569,gated,5
570,gatehouse,9
571,gateless,8
572,gateman,7
573,gatepost,8
574,gateway,7
575,gatewise,8
576,gathered,8
577,gathering,9
578,gather,6
579,gatherable,10
580,gatherer,8
581,gauche,6
582,gaucherie,9
583,gauchos,7
584,gaucho,6
585,gaud,4
586,gauded,6
587,gauding,7
588,gaudery,7
589,gaudful,7
590,gaudily,7
591,gaudiness,9
592,gaudish,7
593,gaudless,8
594,gaudy,5
595,gaudies,7
596,gaudygreen,10
597,gauffer,7
598,gauffering,10
599,gauffre,7
600,gauged,6
601,gauging,7
602,gauge,5
603,gaugeable,9
604,gauger,6
605,gaul,4
606,gaulish,7
607,gault,5
608,gaultheria,10
609,gaunt,5
610,gauntlet,8
611,gauntletted,11
612,gauntly,7
613,gauntree,8
614,gauntry,7
615,gaur,4
616,gaure,5
617,gauze,5
618,gauziness,9
619,gauzy,5
620,gave,4
621,gavel,5
622,gavelet,7
623,gavelkind,9
624,gaveloche,9
625,gavelock,8
626,gaverick,8
627,gaviae,6
628,gavial,6
629,gavot,5
630,gawby,5
631,gawk,4
632,gawky,5
633,gawn,4
634,gawntree,8
635,gay,3
636,gayal,5
637,gaydiang,8
638,gayeties,8
639,gayety,6
640,gaylussite,10
641,gayly,5
642,gayne,5
643,gayness,7
644,gaysome,7
645,gazed,5
646,gazing,6
647,gaze,4
648,gazeebo,7
649,gazeful,7
650,gazehound,9
651,gazel,5
652,gazelle,7
653,gazement,8
654,gazer,5
655,gazet,5
656,gazette,7
657,gazetted,8
658,gazetting,9
659,gazetteer,9
660,gazingstock,11
661,gazogene,8
662,gazon,5
663,geal,4
664,gean,4
665,geanticlinal,12
666,gear,4
667,geared,6
668,gearing,7
669,geason,6
670,geat,4
671,gecarcinian,11
672,geck,4
673,geckoes,7
674,gecko,5
675,geckotian,9
676,ged,3
677,gedd,4
678,geed,4
679,geeing,6
680,gee,3
681,geer,4
682,geering,7
683,geese,5
684,geest,5
685,geet,4
686,geez,4
687,gehenna,7
688,geic,4
689,gein,4
690,geitonogamy,11
691,gelable,7
692,gelada,6
693,gelastic,8
694,gelatification,14
695,gelatigenous,12
696,gelatin,7
697,gelatine,8
698,gelatinated,11
699,gelatinating,12
700,gelatinate,10
701,gelatination,12
702,gelatiniferous,14
703,gelatiniform,12
704,gelatinization,14
705,gelatinize,10
706,gelatinous,10
707,gelation,8
708,geld,4
709,gelded,6
710,gelding,7
711,geldable,8
712,gelder,6
713,gelid,5
714,gelidity,8
715,gelidly,7
716,gelidness,9
717,gelly,5
718,geloscopy,9
719,gelose,6
720,gelsemic,8
721,gelsemine,9
722,gelseminic,10
723,gelsemium,9
724,gelt,4
725,gem,3
726,gemmed,6
727,gemming,7
728,gemara,6
729,gemaric,7
730,gemarist,8
731,gemel,5
732,geminal,7
733,geminate,8
734,gemination,10
735,gemini,6
736,geminiflorous,13
737,geminous,8
738,geminy,6
739,gemitores,9
740,gemmae,6
741,gemma,5
742,gemmaceous,10
743,gemmary,7
744,gemmate,7
745,gemmated,8
746,gemmation,9
747,gemmeous,8
748,gemmiferous,11
749,gemmification,13
750,gemmiflorate,12
751,gemminess,9
752,gemmipara,9
753,gemmipares,10
754,gemmiparity,11
755,gemmiparous,11
756,gemmosity,9
757,gemmulation,11
758,gemmule,7
759,gemmuliferous,13
760,gemmy,5
761,gemote,6
762,gems,4
763,gemsbok,7
764,gemul,5
765,gena,4
766,genappe,7
767,gendarmes,9
768,gendarme,8
769,gendarmery,10
770,gender,6
771,gendered,8
772,gendering,9
773,genderless,10
774,geneagenesis,12
775,genealogic,10
776,genealogical,12
777,genealogist,11
778,genealogize,11
779,genealogies,11
780,genealogy,9
781,genearch,8
782,genera,6
783,generability,12
784,generable,9
785,general,7
786,generalia,9
787,generalissimo,13
788,generalities,12
789,generality,10
790,generalizable,13
791,generalization,14
792,generalized,11
793,generalizing,12
794,generalize,10
795,generalizer,11
796,generally,9
797,generalness,11
798,generalship,11
799,generalty,9
800,generant,8
801,generated,9
802,generating,10
803,generate,8
804,generation,10
805,generative,10
806,generator,9
807,generatrices,12
808,generatrixes,12
809,generatrix,10
810,generic,7
811,generical,9
812,generically,11
813,genericalness,13
814,generification,14
815,generosity,10
816,generous,8
817,genesial,8
818,genesiolgy,10
819,genesis,7
820,genet,5
821,genette,7
822,genethliac,10
823,genethliacal,12
824,genethliacs,11
825,genethlialogy,13
826,genethliatic,12
827,genetic,7
828,genetical,9
829,genetically,11
830,geneva,6
831,genevan,7
832,genevanism,10
833,genevese,8
834,genial,6
835,geniality,9
836,genially,8
837,genialness,10
838,genian,6
839,geniculate,10
840,geniculated,11
841,geniculating,12
842,geniculation,12
843,genie,5
844,genio,5
845,geniohyoid,10
846,genipap,7
847,genista,7
848,genital,7
849,genitals,8
850,geniting,8
851,genitival,9
852,genitive,8
853,genitocrural,12
854,genitor,7
855,genitourinary,13
856,geniture,8
857,geniuses,8
858,genii,5
859,genius,6
860,genoese,7
861,genouillere,11
862,genre,5
863,gentes,6
864,gens,4
865,gent,4
866,genteel,7
867,genteelish,10
868,genteelly,9
869,genteelness,11
870,genterie,8
871,gentrie,7
872,gentian,7
873,gentianaceous,13
874,gentianella,11
875,gentianic,9
876,gentianine,10
877,gentianose,10
878,gentil,6
879,gentile,7
880,gentilesse,10
881,gentilish,9
882,gentilism,9
883,gentilitial,11
884,gentilitious,12
885,gentility,9
886,gentilize,9
887,gentilly,8
888,gentiopikrin,12
889,gentisin,8
890,gentle,6
891,gentlefolk,10
892,gentlefolks,11
893,gentlemen,9
894,gentleman,9
895,gentlemanhood,13
896,gentlemanlike,13
897,gentlemanly,11
898,gentlemanliness,15
899,gentlemanship,13
900,gentleness,10
901,gentleship,10
902,gentlesse,9
903,gentlewomen,11
904,gentlewoman,11
905,gently,6
906,gentoos,7
907,gentoo,6
908,gentry,6
909,genty,5
910,genua,5
911,genu,4
912,genuflected,11
913,genuflecting,12
914,genuflect,9
915,genuflection,12
916,genuine,7
917,genus,5
918,genys,5
919,geocentric,10
920,geocentrical,12
921,geocentrically,14
922,geocronite,10
923,geocyclic,9
924,geode,5
925,geodephagous,12
926,geodesic,8
927,geodesical,10
928,geodesist,9
929,geodesy,7
930,geodetic,8
931,geodetical,10
932,geodetically,12
933,geodetics,9
934,geodiferous,11
935,geoduck,7
936,geognosis,9
937,geognost,8
938,geognostic,10
939,geognostical,12
940,geognosy,8
941,geogonic,8
942,geogonical,10
943,geogony,7
944,geographer,10
945,geographic,10
946,geographical,12
947,geographically,14
948,geographies,11
949,geography,9
950,geolatry,8
951,geologer,8
952,geologian,9
953,geologic,8
954,geological,10
955,geologically,12
956,geologist,9
957,geologized,10
958,geologizing,11
959,geologize,9
960,geologies,9
961,geology,7
962,geomalism,9
963,geomancer,9
964,geomancy,8
965,geomantic,9
966,geomantical,11
967,geometer,8
968,geometral,9
969,geometric,9
970,geometrical,11
971,geometrically,13
972,geometrician,12
973,geometrid,9
974,geometrized,11
975,geometrizing,12
976,geometrize,10
977,geometries,10
978,geometry,8
979,geophagism,10
980,geophagist,10
981,geophagous,10
982,geophila,8
983,geoponic,8
984,geoponical,10
985,geoponics,9
986,georama,7
987,geordie,7
988,george,6
989,georgian,8
990,georgic,7
991,georgical,9
992,geoscopy,8
993,geoselenic,10
994,geostatic,9
995,geosynclinal,12
996,geothermometer,14
997,geotic,6
998,geotropic,9
999,geotropism,10
1000,gephyrea,8
1001,gephyrean,9
1002,gephyreoid,10
1003,gepound,7
1004,gerah,5
1005,geraniaceous,12
1006,geraniine,9
1007,geranine,8
1008,geranium,8
1009,gerant,6
1010,gerbe,5
1011,gerbil,6
1012,gerbille,8
1013,gerboa,6
1014,gere,4
1015,gerent,6
1016,gerfalcon,9
1017,gerful,6
1018,gerland,7
1019,gerlond,7
1020,gerlind,7
1021,germ,4
1022,germain,7
1023,german,6
1024,germans,7
1025,germander,9
1026,germane,7
1027,germanic,8
1028,germanism,9
1029,germanium,9
1030,germanization,13
1031,germanized,10
1032,germanizing,11
1033,germanize,9
1034,germarium,9
1035,germens,7
1036,germina,7
1037,germen,6
1038,germicidal,10
1039,germicide,9
1040,germinal,8
1041,germinant,9
1042,germinated,10
1043,germinating,11
1044,germinate,9
1045,germination,11
1046,germinative,11
1047,germiparity,11
1048,germless,8
1049,germogen,8
1050,germule,7
1051,gern,4
1052,gerner,6
1053,gerocomia,9
1054,gerocomical,11
1055,gerocomy,8
1056,gerontes,8
1057,gerontocracy,12
1058,geropigia,9
1059,gerrymandered,13
1060,gerrymandering,14
1061,gerrymander,11
1062,gerund,6
1063,gerundial,9
1064,gerundive,9
1065,gerundively,11
1066,gery,4
1067,gesling,7
1068,gesse,5
1069,gest,4
1070,gestant,7
1071,gestation,9
1072,gestatory,9
1073,geste,5
1074,gestic,6
1075,gesticulated,12
1076,gesticulating,13
1077,gesticulate,11
1078,gesticulation,13
1079,gesticulator,12
1080,gesticulatory,13
1081,gestour,7
1082,gestural,8
1083,gesture,7
1084,gestured,8
1085,gesturing,9
1086,gestureless,11
1087,gesturement,11
1088,get,3
1089,got,3
1090,gotten,6
1091,getting,7
1092,geten,5
1093,geth,4
1094,gettable,8
1095,getter,6
1096,getterup,8
1097,gewgaw,6
1098,geyser,6
1099,geyserite,9
1100,gharry,6
1101,ghast,5
1102,ghastful,8
1103,ghastliness,11
1104,ghastly,7
1105,ghastness,9
1106,ghat,4
1107,ghaut,5
1108,ghawazi,7
1109,ghee,4
1110,gherkin,7
1111,ghess,5
1112,ghetto,6
1113,ghibelline,10
1114,ghole,5
1115,ghost,5
1116,ghostfish,9
1117,ghostless,9
1118,ghostlike,9
1119,ghostliness,11
1120,ghostly,7
1121,ghostology,10
1122,ghoul,5
1123,ghoulish,8
1124,ghyll,5
1125,giallolino,10
1126,giambeux,8
1127,giant,5
1128,giantess,8
1129,giantize,8
1130,giantly,7
1131,giantry,7
1132,giantship,9
1133,giaour,6
1134,gib,3
1135,gibbed,6
1136,gibbing,7
1137,gibbartas,9
1138,gibber,6
1139,gibbered,8
1140,gibbering,9
1141,gibberish,9
1142,gibbet,6
1143,gibbeted,8
1144,gibbeting,9
1145,gibbier,7
1146,gibbon,6
1147,gibbose,7
1148,gibbostity,10
1149,gibbous,7
1150,gibbsite,8
1151,gibed,5
1152,gibing,6
1153,gibe,4
1154,gibel,5
1155,giber,5
1156,gibfish,7
1157,gibingly,8
1158,giblet,6
1159,giblets,7
1160,gibstaff,8
1161,gid,3
1162,giddily,7
1163,giddiness,9
1164,giddy,5
1165,gie,3
1166,gieseckite,10
1167,gif,3
1168,giffgaff,8
1169,giffy,5
1170,gift,4
1171,gifted,6
1172,gifting,7
1173,giftedness,10
1174,gig,3
1175,gigantean,9
1176,gigantesque,11
1177,gigantic,8
1178,gigantical,10
1179,giganticide,11
1180,gigantine,9
1181,gigantology,11
1182,gigantomachy,12
1183,gide,4
1184,guide,5
1185,gigeria,7
1186,gigerium,8
1187,gigget,6
1188,giggled,7
1189,giggling,8
1190,giggle,6
1191,giggler,7
1192,giggly,6
1193,giggot,6
1194,giggyng,7
1195,giglot,6
1196,giglet,6
1197,gigot,5
1198,gilded,6
1199,gilt,4
1200,gilding,7
1201,gild,4
1202,gildale,7
1203,gilden,6
1204,gilder,6
1205,guilding,8
1206,gile,4
1207,gill,4
1208,gillhouse,9
1209,gillian,7
1210,gillyflower,11
1211,gilour,6
1212,gilse,5
1213,gilthead,8
1214,giltif,6
1215,gilttail,8
1216,gim,3
1217,gimbal,6
1218,gimbals,7
1219,gimblet,7
1220,gimcrack,8
1221,gimlet,6
1222,gimleted,8
1223,gimleting,9
1224,gimmal,6
1225,gommal,6
1226,gimmer,6
1227,gimmor,6
1228,gimp,4
1229,gin,3
1230,gon,3
1231,gun,3
1232,ginning,7
1233,ginned,6
1234,ging,4
1235,gingal,6
1236,ginger,6
1237,gingerbread,11
1238,gingerly,8
1239,gingerness,10
1240,gingham,7
1241,ginging,7
1242,gingival,8
1243,gingle,6
1244,ginglyform,10
1245,ginglymodi,10
1246,ginglymoid,10
1247,ginglymoidal,12
1248,ginglymi,8
1249,ginglymus,9
1250,ginhouse,8
1251,ginkgoes,8
1252,ginkgo,6
1253,ginn,4
1254,ginnee,6
1255,ginnet,6
1256,ginseng,7
1257,ginshop,7
1258,gip,3
1259,gipoun,6
1260,gipser,6
1261,gipsire,7
1262,gipsy,5
1263,gipsyism,8
1264,giraffe,7
1265,girandole,9
1266,gird,4
1267,girt,4
1268,girded,6
1269,girding,7
1270,girder,6
1271,girdle,6
1272,girdled,7
1273,girdling,8
1274,girdler,7
1275,girdlestead,11
1276,gire,4
1277,girkin,6
1278,girl,4
1279,girlhood,8
1280,girlish,7
1281,girlond,7
1282,girn,4
1283,girondist,9
1284,girrock,7
1285,girted,6
1286,girting,7
1287,girth,5
1288,girtline,8
1289,gisarm,6
1290,gise,4
1291,gisle,5
1292,gismondine,10
1293,gismondite,10
1294,gist,4
1295,git,3
1296,gite,4
1297,gith,4
1298,gittern,7
1299,gittith,7
1300,guist,5
1301,giusto,6
1302,given,5
1303,giving,6
1304,give,4
1305,giver,5
1306,gives,5
1307,gizzard,7
1308,glabell/,8
1309,glabella,8
1310,glabellum,9
1311,glabrate,8
1312,glabreate,9
1313,glabriate,9
1314,glabrity,8
1315,glabrous,8
1316,glacial,7
1317,glacialist,10
1318,glaciate,8
1319,glaciation,10
1320,glacier,7
1321,glacious,8
1322,glacis,6
1323,glad,4
1324,gladded,7
1325,gladding,8
1326,gladdened,9
1327,gladdening,10
1328,gladden,7
1329,gladder,7
1330,glade,5
1331,gladen,6
1332,gladeye,7
1333,gladful,7
1334,gladiate,8
1335,gladiator,9
1336,gladiatorial,12
1337,gladiatorian,12
1338,gladiatorism,12
1339,gladiatorship,13
1340,gladiatory,10
1341,gladiature,10
1342,gladiole,8
1343,gladioli,8
1344,gladioluses,11
1345,gladiolus,9
1346,gladii,6
1347,gladius,7
1348,gladly,6
1349,gladness,8
1350,gladship,8
1351,gladsome,8
1352,gladstone,9
1353,gladwyn,7
1354,glair,5
1355,glaired,7
1356,glairing,8
1357,glaire,6
1358,glaireous,9
1359,glairin,7
1360,glairy,6
1361,glaive,6
1362,glama,5
1363,glamour,7
1364,glamourie,9
1365,glance,6
1366,glanced,7
1367,glancing,8
1368,glancingly,10
1369,gland,5
1370,glandage,8
1371,glandered,9
1372,glanderous,10
1373,glanders,8
1374,glandiferous,12
1375,glandiform,10
1376,glandular,9
1377,glandulation,12
1378,glandule,8
1379,glanduliferous,14
1380,glandulose,10
1381,glandulosity,12
1382,glandulous,10
1383,glandes,7
1384,glans,5
1385,glared,6
1386,glaring,7
1387,glare,5
1388,glareous,8
1389,glariness,9
1390,glaringness,11
1391,glary,5
1392,glass,5
1393,glassed,7
1394,glassing,8
1395,glassen,7
1396,glasseye,8
1397,glassfuls,9
1398,glassful,8
1399,glasshouse,10
1400,glassily,8
1401,glassiness,10
1402,glassite,8
1403,glassmaker,10
1404,glassware,9
1405,glasswork,9
1406,glasswort,9
1407,glassy,6
1408,glasynge,8
1409,glauberite,10
1410,glaucescent,11
1411,glaucic,7
1412,glaucine,8
1413,glaucodot,9
1414,glaucoma,8
1415,glaucomatous,12
1416,glaucometer,11
1417,glauconite,10
1418,glaucophane,11
1419,glaucosis,9
1420,glaucous,8
1421,glaucus,7
1422,glaum,5
1423,glave,5
1424,glaver,6
1425,glaverer,8
1426,glaymore,8
1427,glased,6
1428,glazing,7
1429,glase,5
1430,glaze,5
1431,glazen,6
1432,glazer,6
1433,glazier,7
1434,glazy,5
1435,glead,5
1436,gleam,5
1437,gleamed,7
1438,gleaming,8
1439,gleamy,6
1440,gleaned,7
1441,gleaning,8
1442,glean,5
1443,gleaner,7
1444,glebe,5
1445,glebeless,9
1446,glebosity,9
1447,glebous,7
1448,gleby,5
1449,glede,5
1450,glee,4
1451,gleed,5
1452,gleeful,7
1453,gleek,5
1454,gleemen,7
1455,gleeman,7
1456,gleen,5
1457,gleesome,8
1458,gleet,5
1459,gleety,6
1460,gleg,4
1461,gleire,6
1462,gleyre,6
1463,glen,4
1464,glenlivat,9
1465,glenlivet,9
1466,glenoid,7
1467,glenoidal,9
1468,glent,5
1469,gleucometer,11
1470,glew,4
1471,gley,4
1472,gliadin,7
1473,glib,4
1474,gilbbery,8
1475,glibly,6
1476,glibness,8
1477,glicke,6
1478,glidden,7
1479,glidder,7
1480,gliddery,8
1481,glide,5
1482,glided,6
1483,gliding,7
1484,gliden,6
1485,glider,6
1486,glidingly,9
1487,gliff,5
1488,glike,5
1489,glim,4
1490,glimmered,9
1491,glimmering,10
1492,glimmer,7
1493,glimpse,7
1494,glimpsed,8
1495,glimpsing,9
1496,glint,5
1497,glinted,7
1498,glinting,8
1499,glioma,6
1500,glires,6
1501,glissade,8
1502,glissando,9
1503,glissette,9
1504,glist,5
1505,glistened,9
1506,glistening,10
1507,glisten,7
1508,glistered,9
1509,glistering,10
1510,glister,7
1511,glisteringly,12
1512,glittered,9
1513,glittering,10
1514,glitter,7
1515,glitterand,10
1516,glitteringly,12
1517,gloam,5
1518,gloaming,8
1519,gloar,5
1520,gloated,7
1521,gloating,8
1522,gloat,5
1523,globard,7
1524,globate,7
1525,globated,8
1526,globe,5
1527,globed,6
1528,globing,7
1529,globefish,9
1530,globeflower,11
1531,globiferous,11
1532,globigerin/,11
1533,globigerina,11
1534,globose,7
1535,globosely,9
1536,globosity,9
1537,globous,7
1538,globular,8
1539,globularity,11
1540,globularly,10
1541,globularness,12
1542,globule,7
1543,globulet,8
1544,globuliferous,13
1545,globulimeter,12
1546,globulin,8
1547,globulite,9
1548,globulous,9
1549,globy,5
1550,glochidiate,11
1551,glochidia,9
1552,glochidium,10
1553,glode,5
1554,glombe,6
