,I,Length
133,icterus,7
134,ictic,5
135,ictus,5
136,icy,3
137,id,2
138,idalian,7
139,ide,3
140,ideas,5
141,idea,4
142,ideal,5
143,idealess,8
144,idealism,8
145,idealist,8
146,idealistic,10
147,idealities,10
148,ideality,8
149,idealization,12
150,idealized,9
151,idealizing,10
152,idealize,8
153,idealizer,9
154,ideally,7
155,idealogic,9
156,idealogue,9
157,ideat,5
158,ideate,6
159,ideation,8
160,ideational,10
161,idem,4
162,identic,7
163,identical,9
164,identically,11
165,identicalness,13
166,identifiable,12
167,identification,14
168,identified,10
169,identifying,11
170,identify,8
171,identism,8
172,identities,10
173,identity,8
174,ideogenical,11
175,ideogeny,8
176,ideogram,8
177,ideograph,9
178,ideographic,11
179,ideographical,13
180,ideographics,12
181,ideography,10
182,ideological,11
183,ideologist,10
184,ideology,8
185,ides,4
186,idioblast,9
187,idiocrasis,10
188,idiocrasies,11
189,idiocracy,9
190,idiocratic,10
191,idiocratical,12
192,idiocy,6
193,idiocyclophanous,16
194,idioelectric,12
195,idiograph,9
196,idiographic,11
197,idiographical,13
198,idiolatry,9
199,idiom,5
200,idiomatic,9
201,idiomatical,11
202,idiomorphic,11
203,idiomorphous,12
204,idiomuscular,12
205,idiopathetic,12
206,idiopathic,10
207,idiopathical,12
208,idiopathies,11
209,idiopathy,9
210,idiophanous,11
211,idioplasm,9
212,idioplasma,10
213,idiorepulsive,13
214,idiosyncrasies,14
215,idiosyncrasy,12
216,idiosyncratic,13
217,idiosyncratical,15
218,idiot,5
219,idiotcy,7
220,idioted,7
221,idiothermic,11
222,idiotic,7
223,idiotical,9
224,idiotically,11
225,idioticon,9
226,idiotish,8
227,idiotism,8
228,idiotize,8
229,idiotry,7
230,idle,4
231,idled,5
232,idling,6
233,idleness,8
234,idler,5
235,idless,6
236,idlesse,7
237,idly,4
238,idocrase,8
239,idol,4
240,idolastre,9
241,idolater,8
242,idolatress,10
243,idolatrical,11
244,idolatrized,11
245,idolatrizing,12
246,idolatrize,10
247,idolatrous,10
248,idolatrously,12
249,idolatries,10
250,idolatry,8
251,idolish,7
252,idolism,7
253,idolist,7
254,idolized,8
255,idolizing,9
256,idolize,7
257,idolizer,8
258,idoloclast,10
259,idolographical,14
260,idolous,7
261,idoneous,8
262,idorgan,7
263,idrialine,9
264,idrialite,9
265,idumean,7
266,idyl,4
267,idyllic,7
268,if,2
269,ifere,5
270,igasuric,8
271,igasurine,9
272,igloo,5
273,igneous,7
274,ignescent,9
275,ignicolist,10
276,igniferous,10
277,ignifluous,10
278,ignified,8
279,ignifying,9
280,ignify,6
281,ignigenous,10
282,ignipotence,11
283,ignipotent,10
284,ignited,7
285,igniting,8
286,ignite,6
287,ignitible,9
288,ignition,8
289,ignitor,7
290,ignivomous,10
291,ignobility,10
292,ignoble,7
293,ignobleness,11
294,ignobly,7
295,ignominious,11
296,ignominiously,13
297,ignominies,10
298,ignominy,8
299,ignomy,6
300,ignoramus,9
301,ignoramuses,11
302,ignorance,9
303,ignorant,8
304,ignorantism,11
305,ignorantist,11
306,ignorantly,10
307,ignored,7
308,ignoring,8
309,ignore,6
310,ignoscible,10
311,ignote,6
312,iguana,6
313,iguanian,8
314,iguanid,7
315,iguanodon,9
316,iguanodont,10
317,iguanoid,8
318,ihram,5
319,ik,2
320,ile,3
321,ileac,5
322,ileocaecal,10
323,ileocolic,9
324,ileum,5
325,ileus,5
326,ilex,4
327,iliac,5
328,iliacal,7
329,liad,4
330,ilial,5
331,iliche,6
332,ilicic,6
333,ilicin,6
334,iliofemoral,11
335,iliolumbar,10
336,iliopsoas,9
337,ilium,5
338,ilixanthin,10
339,ilk,3
340,ilke,4
341,ilkon,5
342,ilkoon,6
343,ill,3
344,illabile,8
345,illacerable,11
346,illacrymable,12
347,illapsable,10
348,illapsed,8
349,illapsing,9
350,illapse,7
351,illaqueable,11
352,illaqueated,11
353,illaqueating,12
354,illaqueate,10
355,illaqueation,12
356,illation,8
357,illative,8
358,illatively,10
359,illaudable,10
360,illecebration,13
361,illecebrous,11
362,illegal,7
363,illegalities,12
364,illegality,10
365,illegalized,11
366,illegalizing,12
367,illegalize,10
368,illegally,9
369,illegalness,11
370,illegibility,12
371,illegible,9
372,illegitimacy,12
373,illegitimate,12
374,illegitimated,13
375,illegitimating,14
376,illegitimately,14
377,illegitimation,14
378,illegitimatize,14
379,illesive,8
380,illeviable,10
381,illiberal,9
382,illiberalism,12
383,illiberality,12
384,illiberalized,13
385,illiberalizing,14
386,illiberalize,12
387,illiberally,11
388,illiberalness,13
389,illicit,7
390,illicitous,10
391,illicium,8
392,illighten,9
393,illimitable,11
394,illimitation,12
395,illimited,9
396,illinition,10
397,illinois,8
398,illiquation,11
399,illish,6
400,illision,8
401,illiteracies,12
402,illiteracy,10
403,illiteral,9
404,illiterate,10
405,illiterature,12
406,illness,7
407,illocality,10
408,illogical,9
409,illtreat,8
410,illuded,7
411,illuding,8
412,illude,6
413,illumed,7
414,illuming,8
415,illume,6
416,illuminable,11
417,illuminant,10
418,illuminary,10
419,illuminated,11
420,illuminating,12
421,illuminate,10
422,illuminati,10
423,illumination,12
424,illuminatism,12
425,illuminative,12
426,illuminator,11
427,illumine,8
428,illuminee,9
429,illuminer,9
430,illuminism,10
431,illuministic,12
432,illuminized,11
433,illuminizing,12
434,illuminize,10
435,illuminous,10
436,illure,6
437,illusion,8
438,illusionable,12
439,illusionist,11
440,illusive,8
441,illusively,10
442,illusiveness,12
443,illusory,8
444,illustrable,11
445,illustrated,11
446,illustrating,12
447,illustrate,10
448,illustration,12
449,illustrative,12
450,illustratively,14
451,illustrator,11
452,illustratory,12
453,illustrious,11
454,illustriously,13
455,illustriousness,15
456,illustrous,10
457,illutation,10
458,illuxurious,11
459,ilmenite,8
460,ilmenium,8
461,ilvaite,7
462,image,5
463,imaged,6
464,imaging,7
465,imageable,9
466,imageless,9
467,imager,6
468,imagery,7
469,imaginability,13
470,imaginable,10
471,imaginal,8
472,imaginant,9
473,imaginarily,11
474,imaginariness,13
475,imaginary,9
476,imaginate,9
477,imagination,11
478,imaginational,13
479,imaginationalism,16
480,imaginative,11
481,imagined,8
482,imagining,9
483,imagine,7
484,imaginer,8
485,imaginous,9
486,imagoes,7
487,imago,5
488,imam,4
489,iman,4
490,imaum,5
491,imaret,6
492,imbalm,6
493,imban,5
494,imband,6
495,imbanked,8
496,imbanking,9
497,imbank,6
498,imbankment,10
499,imbannered,10
500,imbar,5
501,imbargo,7
502,imbark,6
503,imbarn,6
504,imbase,6
505,imbastardize,12
506,imbathe,7
507,imbay,5
508,imbecile,8
509,imbecilitate,12
510,imbecilities,12
511,imbecility,10
512,imbedded,8
513,imbedding,9
514,imbed,5
515,imbellic,8
516,imbenching,10
517,imbezzle,8
518,imbibed,7
519,imbibing,8
520,imbibe,6
521,imbiber,7
522,imbibition,10
523,imbittered,10
524,imbittering,11
525,imbitter,8
526,imbitterer,10
527,imbitterment,12
528,imblaze,7
529,imblazon,8
530,imbody,6
531,imboil,6
532,imbolden,8
533,imbonity,8
534,imbordered,10
535,imbordering,11
536,imborder,8
537,imbosked,8
538,imbosking,9
539,imbosk,6
540,imbosomed,9
541,imbosoming,10
542,imbosom,7
543,imboss,6
544,imbosture,9
545,imbound,7
546,imbow,5
547,imbowel,7
548,imbower,7
549,imbowment,9
550,imbox,5
551,imbracery,9
552,imbraid,7
553,imbrangle,9
554,imbreed,7
555,imbricate,9
556,imbricated,10
557,imbrication,11
558,imbricative,11
559,imbrocadoes,11
560,imbrocado,9
561,imbrocata,9
562,imbroccata,10
563,imbroglios,10
564,imbroglio,9
565,imbrown,7
566,imbureed,8
567,imbureing,9
568,imbrue,6
569,imbruement,10
570,imbruted,8
571,imbruting,9
572,imbrute,7
573,imbrutement,11
574,imbued,6
575,imbuing,7
576,imbue,5
577,imbuement,9
578,imburse,7
579,imbursement,11
580,imbution,8
581,imesatin,8
582,imide,5
583,imido,5
584,imitability,11
585,imitable,8
586,imitableness,12
587,imitancy,8
588,imitated,8
589,imitating,9
590,imitate,7
591,imitation,9
592,imitational,11
593,imitative,9
594,imitater,8
595,imitatorship,12
596,imitatress,10
597,imitatrix,9
598,immaculate,10
599,immailed,8
600,immalleable,11
601,immanacled,10
602,immanacling,11
603,immanacle,9
604,immanation,10
605,immane,6
606,immanence,9
607,immanency,9
608,immanent,8
609,immanifest,10
610,immanity,8
611,immantle,8
612,immanuel,8
613,immarcescible,13
614,immarcescibly,13
615,immarginate,11
616,immartial,9
617,immask,6
618,immatchable,11
619,immaterial,10
620,immaterialism,13
621,immaterialist,13
622,immaterialities,15
623,immateriality,13
624,immaterialize,13
625,immaterially,12
626,immaterialness,14
627,immateriate,11
628,immature,8
629,immatured,9
630,immaturely,10
631,immatureness,12
632,immaturity,10
633,immeability,11
634,immeasurability,15
635,immeasurable,12
636,immeasurableness,16
637,immeasurably,12
638,immeasured,10
639,immechanical,12
640,immediacy,9
641,immediate,9
642,immediately,11
643,immediateness,13
644,immedeatism,11
645,immedicable,11
646,immelodious,11
647,immemorable,11
648,immemorial,10
649,immemorially,12
650,immense,7
651,immensely,9
652,immenseness,11
653,immensible,10
654,immensities,11
655,immensity,9
656,immensive,9
657,immensurability,15
658,immensurable,12
659,immensurate,11
660,immerged,8
661,immerging,9
662,immerge,7
663,immerit,7
664,immerited,9
665,immeritous,10
666,immersable,10
667,immerse,7
668,immersed,8
669,immersing,9
670,immersible,10
671,immersion,9
672,immersionist,12
673,immeshed,8
674,immeshing,9
675,immesh,6
676,immethodical,12
677,immethodically,14
678,immethodicalness,16
679,immethodize,11
680,immetrical,10
681,immew,5
682,immigrant,9
683,immigrated,10
684,immigrating,11
685,immigrate,9
686,immigration,11
687,imminence,9
688,imminent,8
689,imminently,10
690,immingle,8
691,imminution,10
692,immiscibility,13
693,immiscible,10
694,immission,9
695,immitted,8
696,immiting,8
697,immit,5
698,immitigable,11
699,immitigably,11
700,immix,5
701,immixable,9
702,immixed,7
703,immixture,9
704,immobile,8
705,immobility,10
706,immobilize,10
707,immoble,7
708,immoderacy,10
709,immoderancy,11
710,immoderate,10
711,immoderately,12
712,immoderateness,14
713,immoderation,12
714,immodest,8
715,immodestly,10
716,immodesty,9
717,immolated,9
718,immolating,10
719,immolate,8
720,immolation,10
721,immolator,9
722,immold,6
723,immould,7
724,immoment,8
725,immomentous,11
726,immoral,7
727,immoralities,12
728,immorality,10
729,immorally,9
730,immorigerous,12
731,immortal,8
732,immortalist,11
733,immortalities,13
734,immortality,11
735,immortalization,15
736,immortalized,12
737,immortalizing,13
738,immortalize,11
739,immortally,10
740,immortelles,11
741,immortelle,10
742,immortification,15
743,immovability,12
744,immovable,9
745,immovableness,13
746,immovably,9
747,immund,6
748,immundicity,11
749,immune,6
750,immunities,10
751,immunity,8
752,immured,7
753,immuring,8
754,immure,6
755,immurement,10
756,immusical,9
757,immutability,12
758,immutable,9
759,immutate,8
760,immutation,10
761,immute,6
762,imp,3
763,imped,5
764,imping,6
765,impacable,9
766,impackment,10
767,impacted,8
768,impacting,9
769,impact,6
770,impaction,9
771,impaint,7
772,impaired,8
773,impairing,9
774,impair,6
775,impairer,8
776,impairment,10
777,impalatable,11
778,impaled,7
779,impaling,8
780,impale,6
781,impalement,10
782,impalla,7
783,impallid,8
784,impalm,6
785,impalpability,13
786,impalpable,10
787,impalpably,10
788,impalsy,7
789,impanate,8
790,impanated,9
791,impanating,10
792,impanation,10
793,impanator,9
794,impaneled,9
795,impanelled,10
796,impaneling,10
797,impanelling,11
798,impanel,7
799,impanelment,11
800,imparadised,11
801,imparadising,12
802,imparadise,10
803,imparalleled,12
804,impardonable,12
805,imparidigitate,14
806,imparipinnate,13
807,imparisyllabic,14
808,imparity,8
809,imparked,8
810,imparking,9
811,impark,6
812,imparl,6
813,imparlance,10
814,imparsonee,10
815,imparted,8
816,imparting,9
817,impart,6
818,impartance,10
819,impartation,11
820,imparter,8
821,impartial,9
822,impartialist,12
823,impartiality,12
824,impartially,11
825,impartialness,13
826,impartibility,13
827,impartible,10
828,impartment,10
829,impassable,10
830,impassibility,13
831,impassible,10
832,impassibleness,14
833,impassion,9
834,impassionable,13
835,impassionate,12
836,impassioned,11
837,impassive,9
838,impassivity,11
839,impastation,11
840,impasted,8
841,impasting,9
842,impaste,7
843,impasto,7
844,impasture,9
845,impatible,9
846,impatience,10
847,impatiency,10
848,impatiens,9
849,impatient,9
850,impatiently,11
851,impatronization,15
852,impatronized,12
853,impatronizing,13
854,impatronize,11
855,impave,6
856,impavid,7
857,impawned,8
858,impawning,9
859,impawn,6
860,impeached,9
861,impeaching,10
862,impeach,7
863,impeachable,11
864,impeacher,9
865,impeachment,11
866,impearled,9
867,impearling,10
868,impearl,7
869,impeccability,13
870,impeccable,10
871,impeccancy,10
872,impeccant,9
873,impecuniosity,13
874,impecunious,11
875,impeded,7
876,impeding,8
877,impede,6
878,impedible,9
879,impediment,10
880,impedimental,12
881,impedite,8
882,impedition,10
883,impeditive,10
884,impelled,8
885,impelling,9
886,impel,5
887,impellent,9
888,impeller,8
889,impenned,8
890,impent,6
891,impenning,9
892,impen,5
893,impend,6
894,impended,8
895,impending,9
896,impendence,10
897,impendency,10
898,impendent,9
899,impenetrability,15
900,impenetrable,12
901,impenetrableness,16
902,impenetrably,12
903,impenitence,11
904,impenitency,11
905,impenitent,10
906,impenitently,12
907,impennate,9
908,impennes,8
909,impennous,9
910,impeopled,9
911,impeopling,10
912,impeople,8
913,imperant,8
914,imperate,8
915,imperatival,11
916,imperative,10
917,imperatively,12
918,imperator,9
919,imperatorial,12
920,imperatorian,12
921,imperatory,10
922,imperceivable,13
923,imperceived,11
924,imperceptibility,16
925,imperceptible,13
926,imperception,12
927,imperceptive,12
928,impercipient,12
929,imperdibility,13
930,imperdible,10
931,imperfect,9
932,imperfectibility,16
933,imperfectible,13
934,imperfection,12
935,imperfectness,13
936,imperforable,12
937,imperforata,11
938,imperforate,11
939,imperforated,12
940,imperforation,13
941,imperial,8
942,imperialism,11
943,imperialist,11
944,imperialities,13
945,imperiality,11
946,imperialized,12
947,imperializing,13
948,imperialize,11
949,imperially,10
950,imperiled,9
951,imperilled,10
952,imperiling,10
953,imperilling,11
954,imperil,7
955,imperilment,11
956,imperious,9
957,imperiously,11
958,imperiousnes,12
959,imperishability,15
960,imperishable,12
961,imperiwigged,12
962,impermanence,12
963,impermanency,12
964,impermanent,11
965,impermeability,14
966,impermeable,11
967,impermissible,13
968,imperscrutable,14
969,imperseverant,13
970,impersonal,10
971,impersonality,13
972,impersonally,12
973,impersonated,12
974,impersonating,13
975,impersonate,11
976,impersonation,13
977,impersonification,17
978,impersonator,12
979,imperspicuity,13
980,imperspicuous,13
981,impersuadable,13
982,impersuasible,13
983,impertinence,12
984,impertinency,12
985,impertinent,11
986,impertinently,13
987,impertransibility,17
988,impertransible,14
989,impertrubable,13
990,imperturbably,13
991,imperturbation,14
992,imperturbed,11
993,imperviability,14
994,imperviable,11
995,impervious,10
996,impery,6
997,impest,6
998,impester,8
999,impetiginous,12
1000,impetigo,8
1001,impetrable,10
1002,impetrate,9
1003,impetrated,10
1004,impetrating,11
1005,impetration,11
1006,impetrative,11
1007,impetratory,11
1008,impetuosity,11
1009,impetuous,9
1010,impetus,7
1011,imphee,6
1012,impictured,10
1013,impierce,8
1014,impierceable,12
1015,impieties,9
1016,impiety,7
1017,impignorate,11
1018,impignoration,13
1019,impinged,8
1020,impinging,9
1021,impinge,7
1022,impingement,11
1023,impingent,9
1024,impinguate,10
1025,impinguation,12
1026,impious,7
1027,impire,6
1028,impishly,8
1029,imppiteous,10
1030,implacability,13
1031,implacable,10
1032,implacableness,14
1033,implacably,10
1034,implacental,11
1035,implacentalia,13
1036,implanted,9
1037,implanting,10
1038,implant,7
1039,implantation,12
1040,implated,8
1041,implating,9
1042,implate,7
1043,implausibility,14
1044,implausible,11
1045,impleach,8
1046,impleaded,9
1047,impleading,10
1048,implead,7
1049,impleadable,11
1050,impleader,9
1051,impleasing,10
1052,impledge,8
1053,implement,9
1054,implemental,11
1055,impletion,9
1056,implex,6
1057,implexion,9
1058,impliable,9
1059,implicated,10
1060,implicating,11
1061,implicate,9
1062,implication,11
1063,implicative,11
1064,implicatively,13
1065,implicit,8
1066,implicitly,10
1067,implicitness,12
1068,implicity,9
1069,implied,7
1070,impliedly,9
1071,imploded,8
1072,implodent,9
1073,imploration,11
1074,implorator,10
1075,imploratory,11
1076,implored,8
1077,imploring,9
1078,implore,7
1079,implorer,8
1080,implosion,9
1081,implosive,9
1082,implumed,8
1083,implunge,8
1084,impluvium,9
1085,implying,8
1086,imply,5
1087,impoison,8
1088,impoisoner,10
1089,impoisonment,12
1090,impolarily,10
1091,impolarly,9
1092,impolicy,8
1093,impolite,8
1094,impolitic,9
1095,impolitical,11
1096,impoliticly,11
1097,impoliticness,13
1098,imponderability,15
1099,imponderable,12
1100,imponderableness,16
1101,imponderous,11
1102,impone,6
1103,impoofo,7
1104,impoon,6
1105,impoor,6
1106,imporosity,10
1107,imporous,8
1108,imported,8
1109,importing,9
1110,import,6
1111,importable,10
1112,importance,10
1113,importancy,10
1114,important,9
1115,importantly,11
1116,importation,11
1117,importer,8
1118,importless,10
1119,importunable,12
1120,importunacy,11
1121,importunate,11
1122,importunator,12
1123,importunee,10
1124,importuned,10
1125,importuning,11
1126,importune,9
1127,importunely,11
1128,importuner,10
1129,importunities,13
1130,importunity,11
1131,importuous,10
1132,imposable,9
1133,imposableness,13
1134,imposed,7
1135,imposing,8
1136,impose,6
1137,imposement,10
1138,imposer,7
1139,imposingly,10
1140,imposingness,12
1141,imposition,10
1142,impossibilities,15
1143,impossibility,13
1144,impossible,10
1145,impossibly,10
1146,impost,6
1147,imposthumate,12
1148,imposthumated,13
1149,imposthumating,14
1150,imposthumation,14
1151,imposthume,10
1152,impostor,8
1153,impostorship,12
1154,impostress,10
1155,impostrix,9
1156,impostrous,10
1157,imposturage,11
1158,imposture,9
1159,impostured,10
1160,imposturous,11
1161,impostury,9
1162,impotence,9
1163,impotency,9
1164,impotent,8
1165,impotently,10
1166,impounded,9
1167,impounding,10
1168,impound,7
1169,impoundage,10
1170,impounder,9
1171,impoverished,12
1172,impoverishing,13
1173,impoverish,10
1174,impoverisher,12
1175,impoverishment,14
1176,impower,7
1177,impracticabilities,18
1178,impracticability,16
1179,impracticable,13
1180,impracticableness,17
1181,impracticably,13
1182,impractical,11
1183,imprecated,10
1184,imprecating,11
1185,imprecate,9
1186,imprecation,11
1187,imprecatory,11
1188,imprecision,11
1189,impregn,7
1190,impregnability,14
1191,impregnable,11
1192,impregnant,10
1193,impregnated,11
1194,impregnating,12
1195,impregnate,10
1196,impregnation,12
1197,imprejudicate,13
1198,imprenable,10
1199,impreparation,13
1200,impresa,7
1201,impresarios,11
1202,impresario,10
1203,imprescriptibility,18
1204,imprescriptible,15
1205,imprescriptibly,15
1206,imprese,7
1207,impressed,9
1208,impressing,10
1209,impress,7
1210,impresses,9
1211,impressibility,14
1212,impressible,11
1213,impression,10
1214,impressionability,17
1215,impresionable,13
1216,impressionableness,18
1217,impressionism,13
1218,impressionist,13
1219,impressionistic,15
1220,impressionless,14
1221,impressive,10
1222,impressment,11
1223,impressor,9
1224,impressure,10
1225,imprested,9
1226,impresting,10
1227,imprest,7
1228,imprevalence,12
1229,imprevalency,12
1230,impreventability,16
1231,impreventable,13
1232,imprimatur,10
1233,imprimery,9
1234,impriming,9
1235,imprimis,8
1236,imptrinted,10
1237,imprinting,10
1238,imprint,7
1239,imprisoned,10
1240,imprisoning,11
1241,imprison,8
1242,imprisoner,10
1243,improbabilities,15
1244,improbability,13
1245,improbable,10
1246,improbate,9
1247,improbation,11
1248,improbative,11
1249,improbatory,11
1250,improbity,9
1251,improficience,13
1252,improficiency,13
1253,improfitable,12
1254,improgressive,13
1255,improlific,10
1256,improlificate,13
1257,imprompt,8
1258,impromptu,9
1259,improper,8
1260,improperation,13
1261,improperia,10
1262,improperly,10
1263,improperty,10
1264,impropitious,12
1265,improportionable,16
1266,improportionate,15
1267,impropriated,12
1268,impropriating,13
1269,impropriate,11
1270,impropriation,13
1271,impropriator,12
1272,impropriatrix,13
1273,improprieties,13
1274,impropriety,11
1275,improsperity,12
1276,improsperous,12
1277,improvability,13
1278,improvable,10
1279,improve,7
1280,improved,8
1281,improving,9
1282,improvement,11
1283,improver,8
1284,improvided,10
1285,improvidence,12
1286,improvident,11
1287,improvidentially,16
1288,improvidently,13
1289,improvisate,11
1290,improvisated,12
1291,improvisating,13
1292,improvisation,13
1293,improvisatize,13
1294,improvisator,12
1295,improvisatore,13
1296,improvisatorial,15
1297,improvisatory,13
1298,improvisatrice,14
1299,improvised,10
1300,improvising,11
1301,improvise,9
1302,improviser,10
1303,improvision,11
1304,improviso,9
1305,improvvisatori,14
1306,improvvisatore,14
1307,improvvisatrici,15
1308,improvvisatrice,15
1309,imprudence,10
1310,imprudent,9
1311,impuberal,9
1312,impuberty,9
1313,impudence,9
1314,impudency,9
1315,impudent,8
1316,impudently,10
1317,impudicity,10
1318,impugned,8
1319,impugning,9
1320,impugn,6
1321,impugnable,10
1322,impugnation,11
1323,impugner,8
1324,impugnment,10
1325,impuissance,11
1326,impuissant,10
1327,impulse,7
1328,impulsion,9
1329,impulsive,9
1330,impulsively,11
1331,impulsiveness,13
1332,impulsor,8
1333,impunctate,10
1334,impunctual,10
1335,impunctuality,13
1336,impune,6
1337,impunibly,9
1338,impunity,8
1339,impuration,10
1340,impure,6
1341,impurely,8
1342,impureness,10
1343,impurity,8
1344,impurpled,9
1345,impurpling,10
1346,impurple,8
1347,imputability,12
1348,imputable,9
1349,imputableness,13
1350,imputably,9
1351,imputation,10
1352,imputative,10
1353,imputed,7
1354,imputing,8
1355,impute,6
1356,imputer,7
1357,imputrescible,13
1358,imrigh,6
1359,in,2
1360,inability,9
1361,inable,6
1362,inablement,10
1363,inabstinence,12
1364,inabstracted,12
1365,inabusively,11
1366,inaccessibility,15
1367,inaccessible,12
1368,inaccordant,11
1369,inaccuracies,12
1370,inaccuracy,10
1371,inaccurate,10
1372,inaccurately,12
1373,inacquaintance,14
1374,inacquiescent,13
1375,inaction,8
1376,inactive,8
1377,inactively,10
1378,inactivity,10
1379,inactose,8
1380,inactuate,9
1381,inactuation,11
1382,inadaptation,12
1383,inadequacy,10
1384,inadequate,10
1385,inadequation,12
1386,inadherent,10
1387,inadhesion,10
1388,inadmissibility,15
1389,inadmissible,12
1390,inadvertence,12
1391,inadvertency,12
1392,inadvertent,11
1393,inadvisable,11
1394,inaffability,12
1395,inaffable,9
1396,inaffectation,13
1397,inaffected,10
1398,inaidable,9
1399,inalienability,14
1400,inalienable,11
1401,inalienableness,15
1402,inalienably,11
1403,inalimental,11
1404,inalterability,14
1405,inalterable,11
1406,inamiable,9
1407,inamissible,11
1408,inamorata,9
1409,inamorate,9
1410,inamoratos,10
1411,inamorato,9
1412,inamovable,10
1413,inane,5
1414,inangular,9
1415,inaniloquent,12
1416,inaniloquous,12
1417,inanimate,9
1418,inanimated,10
1419,inanimateness,13
1420,inanimation,11
1421,inanitiate,10
1422,inanitiation,12
1423,inanition,9
1424,inanities,9
1425,inanity,7
1426,inantherate,11
1427,inapathy,8
1428,inappealable,12
1429,inappeasable,12
1430,inappellability,15
1431,inappellable,12
1432,inappetence,11
1433,inappetency,11
1434,inapplicability,15
1435,inapplicable,12
1436,inapplication,13
1437,inapposite,10
1438,inappreciable,13
1439,inappreciation,14
1440,inapprehensible,15
1441,inapprehension,14
1442,inapprehensive,14
1443,inapproachable,14
1444,inappropriate,13
1445,inapt,5
1446,inaptitude,10
1447,inaquate,8
1448,inaquation,10
1449,inarable,8
1450,inarched,8
1451,inarching,9
1452,inarch,6
1453,inarticulate,12
1454,inarticulated,13
1455,inarticulately,14
1456,inarticulateness,16
1457,inarticulation,14
1458,inartificial,12
1459,inasmuch,8
1460,inattention,11
1461,inattentive,11
1462,inaudibility,12
1463,inaudible,9
1464,inaugur,7
1465,inaugural,9
1466,inaugurate,10
1467,inaugurated,11
1468,inaugurating,12
1469,inauguration,12
1470,inaugurator,11
1471,inauguratory,12
1472,inaurate,8
1473,inauration,10
1474,inauspicate,11
1475,inauspicious,12
1476,inauthoritative,15
1477,inbarge,7
1478,inbeaming,9
1479,inbeing,7
1480,inbind,6
1481,inblown,7
1482,inboard,7
1483,inborn,6
1484,inbreak,7
1485,inbreaking,10
1486,inbreathed,10
1487,inbreathing,11
1488,inbreathe,9
1489,inbred,6
1490,inbreeding,10
1491,inbreed,7
1492,inburning,9
1493,inburnt,7
1494,inburst,7
1495,inc,3
1496,inca,4
1497,incaged,7
1498,incaging,8
1499,incage,6
1500,incagement,10
1501,incalculability,15
1502,incalculable,12
1503,incalescence,12
1504,incalescency,12
1505,incalescent,11
1506,incameration,12
1507,incan,5
1508,incandescence,13
1509,incandescent,12
1510,incanescent,11
1511,incanous,8
1512,incantation,11
1513,incantatory,11
1514,incanting,9
1515,incanton,8
1516,incapability,12
1517,incapable,9
1518,incapableness,13
1519,incapably,9
1520,incapacious,11
1521,incapacitated,13
1522,incapacitating,14
1523,incapacitate,12
1524,incapacitation,14
