,V,Length
177,valve,5
178,valved,6
179,valvelet,8
180,valvulae,8
181,valvula,7
182,valvular,8
183,valvule,7
184,valylene,8
185,vambrace,8
186,vamose,6
187,vamp,4
188,vamped,6
189,vamping,7
190,vamper,6
191,vampire,7
192,vampirism,9
193,vamplate,8
194,vamure,6
195,van,3
196,vanadate,8
197,vanadic,7
198,vanadinite,10
199,vanadious,9
200,vanadite,8
201,vanadium,8
202,vanadous,8
203,vanadyl,7
204,vandal,6
205,vandalic,8
206,vandalism,9
207,vandyke,7
208,vane,4
209,vanessa,7
210,vanessian,9
211,vanfess,7
212,vang,4
213,vanglo,6
214,vanguard,8
215,vanilla,7
216,vanillate,9
217,vanillic,8
218,vanillin,8
219,vanilloes,9
220,vanillyl,8
221,vaniloquence,12
222,vanished,8
223,vanishing,9
224,vanish,6
225,vanishment,10
226,vanities,8
227,vanity,6
228,vanjas,6
229,vanner,6
230,vanning,7
231,vanquished,10
232,vanquishing,11
233,vanquish,8
234,vanquishable,12
235,vanquisher,10
236,vanquishment,12
237,vansire,7
238,vant,4
239,vantage,7
240,vantbrace,9
241,vantbrass,9
242,vanward,7
243,vap,3
244,vapid,5
245,vapidity,8
246,vapor,5
247,vapored,7
248,vaporing,8
249,vaporability,12
250,vaporable,9
251,vaporate,8
252,vaporation,10
253,vaporer,7
254,vaporiferous,12
255,vaporific,9
256,vaporiform,10
257,vaporimeter,11
258,vaporish,8
259,vaporizable,11
260,vaporization,12
261,vaporized,9
262,vaporizing,10
263,vaporize,8
264,vaporizer,9
265,vaporose,8
266,vaporous,8
267,vaporousness,12
268,vapory,6
269,vapulation,10
270,vaquero,7
271,vara,4
272,varan,5
273,varangian,9
274,varanus,7
275,vare,4
276,varec,5
277,vari,4
278,variability,11
279,variable,8
280,variableness,12
281,variably,8
282,variance,8
283,variant,7
284,variate,7
285,variation,9
286,varicella,9
287,varices,7
288,variciform,10
289,varicocele,10
290,varicose,8
291,varicosity,10
292,varicous,8
293,varied,6
294,variegated,10
295,variegating,11
296,variegate,9
297,variegation,11
298,varier,6
299,varietal,8
300,varietas,8
301,varieties,9
302,variety,7
303,variform,8
304,variformed,10
305,varify,6
306,variola,7
307,variolar,8
308,variolation,11
309,variolic,8
310,variolite,9
311,variolitic,10
312,varioloid,9
313,variolous,9
314,variorum,8
315,various,7
316,variously,9
317,variscite,9
318,varisse,7
319,varix,5
320,vark,4
321,varlet,6
322,varletry,8
323,varnish,7
324,varnished,9
325,varnishing,10
326,varnisher,9
327,vartabed,8
328,varuna,6
329,varvel,6
330,varveled,8
331,varying,7
332,vary,4
333,vasa,4
334,vas,3
335,vascular,8
336,vascularities,13
337,vascularity,11
338,vasculose,9
339,vascula,7
340,vasculum,8
341,vase,4
342,vaseline,8
343,vasiform,8
344,vasoconstrictor,15
345,vasodentine,11
346,vasodilator,11
347,vasoformative,13
348,vasomotor,9
349,vassal,6
350,vassalage,9
351,vassaless,9
352,vassalry,8
353,vast,4
354,vastation,9
355,vastel,6
356,vastidity,9
357,vastitude,9
358,vastity,7
359,vastly,6
360,vastness,8
361,vasty,5
362,vasum,5
363,vat,3
364,vatted,6
365,vatting,7
366,vatfuls,7
367,vatful,6
368,vatical,7
369,vatican,7
370,vaticanism,10
371,vaticanist,10
372,vaticide,8
373,vaticinal,9
374,vaticinate,10
375,vaticination,12
376,vaticinator,11
377,vaticine,8
378,vaudeville,10
379,vaudois,7
380,vaudoux,7
381,vault,5
382,vaulted,7
383,vaulting,8
384,vaultage,8
385,vaulter,7
386,vaulty,6
387,vaunce,6
388,vaunted,7
389,vaunting,8
390,vaunt,5
391,vaunter,7
392,vauntful,8
393,vauntingly,10
394,vauntmure,9
395,vauquelinite,12
396,vaut,4
397,vauty,5
398,vavasor,7
399,vavasory,8
400,vaward,6
401,veadar,6
402,veal,4
403,vection,7
404,vectitation,11
405,vector,6
406,vecture,7
407,veda,4
408,vedanta,7
409,vedantic,8
410,vedantist,9
411,vedette,7
412,vedro,5
413,veered,6
414,veering,7
415,veer,4
416,veery,5
417,vega,4
418,vegetability,12
419,vegetable,9
420,vegetal,7
421,vegetality,10
422,vegetarian,10
423,vegetarianism,13
424,vegetated,9
425,vegetating,10
426,vegetate,8
427,vegetation,10
428,vegetative,10
429,vegete,6
430,vegetive,8
431,vegetous,8
432,vehemence,9
433,vehemency,9
434,vehement,8
435,vehemently,10
436,vehicle,7
437,vehicled,8
438,vehicular,9
439,vehiculary,10
440,vehiculate,10
441,vehiculation,12
442,vehiculatory,12
443,vehmic,6
444,veil,4
445,veiled,6
446,veiling,7
447,veilless,8
448,vein,4
449,veined,6
450,veining,7
451,veinal,6
452,veinless,8
453,veinlet,7
454,veinous,7
455,veinstone,9
456,veiny,5
457,velar,5
458,velaria,7
459,velarium,8
460,velate,6
461,vele,4
462,velella,7
463,veliferous,10
464,veliger,7
465,velitation,10
466,velivolant,10
467,vell,4
468,velleity,8
469,vellet,6
470,vellicated,10
471,vellicating,11
472,vellicate,9
473,vellication,11
474,vellicative,11
475,vellon,6
476,vellum,6
477,vellumy,7
478,velocimeter,11
479,velocipede,10
480,velecipedist,12
481,velocities,10
482,velocity,8
483,velours,7
484,veltfare,8
485,vela,4
486,velum,5
487,velure,6
488,velutina,8
489,velutinous,10
490,velverd,7
491,velveret,8
492,velvet,6
493,velvetbreast,12
494,velveteen,9
495,velveting,9
496,velvetleaf,10
497,velvety,7
498,venae,5
499,vena,4
500,venada,6
501,venal,5
502,venality,8
503,venally,7
504,venantes,8
505,venary,6
506,venatic,7
507,venatical,9
508,venatica,8
509,venation,8
510,venatorial,10
511,vended,6
512,vending,7
513,vend,4
514,vendace,7
515,vendee,6
516,vendemiaire,11
517,vender,6
518,vendetta,8
519,vendibility,11
520,vendible,8
521,venditate,9
522,venditation,11
523,vendition,9
524,vendor,6
525,vends,5
526,vendue,6
527,veneered,8
528,veneering,9
529,veneer,6
530,venefical,9
531,venefice,8
532,veneficial,10
533,veneficious,11
534,venemous,8
535,venenate,8
536,vennation,9
537,venene,6
538,venenose,8
539,venerability,12
540,venerable,9
541,veneracea,9
542,venerated,9
543,venerating,10
544,venerate,8
545,veneration,10
546,venerator,9
547,venereal,8
548,venerean,8
549,venereous,9
550,venerous,8
551,venery,6
552,venesection,11
553,venetian,8
554,venew,5
555,veney,5
556,venge,5
557,vengeable,9
558,vengeance,9
559,vengeancely,11
560,vengeful,8
561,vengement,9
562,venger,6
563,veniable,8
564,venial,6
565,veniality,9
566,venison,7
567,venite,6
568,venom,5
569,venomous,8
570,venose,6
571,venosity,8
572,venous,6
573,vent,4
574,vented,6
575,venting,7
576,ventage,7
577,ventail,7
578,venter,6
579,venthole,8
580,ventiduct,9
581,ventilated,10
582,ventilating,11
583,ventilate,9
584,ventilation,11
585,ventilative,11
586,ventilator,10
587,ventose,7
588,ventosity,9
589,ventouse,8
590,ventrad,7
591,ventral,7
592,ventricle,9
593,ventricose,10
594,ventricous,10
595,ventricular,11
596,ventriculite,12
597,ventriculous,12
598,ventriculi,10
599,ventriculus,11
600,ventrilocution,14
601,ventriloquial,13
602,ventriloquism,13
603,ventriloquist,13
604,ventriloquized,14
605,ventriloquizing,15
606,ventriloquize,13
607,ventriloquous,13
608,ventriloquy,11
609,ventrimeson,11
610,venture,7
611,ventured,8
612,venturing,9
613,venturer,8
614,venturesome,11
615,venturine,9
616,venturous,9
617,ventuse,7
618,venue,5
619,venule,6
620,venulose,8
621,venus,5
622,venust,6
623,veracious,9
624,veraciously,11
625,veracity,8
626,veranda,7
627,veratralbine,12
628,veratrate,9
629,veratria,8
630,veratric,8
631,veratrina,9
632,veratrine,9
633,veratrol,8
634,veratrum,8
635,verb,4
636,verbal,6
637,verbalism,9
638,verbalist,9
639,verbality,9
640,verbalization,13
641,verbalized,10
642,verbalizing,11
643,verbalize,9
644,verbally,8
645,verbarian,9
646,verbarium,9
647,verbatim,8
648,verbena,7
649,verbenaceous,12
650,verbenated,10
651,verbenating,11
652,verbenate,9
653,verberate,9
654,verberation,11
655,verbiage,8
656,verify,6
657,verbose,7
658,verbosities,11
659,verbosity,9
660,verd,4
661,verdancy,8
662,verdant,7
663,verdantly,9
664,verderer,8
665,verderor,8
666,verdict,7
667,verdigris,9
668,verdin,6
669,verdine,7
670,verdingale,10
671,verdit,6
672,verditer,8
673,verditure,9
674,verdoy,6
675,verdure,7
676,verdured,8
677,verdureless,11
678,verdurous,9
679,verecund,8
680,verecundious,12
681,verecundity,11
682,veretillum,10
683,vergalien,9
684,vergaloo,8
685,verge,5
686,verged,6
687,verging,7
688,vergeboard,10
689,vergency,8
690,verger,6
691,vergette,8
692,veridical,9
693,verifiable,10
694,verfication,11
695,verificative,12
696,verifier,8
697,verified,8
698,verifying,9
699,veriloquent,11
700,verily,6
701,verine,6
702,verisimilar,11
703,verisimilitude,14
704,verisimility,12
705,versimilous,11
706,veritable,9
707,veritas,7
708,verities,8
709,verity,6
710,verjuice,8
711,vermeil,7
712,vermeologist,12
713,vermeology,10
714,vermes,6
715,vermetid,8
716,vermetus,8
717,vermicelli,10
718,vermicide,9
719,vermicious,10
720,vermicular,10
721,vermiculated,12
722,vermiculating,13
723,vermiculate,11
724,vermiculation,13
725,vermicule,9
726,vermiculite,11
727,vermiculose,11
728,vermiculous,11
729,vermiform,9
730,vermiformia,11
731,vermifugal,10
732,vermifuge,9
733,vermil,6
734,vermilinguia,12
735,vermilion,9
736,vermily,7
737,vermin,6
738,verminate,9
739,vermination,11
740,verminly,8
741,verminous,9
742,verminously,11
743,vermiparous,11
744,vermivorous,11
745,vermuth,7
746,vernacle,8
747,vernacular,10
748,vernacularism,13
749,vernacularization,17
750,vernacularly,12
751,vernaculous,11
752,vernage,7
753,vernal,6
754,vernant,7
755,vernate,7
756,vernation,9
757,vernicle,8
758,vernicose,9
759,vernier,7
760,vernile,7
761,vernility,9
762,vernine,7
763,vernish,7
764,vernonin,8
765,veronese,8
766,veronica,8
767,verray,6
768,verrayment,10
769,verrel,6
770,verriculate,11
771,verruciform,11
772,verrucose,9
773,verrucous,9
774,verruculose,11
775,vers,4
776,versability,11
777,versable,8
778,versableness,12
779,versal,6
780,versant,7
781,versatile,9
782,versatility,11
783,verse,5
784,versed,6
785,versing,7
786,verseman,8
787,versemonger,11
788,verser,6
789,verset,6
790,versicle,8
791,versicolor,10
792,versicolored,12
793,versicular,10
794,versification,13
795,versificator,12
796,versifier,9
797,versified,9
798,versifying,10
799,versify,7
800,version,7
801,versionist,10
802,verso,5
803,versor,6
804,verst,5
805,versual,7
806,versus,6
807,versute,7
808,vert,4
809,verteber,8
810,vertebrae,9
811,vertebra,8
812,vertebral,9
813,vertebrally,11
814,vertebrarterial,15
815,vertebrata,10
816,vertebrate,10
817,vertebrated,11
818,vertebre,8
819,vertexes,8
820,vertices,8
821,vertex,6
822,vertical,8
823,verticality,11
824,vertically,10
825,verticalness,12
826,verticil,8
827,verticillaster,14
828,verticillate,12
829,verticillated,13
830,verticillus,11
831,verticity,9
832,verticle,8
833,vertiginate,11
834,vertiginous,11
835,vertigoes,9
836,vertigines,10
837,vertigo,7
838,vertilinear,11
839,vertu,5
840,vertuous,8
841,verumontanum,12
842,vervain,7
843,verve,5
844,vervel,6
845,vervet,6
846,very,4
847,vesbium,7
848,vese,4
849,vesica,6
850,vesical,7
851,vesicant,8
852,vesicated,9
853,vesicating,10
854,vesicate,8
855,vesication,10
856,vesicatory,10
857,vesicle,7
858,vesicoprostatic,15
859,vesicouterine,13
860,vesicovaginal,13
861,vesiculae,9
862,vesicula,8
863,vesicular,9
864,vesicularia,11
865,vesiculata,10
866,vesiculate,10
867,vesiculation,12
868,vesiculose,10
869,vesiculous,10
870,vespa,5
871,vesper,6
872,vesperal,8
873,vespers,7
874,vespertilio,11
875,vespertiliones,14
876,vespertilionine,15
877,vespertinal,11
878,vespertine,10
879,vespiary,8
880,vespilloes,10
881,vespillo,8
882,vessel,6
883,vesselfuls,10
884,vesselful,9
885,vesses,6
886,vessets,7
887,vessicnon,9
888,vessignon,9
889,vest,4
890,vested,6
891,vesting,7
892,vesta,5
893,vestal,6
894,vestales,8
895,vestiarian,10
896,vestiary,8
897,vestibular,10
898,vestibule,9
899,vestibula,9
900,vestibulum,10
901,vestigate,9
902,vestige,7
903,vestigial,9
904,vestiture,9
905,vestlet,7
906,vestment,8
907,vestries,8
908,vestry,6
909,vestrymen,9
910,vestryman,9
911,vesture,7
912,vestured,8
913,vesuvian,8
914,vesuvianite,11
915,vesuvine,8
916,vetch,5
917,vetchling,9
918,vetchy,6
919,veteran,7
920,veteranize,10
921,veterinarian,12
922,veterinary,10
923,vetiver,7
924,vetoes,6
925,veto,4
926,vetoed,6
927,vetoing,7
928,vetoist,7
929,vetture,7
930,vettura,7
931,vetturini,9
932,vetturino,9
933,vetust,6
934,vexed,5
935,vexing,6
936,vex,3
937,vexation,8
938,vexatious,9
939,vexer,5
940,vexil,5
941,vexillar,8
942,vexillary,9
943,vexillation,11
944,vexilla,7
945,vexillum,8
946,vexingly,8
947,via,3
948,viability,9
949,viable,6
950,viaduct,7
951,viage,5
952,vial,4
953,vialed,6
954,vialled,7
955,vialing,7
956,vialling,8
957,viameter,8
958,viand,5
959,viander,7
960,viary,5
961,viatecture,10
962,viatic,6
963,viaticum,8
964,viatometer,10
965,vibices,7
966,vibracula,9
967,vibraculum,10
968,vibrancy,8
969,vibrant,7
970,vibrate,7
971,vibrating,9
972,vibratile,9
973,vibratility,11
974,vibration,9
975,vibratiuncle,12
976,vibrative,9
977,vibratory,9
978,vibrios,7
979,vibriones,9
980,vibrio,6
981,vibrissae,9
982,vibrissa,8
983,vibroscope,10
984,viburnum,8
985,vicar,5
986,vicarage,8
987,vicarial,8
988,vicarian,8
989,vicariate,9
990,vicarious,9
991,vicariously,11
992,vicarship,9
993,vicary,6
994,vice,4
995,viced,5
996,vicing,6
997,vicegerency,11
998,vicegerent,10
999,vicemen,7
1000,viceman,7
1001,vicenary,8
1002,vicennial,9
1003,viceroy,7
1004,viceroyalty,11
1005,viceroyship,11
1006,vicety,6
1007,viciate,7
1008,viinage,7
1009,vicinal,7
1010,vicine,6
1011,vicinity,8
1012,viciosity,9
1013,vicious,7
1014,vicissitude,11
1015,vicissitudinary,15
1016,vicissitudinous,15
1017,vicontiel,9
1018,vicontiels,10
1019,vicount,7
1020,victim,6
1021,victimate,9
1022,victimized,10
1023,victimizing,11
1024,victimize,9
1025,victor,6
1026,victoress,9
1027,victoria,8
1028,victorian,9
1029,victorine,9
1030,victorious,10
1031,victories,9
1032,victory,7
1033,victress,8
1034,victrice,8
1035,victrix,7
1036,victual,7
1037,victualed,9
1038,victualled,10
1039,victualing,10
1040,victualling,11
1041,victualage,10
1042,victualer,9
1043,victuals,8
1044,victus,6
1045,vicu�a,6
1046,vicugna,7
1047,vidame,6
1048,vide,4
1049,videlicet,9
1050,vidette,7
1051,vidonia,7
1052,viduage,7
1053,vidual,6
1054,viduation,9
1055,viduity,7
1056,vied,4
1057,vying,5
1058,vie,3
1059,vielle,6
1060,viennese,8
1061,view,4
1062,viewed,6
1063,viewing,7
1064,viewer,6
1065,viewiness,9
1066,viewless,8
1067,viewly,6
1068,viewsome,8
1069,viewy,5
1070,vifda,5
1071,vigesimal,9
1072,vigesimation,12
1073,vigil,5
1074,vigilance,9
1075,vigilancy,9
1076,vigilant,8
1077,vigilantly,10
1078,vigily,6
1079,vigintivirate,13
1080,vignette,8
1081,vigonia,7
1082,vigor,5
1083,vigorite,8
1084,vigoroso,8
1085,vigorous,8
1086,viking,6
1087,vilany,6
1088,vilayet,7
1089,vild,4
1090,vile,4
1091,viled,5
1092,vileyns,7
1093,vilification,12
1094,vilifier,8
1095,vilified,8
1096,vilifying,9
1097,vilify,6
1098,vilipend,8
1099,vilipendency,12
1100,vility,6
1101,vill,4
1102,villas,6
1103,villa,5
1104,village,7
1105,villager,8
1106,villagery,9
1107,villain,7
1108,villainous,10
1109,villainies,10
1110,villainy,8
1111,villakin,8
1112,villan,6
1113,villanage,9
1114,villanel,8
1115,villanelle,10
1116,villanella,10
1117,villanette,10
1118,villanized,10
1119,villanizing,11
1120,villanize,9
1121,villanizer,10
1122,villanous,9
1123,villanously,11
1124,villanousness,13
1125,villany,7
1126,villatic,8
1127,villein,7
1128,villenage,9
1129,villenous,9
1130,villi,5
1131,villiform,9
1132,villose,7
1133,villosity,9
1134,villous,7
1135,villus,6
1136,vim,3
1137,vimen,5
1138,viminal,7
1139,vimineous,9
1140,vinaceous,9
1141,vinaigrette,11
1142,vinagrous,9
1143,vinasse,7
1144,vinatico,8
1145,vincentian,10
1146,vincetoxin,10
1147,vincibility,11
1148,vincible,8
1149,vincibleness,12
1150,vincture,8
1151,vincula,7
1152,vinculums,9
1153,vinculum,8
1154,vindemial,9
1155,vindemiate,10
1156,vindemiation,12
1157,vindicable,10
1158,vindicated,10
1159,vindicating,11
1160,vindicate,9
1161,vindication,11
1162,vindicative,11
1163,vindicator,10
1164,vindicatory,11
1165,vindictive,10
1166,vine,4
1167,vineal,6
1168,vined,5
1169,vinedresser,11
1170,vinegar,7
1171,vinegarette,11
1172,vinegary,8
1173,viner,5
1174,vinery,6
1175,vinette,7
1176,vinewed,7
1177,vineyard,8
1178,vineyardist,11
1179,vingtun,7
1180,vinic,5
1181,viniculture,11
1182,vinnewed,8
1183,vinny,5
1184,vinolency,9
1185,vinolent,8
1186,vinometer,9
1187,vinose,6
1188,vinosity,8
1189,vinous,6
1190,vinquish,8
1191,vintage,7
1192,vintager,8
1193,vintaging,9
1194,vintner,7
1195,vintry,6
1196,viny,4
1197,vinyl,5
1198,viol,4
1199,viola,5
1200,violable,8
1201,violaceous,10
1202,violaniline,11
1203,violantin,9
1204,violaquercitrin,15
1205,violascent,10
1206,violates,8
1207,violating,9
1208,violate,7
1209,violation,9
1210,violative,9
1211,violator,8
1212,viole,5
1213,violence,8
1214,violent,7
1215,violently,9
1216,violescent,10
1217,violet,6
1218,violin,6
1219,violine,7
1220,violinist,9
1221,violist,7
1222,violoncellist,13
1223,violoncello,11
1224,violone,7
1225,violous,7
1226,violuric,8
1227,viper,5
1228,viperina,8
1229,viperine,8
1230,viperish,8
1231,viperoidea,10
1232,viperoides,10
1233,viperous,8
1234,viraginian,10
1235,viraginity,10
1236,viragoes,8
1237,virago,6
1238,vire,4
1239,virelay,7
1240,virent,6
1241,vireo,5
1242,virescence,10
1243,virescent,9
1244,vireton,7
1245,virgalieu,9
1246,virgate,7
1247,virgated,8
1248,virge,5
1249,virger,6
1250,virgilian,9
1251,virgin,6
1252,virginal,8
1253,virginhood,10
1254,virginia,8
1255,virginity,9
1256,virgo,5
1257,virgouleuse,11
1258,virgularian,11
1259,virgulate,9
1260,virgule,7
1261,virial,6
1262,virid,5
1263,viridescence,12
1264,viridescent,11
1265,viridine,8
1266,viridite,8
1267,viridity,8
1268,viridness,9
1269,virile,6
1270,virility,8
1271,viripotent,10
1272,virmilion,9
1273,virole,6
1274,viroled,7
1275,virose,6
1276,virtu,5
1277,virtual,7
1278,virtuality,10
1279,virtually,9
1280,virtuate,8
1281,virtue,6
1282,virtueless,10
1283,virtuosity,10
1284,virtuosos,9
1285,virtuosi,8
1286,virtuoso,8
1287,virtuosoship,12
1288,virtuous,8
1289,virulence,9
1290,virulency,9
1291,virulent,8
1292,virulented,10
1293,virulently,10
1294,virus,5
1295,vis,3
1296,visa,4
1297,visaed,6
1298,visaing,7
1299,visage,6
1300,visaged,7
1301,visard,6
1302,viscacha,8
1303,viscera,7
1304,visceral,8
1305,viscerated,10
1306,viscerating,11
1307,viscerate,9
1308,visceroskeletal,15
1309,viscid,6
1310,viscidity,9
1311,viscin,6
1312,viscoidal,9
1313,viscosimeter,12
1314,viscosity,9
1315,viscount,8
1316,viscountcy,10
1317,viscountess,11
1318,viscountship,12
1319,viscounty,9
1320,viscous,7
1321,viscum,6
1322,viscus,6
1323,vise,4
1324,viseed,6
1325,viseing,7
1326,vishnu,6
1327,visibility,10
1328,visible,7
1329,visigoth,8
1330,vision,6
1331,visioned,8
1332,visioning,9
1333,visional,8
1334,visionariness,13
1335,visionary,9
1336,visionaries,11
1337,visionist,9
1338,visionless,10
1339,visited,7
1340,visiting,8
1341,visit,5
1342,visitable,9
1343,visitant,8
1344,visitation,10
1345,visitatorial,12
1346,visite,6
1347,visiter,7
1348,visitor,7
1349,visitorial,10
1350,visive,6
1351,visne,5
1352,visnomy,7
1353,vison,5
1354,visor,5
1355,visored,7
1356,vistas,6
1357,vista,5
1358,visto,5
1359,visual,6
1360,visualize,9
1361,vitaille,8
1362,vital,5
1363,vitalic,7
1364,vitalism,8
1365,vitalist,8
1366,vitalistic,10
1367,vitality,8
1368,vitalization,12
1369,vitalized,9
1370,vitalizing,10
1371,vitalize,8
1372,vitally,7
1373,vitals,6
1374,vitellary,9
1375,vitelligenous,13
1376,vitellin,8
1377,vitelline,9
1378,vitellogene,11
1379,vitellus,8
1380,vitiated,8
1381,vitiating,9
1382,vitiate,7
1383,vitiation,9
1384,viticulose,10
1385,viticultural,12
1386,viticulture,11
1387,viticulturist,13
1388,vitiligo,8
1389,vitilitigate,12
1390,vitilitigation,14
1391,vitiosity,9
1392,vitious,7
1393,vitiously,9
1394,vitiousness,11
1395,vitis,5
1396,vitoe,5
1397,vitrella,8
1398,vitreous,8
1399,vitreousness,12
1400,vitrescence,11
1401,vitrescent,10
1402,vitrescible,11
1403,vitric,6
1404,vitrifaction,12
1405,vitrifacture,12
1406,vitrifiable,11
1407,vitrificable,12
1408,vitrificate,11
1409,vitrification,13
1410,vitrified,9
1411,vitriform,9
1412,vitrifying,10
1413,vitrify,7
1414,vitrina,7
1415,vitriol,7
1416,vitriolated,11
1417,vitriolating,12
1418,vitriolate,10
1419,vitriolation,12
1420,vitriolic,9
1421,vitriolizable,13
1422,vitriolization,14
1423,vitriolize,10
1424,vitriolous,10
1425,vitrite,7
1426,vitruvian,9
1427,vittae,6
1428,vitta,5
1429,vittate,7
1430,vituline,8
1431,vituperable,11
1432,vituperate,10
1433,vituperation,12
1434,vituperative,12
1435,vituperator,11
1436,vituperrious,12
1437,vivace,6
1438,vivacious,9
1439,vivacity,8
1440,vivandiere,10
1441,vivariums,9
1442,vivaria,7
1443,vivarium,8
1444,vivaries,8
1445,vivary,6
1446,vivda,5
1447,vive,4
1448,vively,6
1449,vivency,7
1450,viverra,7
1451,viverrine,9
1452,vivers,6
1453,vives,5
1454,vivianite,9
1455,vivid,5
1456,vividity,8
1457,vivific,7
1458,vivifical,9
1459,vivificate,10
1460,vivification,12
1461,vivificative,12
1462,vivified,8
1463,vivifying,9
1464,vivify,6
1465,vivipara,8
1466,viviparity,10
1467,viviparous,10
1468,viviparously,12
1469,viviparousness,14
1470,vivisect,8
1471,vivisection,11
1472,vivisectional,13
1473,vivisectionist,14
1474,vivisector,10
1475,vixen,5
1476,vixenish,8
1477,vixenly,7
1478,viz,3
1479,vizard,6
1480,vizarded,8
1481,vizcacha,8
1482,vizier,6
1483,vizierate,9
1484,vizierial,9
1485,vizir,5
1486,vizor,5
1487,vlissmaki,9
1488,vocable,7
1489,vocabularies,12
1490,vocabulary,10
1491,vocabulist,10
1492,vocal,5
1493,vocalic,7
1494,vocalism,8
1495,vocalist,8
1496,vocality,8
1497,vocalization,12
1498,vocalized,9
1499,vocalizing,10
1500,vocalize,8
1501,vocally,7
1502,vocalness,9
1503,vocation,8
1504,vocative,8
1505,vociferance,11
1506,vociferant,10
1507,vociferate,10
1508,vociferated,11
1509,vociferating,12
1510,vociferation,12
1511,vociferator,11
1512,vociferous,10
1513,vocule,6
1514,vodanium,8
1515,vodka,5
1516,voe,3
1517,vogle,5
1518,vogue,5
1519,voice,5
1520,voiced,6
1521,voicing,7
1522,voiceful,8
1523,voiceless,9
1524,void,4
1525,voided,6
1526,voiding,7
1527,voidable,8
1528,voidance,8
1529,voider,6
1530,voidness,8
1531,voiture,7
1532,voivode,7
1533,volacious,9
1534,volador,7
1535,volage,6
1536,volant,6
1537,volante,7
1538,volapuk,7
1539,volapukist,10
1540,volar,5
1541,volary,6
1542,volatile,8
1543,volatileness,12
1544,volatility,10
1545,volatilizable,13
1546,volatilization,14
1547,volatilized,11
1548,volatilizing,12
1549,volatilize,10
1550,volator,7
1551,volborthite,11
1552,volcanian,9
1553,volcanic,8
1554,volcanically,12
1555,volcanicity,11
1556,volcanism,9
1557,volcanist,9
1558,volcanity,9
1559,volcanization,13
1560,volcanized,10
1561,volcanizing,11
1562,volcanize,9
1563,volcanoes,9
1564,volcano,7
1565,vole,4
1566,volery,6
1567,volge,5
1568,volitable,9
1569,volitation,10
1570,volitient,9
1571,volition,8
1572,volitional,10
1573,volitive,8
