,K,Length
772,kumiss,6
773,kummel,6
774,kumquat,7
775,kupfernickel,12
776,kurd,4
777,kurdish,7
778,kurilian,8
779,kursaal,7
780,kusimanse,9
781,kuskus,6
782,kussier,7
783,kutauss,7
784,kutch,5
785,ky,2
786,kyannite,8
787,kyanized,8
788,kyanizing,9
789,kyanize,7
790,kyanol,6
791,kyanophyll,10
792,kyar,4
793,kyaw,4
794,kyd,3
795,kydde,5
796,kyke,4
797,kyley,5
798,kyloes,6
799,kymnel,6
800,kymograph,9
801,kymographic,11
802,kymric,6
803,kymry,5
804,kynrede,7
805,kynurenic,9
806,kyrie,5
807,kyrielle,8
808,kyriolexy,9
809,kyriology,9
810,kyriological,12
811,kythed,6
812,kything,7
813,kythe,5
814,kytomiton,9
815,kytoplasma,10
