,W,Length
365,washiness,9
366,washingtonian,13
367,washout,7
368,washpot,7
369,washstand,9
370,washtub,7
371,washy,5
372,wasite,6
373,wasium,6
374,wasp,4
375,waspish,7
376,wassail,7
377,wassailer,9
378,wast,4
379,wastage,7
380,waste,5
381,wasted,6
382,wasting,7
383,wastebasket,11
384,wasteboard,10
385,wastebook,9
386,wasteful,8
387,wastel,6
388,wasteness,9
389,waster,6
390,wastethrift,11
391,wasteweir,9
392,wastor,6
393,wastorel,8
394,wastrel,7
395,watch,5
396,watched,7
397,watching,8
398,watchdog,8
399,watcher,7
400,watches,7
401,watchet,7
402,watchful,8
403,watchhouses,11
404,watchhouse,10
405,watchmaker,10
406,watchmen,8
407,watchman,8
408,watchtower,10
409,watchword,9
410,water,5
411,watered,7
412,watering,8
413,waterage,8
414,waterboard,10
415,waterbok,8
416,waterer,7
417,waterfall,9
418,waterflood,10
419,waterfowl,9
420,waterhorse,10
421,waterie,7
422,wateriness,10
423,waterish,8
424,waterishness,12
425,waterlander,11
426,waterlandian,12
427,waterleaf,9
428,waterless,9
429,watermen,8
430,waterman,8
431,watermark,9
432,watermelon,10
433,waterpot,8
434,waterproof,10
435,waterproofing,13
436,waterscape,10
437,watershed,9
438,watershoot,10
439,waterspout,10
440,watertath,9
441,waterway,8
442,waterweed,9
443,waterwork,9
444,waterworn,9
445,waterwort,9
446,watery,6
447,watt,4
448,wattmeter,9
449,wattle,6
450,wattled,7
451,wattling,8
452,wattlebird,10
453,waucht,6
454,waught,6
455,waul,4
456,waur,4
457,wave,4
458,waved,5
459,waving,6
460,waveless,8
461,wavelet,7
462,wavellite,9
463,wavered,7
464,wavering,8
465,waver,5
466,waverer,7
467,waveringly,10
468,waveringness,12
469,waveson,7
470,waveworn,8
471,wavey,5
472,waviness,8
473,wavure,6
474,wavy,4
475,wawaskeesh,10
476,wawe,4
477,wawl,4
478,waxed,5
479,waxen,5
480,waxing,6
481,wax,3
482,waxberry,8
483,waxbill,7
484,waxbird,7
485,waxiness,8
486,waxwing,7
487,waxwork,7
488,waxworker,9
489,waxy,4
490,way,3
491,waybill,7
492,waybread,8
493,waybung,7
494,wayed,5
495,wayfare,7
496,wayfarer,8
497,wayfaring,9
498,waygate,7
499,wayk,4
500,waylaid,7
501,waylaying,9
502,waylay,6
503,waylayer,8
504,wayless,7
505,wayleway,8
506,waymaker,8
507,waymark,7
508,waymented,9
509,waymenting,10
510,wayment,7
511,wayside,7
512,wayward,7
513,waywiser,8
514,waywode,7
515,waywodeship,11
516,wayworn,7
517,we,2
518,weak,4
519,weakened,8
520,weakening,9
521,weaken,6
522,weakener,8
523,weakfish,8
524,weakish,7
525,weakishness,11
526,weakling,8
527,weakly,6
528,weakness,8
529,weal,4
530,weald,5
531,wealden,7
532,wealdish,8
533,wealful,7
534,wealsmen,8
535,wealsman,8
536,wealth,6
537,wealthful,9
538,wealthily,9
539,wealthiness,11
540,wealthy,7
541,weaned,6
542,weaning,7
543,wean,4
544,weanedness,10
545,weanel,6
546,weanling,8
547,weapon,6
548,weaponed,8
549,weaponless,10
550,weaponry,8
551,wear,4
552,wore,4
553,worn,4
554,wearing,7
555,weared,6
556,wearable,8
557,wearer,6
558,weariable,9
559,weariful,8
560,weariless,9
561,wearily,7
562,weariness,9
563,wearish,7
564,wearisome,9
565,weary,5
566,wearied,7
567,wearying,8
568,weasand,7
569,weasel,6
570,weaser,6
571,weasiness,9
572,weasy,5
573,weather,7
574,weathered,9
575,weathering,10
576,weatherbit,10
577,weatherboard,12
578,weatherboarding,15
579,weathercock,11
580,weatherglass,12
581,weatherliness,13
582,weatherly,9
583,weathermost,11
584,weatherproof,12
585,weatherwise,11
586,weatherwiser,12
587,weatherworn,11
588,wove,4
589,woven,5
590,weaving,7
591,weaved,6
592,weave,5
593,weaver,6
594,weaverfish,10
595,weazand,7
596,weazen,6
597,weazeny,7
598,web,3
599,webbed,6
600,webbing,7
601,webber,6
602,webby,5
603,weber,5
604,webeye,6
605,webfeet,7
606,webfoot,7
607,webster,7
608,websterite,10
609,webform,7
610,wed,3
611,wedded,6
612,wedding,7
613,weddahs,7
614,wedder,6
615,weder,5
616,wedge,5
617,wedged,6
618,wedging,7
619,wedgebill,9
620,wedgewise,9
621,wedgy,5
622,wedlock,7
623,wednesday,9
624,wee,3
625,weed,4
626,weeded,6
627,weeding,7
628,weeder,6
629,weedery,7
630,weedless,8
631,weedy,5
632,week,4
633,weekly,6
634,weeklies,8
635,weekwam,7
636,weel,4
637,weely,5
638,ween,4
639,weep,4
640,wept,4
641,weeping,7
642,weeper,6
643,weepful,7
644,weepingly,9
645,weerish,7
646,weesel,6
647,weet,4
648,wot,3
649,weetingly,9
650,weetless,8
651,weever,6
652,weevil,6
653,weeviled,8
654,weevily,7
655,weezel,6
656,weft,4
657,weftage,7
658,wegotism,8
659,wehrgeld,8
660,wehrgelt,8
661,wehrwolf,8
662,weigela,7
663,weigelia,8
664,weigh,5
665,weighed,7
666,weighing,8
667,weighable,9
668,weighage,8
669,weighbeam,9
670,weighboard,10
671,weighbridge,11
672,weigher,7
673,weighlock,9
674,weighmaster,11
675,weight,6
676,weighted,8
677,weighting,9
678,weightily,9
679,weightiness,11
680,weightless,10
681,weighty,7
682,weir,4
683,weird,5
684,weirdness,9
685,weism,5
686,weive,5
687,weka,4
688,wekau,5
689,wekeen,6
690,welaway,7
691,welch,5
692,welcher,7
693,welchman,8
694,welcome,7
695,welcomed,8
696,welcoming,9
697,welcomely,9
698,welcomeness,11
699,welcomer,8
700,weld,4
701,welded,6
702,welding,7
703,weldable,8
704,welder,6
705,wele,4
706,weleful,7
707,welew,5
708,welfare,7
709,welfaring,9
710,welked,6
711,welking,7
712,welk,4
713,welkin,6
714,well,4
715,welled,6
716,welling,7
717,welladay,8
718,wellat,6
719,welldoer,8
720,welldoing,9
721,welldrained,11
722,welldrain,9
723,wellfare,8
724,wellhead,8
725,wellhole,8
726,wellingtonia,12
727,wellingtons,11
728,wellspring,10
729,wellwisher,10
730,wels,4
731,welsh,5
732,welsher,7
733,welshmen,8
734,welshman,8
735,welsome,7
736,welt,4
737,welted,6
738,welting,7
739,welte,5
740,weltered,8
741,weltering,9
742,welter,6
743,welwitschia,11
744,wem,3
745,wemless,7
746,wench,5
747,wenched,7
748,wenching,8
749,wencher,7
750,wenchless,9
751,wend,4
752,wended,6
753,went,4
754,wending,7
755,wende,5
756,wendic,6
757,wendish,7
758,wends,5
759,wene,4
760,wennel,6
761,wennish,7
762,wenny,5
763,wenona,6
764,wentletrap,10
765,wep,3
766,wepen,5
767,werche,6
768,were,4
769,weregild,8
770,werewolves,10
771,werewolf,8
772,werk,4
773,werke,5
774,wern,4
775,wernerian,9
776,wernerite,9
777,weroole,7
778,werre,5
779,werrey,6
780,werst,5
781,wert,4
782,weryangle,9
783,wesand,6
784,wesh,4
785,wesil,5
786,wesleyan,8
787,wesleyanism,11
788,west,4
789,westering,9
790,westerly,8
791,western,7
792,westerner,9
793,westernmost,11
794,westing,7
795,westling,8
796,westmost,8
797,westward,8
798,westwards,9
799,westwardly,10
800,westy,5
801,wet,3
802,wetted,6
803,wetting,7
804,wetbird,7
805,wether,6
806,westness,8
807,wettish,7
808,wevil,5
809,wex,3
810,wey,3
811,weyle,5
812,weyleway,8
813,weyve,5
814,wezand,6
815,whaap,5
816,whacked,7
817,whacking,8
818,whack,5
819,whacker,7
820,whahoo,6
821,whaled,6
822,whaling,7
823,whala,5
824,whale,5
825,whaleboat,9
826,whalebone,9
827,whalemen,8
828,whaleman,8
829,whaler,6
830,whall,5
831,whally,6
832,whame,5
833,whammel,7
834,whan,4
835,whang,5
836,whanghee,8
837,whap,4
838,whop,4
839,whapped,7
840,whapping,8
841,whapper,7
842,whopper,7
843,whopping,8
844,wharfs,6
845,wharves,7
846,wharf,5
847,wharfed,7
848,wharfing,8
849,wharfage,8
850,wharfinger,10
851,wharl,5
852,wharling,8
853,wharp,5
854,what,4
855,whatever,8
856,whatnot,7
857,whatso,6
858,whatsoever,10
859,whaul,5
860,whaup,5
861,wheal,5
862,whealworm,9
863,wheat,5
864,wheatbird,9
865,wheatear,8
866,wheaten,7
867,wheatworm,9
868,wheder,6
869,wheedled,8
870,wheedling,9
871,wheedle,7
872,wheel,5
873,wheeled,7
874,wheeling,8
875,wheelband,9
876,wheelbarrow,11
877,wheelbird,9
878,wheeler,7
879,wheelhouse,10
880,wheelmen,8
881,wheelman,8
882,wheelswarf,10
883,wheelwork,9
884,wheelwright,11
885,wheely,6
886,wheen,5
887,wheezed,7
888,wheezing,8
889,wheeze,6
890,wheezy,6
891,wheft,5
892,whelk,5
893,whelked,7
894,whelky,6
895,whelmed,7
896,whelming,8
897,whelm,5
898,whelp,5
899,whelped,7
900,whelping,8
901,when,4
902,whenas,6
903,whence,6
904,whenceever,10
905,whenceforth,11
906,whencesoever,12
907,whenever,8
908,whennes,7
909,whensoever,10
910,where,5
911,whereabout,10
912,whereabouts,11
913,whereas,7
914,whereat,7
915,whereby,7
916,wherefore,9
917,whereform,9
918,wherein,7
919,whereinto,9
920,whereness,9
921,whereof,7
922,whereon,7
923,whereout,8
924,whereso,7
925,wheresoever,11
926,wherethrough,12
927,whereto,7
928,whereunto,9
929,whereupon,9
930,wherever,8
931,wherewith,9
932,wherewithal,11
933,whereret,8
934,wherret,7
935,wherries,8
936,wherry,6
937,wherso,6
938,whetted,7
939,whetting,8
940,whet,4
941,whether,7
942,whethering,10
943,whetile,7
944,whetstone,9
945,whetter,7
946,whettlebones,12
947,whew,4
948,whewellite,10
949,whewer,6
950,whey,4
951,wheyey,6
952,wheyface,8
953,wheyish,7
954,which,5
955,whichever,9
956,whichsoever,11
957,whider,6
958,whiff,5
959,whiffed,7
960,whiffing,8
961,whiffet,7
962,whiffled,8
963,whiffling,9
964,whiffle,7
965,whiffler,8
966,whiffletree,11
967,whig,4
968,whiggamore,10
969,whiggarchy,10
970,whiggery,8
971,whiggish,8
972,whiggishly,10
973,whiggism,8
974,whigling,8
975,while,5
976,whiled,6
977,whiling,7
978,whilere,7
979,whiles,6
980,whilk,5
981,whilom,6
982,whilst,6
983,whim,4
984,whimbrel,8
985,whimling,8
986,whimmy,6
987,whimpered,9
988,whimpering,10
989,whimper,7
990,whimperer,9
991,whimple,7
992,whimseys,8
993,whimsies,8
994,whimsey,7
995,whimsy,6
996,whimsical,9
997,whimsicality,12
998,whimsically,11
999,whimsicalness,13
1000,whimwham,8
1001,whin,4
1002,whinberry,9
1003,whinchat,8
1004,whined,6
1005,whining,7
1006,whine,5
1007,whiner,6
1008,whinge,6
1009,whinger,7
1010,whiningly,9
1011,whinner,7
1012,whinnied,8
1013,whinnying,9
1014,whinny,6
1015,whinnies,8
1016,whinock,7
1017,whinstone,9
1018,whinyard,8
1019,whipped,7
1020,whipping,8
1021,whip,4
1022,whipcord,8
1023,whipgrafted,11
1024,whipgrafting,12
1025,whipgraft,9
1026,whiplash,8
1027,whipparee,9
1028,whipper,7
1029,whipperin,9
1030,whippersnapper,14
1031,whippletree,11
1032,whipsaw,7
1033,whipstaff,9
1034,whipstalk,9
1035,whipster,8
1036,whipstick,9
1037,whipstitch,10
1038,whipstock,9
1039,whipt,5
1040,whipworm,8
1041,whirred,7
1042,whirring,8
1043,whir,4
1044,whirled,7
1045,whirling,8
1046,whirl,5
1047,whirlabout,10
1048,whirlbat,8
1049,whirlbone,9
1050,whirler,7
1051,whirlicote,10
1052,whirligig,9
1053,whirlpit,8
1054,whirlpool,9
1055,whirlwig,8
1056,whirlwind,9
1057,whirry,6
1058,whirtle,7
1059,whisk,5
1060,whisked,7
1061,whisking,8
1062,whisker,7
1063,whiskered,9
1064,whiskerless,11
1065,whisket,7
1066,whiskey,7
1067,whiskeys,8
1068,whiskies,8
1069,whisky,6
1070,whiskin,7
1071,whiskyfied,10
1072,whiskeyfied,11
1073,whisp,5
1074,whispered,9
1075,whispering,10
1076,whisper,7
1077,whisperer,9
1078,whisperingly,12
1079,whisperously,12
1080,whist,5
1081,whistled,8
1082,whistling,9
1083,whistle,7
1084,whistlefish,11
1085,whistler,8
1086,whistlewing,11
1087,whistlewood,11
1088,whistlingly,11
1089,whistly,7
1090,whit,4
1091,white,5
1092,whited,6
1093,whiting,7
1094,whiteback,9
1095,whitebait,9
1096,whitebeam,9
1097,whitebeard,10
1098,whitebelly,10
1099,whitebill,9
1100,whiteblow,9
1101,whiteboy,8
1102,whiteboyism,11
1103,whitecap,8
1104,whitecoat,9
1105,whitefish,9
1106,whiteflaw,9
1107,whitehead,9
1108,whitely,7
1109,whitened,8
1110,whitening,9
1111,whiten,6
1112,whitener,8
1113,whiteness,9
1114,whiterump,9
1115,whites,6
1116,whiteside,9
1117,whitesmith,10
1118,whitester,9
1119,whitetail,9
1120,whitethorn,10
1121,whitethroat,11
1122,whitetop,8
1123,whitewall,9
1124,whitewash,9
1125,whitewashed,11
1126,whitewashing,12
1127,whitewasher,11
1128,whiteweed,9
1129,whitewing,9
1130,whitewood,9
1131,whitewort,9
1132,whitflaw,8
1133,whither,7
1134,whithersoever,13
1135,whitherward,11
1136,whitile,7
1137,whitish,7
1138,whitishness,11
1139,whitleather,11
1140,whitling,8
1141,whitlow,7
1142,whitmonday,10
1143,whitneyite,10
1144,whitson,7
1145,whitsour,8
1146,whitster,8
1147,whitsun,7
1148,whitsunday,10
1149,whitsuntide,11
1150,whitterick,10
1151,whittle,7
1152,whittled,8
1153,whittling,9
1154,whittlings,10
1155,whittret,8
1156,whittuesday,11
1157,whitwall,8
1158,whizzed,7
1159,whizzing,8
1160,whiz,4
1161,whizzingly,10
1162,who,3
1163,whoa,4
1164,whobub,6
1165,whoever,7
1166,whole,5
1167,wholeness,9
1168,wholesale,9
1169,wholesome,9
1170,wholly,6
1171,whom,4
1172,whomsoever,10
1173,whoobub,7
1174,whoop,5
1175,whooped,7
1176,whooping,8
1177,whooper,7
1178,whoot,5
1179,whore,5
1180,whored,6
1181,whoring,7
1182,whoredom,8
1183,wheremaster,11
1184,whoremasterly,13
1185,whoremonger,11
1186,whoreson,8
1187,whorish,7
1188,whorl,5
1189,whorled,7
1190,whorler,7
1191,whort,5
1192,whortle,7
1193,whortleberry,12
1194,whose,5
1195,whosesoever,11
1196,whoso,5
1197,whosoever,9
1198,whot,4
1199,whur,4
1200,whurry,6
1201,whurt,5
1202,why,3
1203,wich,4
1204,wichitas,8
1205,wick,4
1206,wicke,5
1207,wicked,6
1208,wickedly,8
1209,wickedness,10
1210,wicker,6
1211,wickered,8
1212,wickerwork,10
1213,wicket,6
1214,wicking,7
1215,wiclifite,9
1216,wickliffite,11
1217,wicopy,6
1218,widdy,5
1219,wide,4
1220,widegap,7
1221,widely,6
1222,widened,7
1223,widening,8
1224,widen,5
1225,wideness,8
1226,widespread,10
1227,widewhere,9
1228,widgeon,7
1229,widish,6
1230,widow,5
1231,widowed,7
1232,widowing,8
1233,widower,7
1234,widowerhood,11
1235,widowhood,9
1236,widowly,7
1237,width,5
1238,widual,6
1239,widwe,5
1240,wielded,7
1241,wielding,8
1242,wield,5
1243,wieldable,9
1244,wieldance,9
1245,wielder,7
1246,wieldless,9
1247,wieldsome,9
1248,wieldy,6
1249,wier,4
1250,wierangle,9
1251,wiery,5
1252,wives,5
1253,wife,4
1254,wifehood,8
1255,wifeless,8
1256,wifelike,8
1257,wifely,6
1258,wig,3
1259,wigged,6
1260,wigging,7
1261,wigan,5
1262,wigeon,6
1263,wigg,4
1264,wiggery,7
1265,wiggle,6
1266,wiggler,7
1267,wigher,6
1268,wight,5
1269,wightly,7
1270,wigless,7
1271,wigwag,6
1272,wigwam,6
1273,wike,4
1274,wikke,5
1275,wild,4
1276,wildebeest,10
1277,wilded,6
1278,wildered,8
1279,wildering,9
1280,wilder,6
1281,wilderment,10
1282,wilderness,10
1283,wildfire,8
1284,wildgrave,9
1285,wilding,7
1286,wildish,7
1287,wildly,6
1288,wildness,8
1289,wildwood,8
1290,wile,4
1291,wileful,7
1292,wilful,6
1293,wilfully,8
1294,wilfulness,10
1295,wiliness,8
1296,wilk,4
1297,will,4
1298,would,5
1299,willed,6
1300,willing,7
1301,willemite,9
1302,willer,6
1303,willet,6
1304,willful,7
1305,willier,7
1306,willingly,9
1307,willingness,11
1308,williwaw,8
1309,willywaw,8
1310,willock,7
1311,willow,6
1312,willowed,8
1313,willower,8
1314,willowish,9
1315,willowy,7
1316,willsome,8
1317,willy,5
1318,willying,8
1319,wilne,5
1320,wilt,4
1321,wilting,7
1322,wilwe,5
1323,wily,4
1324,wimble,6
1325,wimbled,7
1326,wimbling,8
1327,wimbrel,7
1328,wimple,6
1329,wimpled,7
1330,wimpling,8
1331,won,3
1332,winning,7
1333,win,3
1334,winced,6
1335,wincing,7
1336,wince,5
1337,wincer,6
1338,wincey,6
1339,winch,5
1340,wincopipe,9
1341,wound,5
1342,winded,6
1343,winding,7
1344,wind,4
1345,windage,7
1346,windas,6
1347,windbore,8
1348,windbound,9
1349,winder,6
1350,windfall,8
1351,windfallen,10
1352,windflower,10
1353,windgall,8
1354,windhover,9
1355,windiness,9
1356,windingly,9
1357,windlace,8
1358,windlass,8
1359,windle,6
1360,windless,8
1361,windlestrae,11
1362,windlestraw,11
1363,windmill,8
1364,windore,7
1365,window,6
1366,windowed,8
1367,windowing,9
1368,windowless,10
1369,windowpane,10
1370,windowy,7
1371,windpipe,8
1372,windrow,7
1373,windrowed,9
1374,windrowing,10
1375,windsor,7
1376,windstorm,9
1377,windtight,9
1378,windward,8
1379,windy,5
1380,wine,4
1381,wineberry,9
1382,winebibber,10
1383,wineglass,9
1384,wineglassfuls,13
1385,wineglassful,12
1386,wineless,8
1387,winery,6
1388,wing,4
1389,winged,6
1390,winging,7
1391,winger,6
1392,wingfish,8
1393,wingless,8
1394,winglet,7
1395,wingmanship,11
1396,wingy,5
1397,winked,6
1398,winking,7
1399,wink,4
1400,winker,6
1401,winkingly,9
1402,winkle,6
1403,winnebagoes,11
1404,winner,6
1405,winningly,9
1406,winningness,11
1407,winninish,9
1408,winnowed,8
1409,winnowing,9
1410,winnew,6
1411,winnow,6
1412,winnower,8
1413,winrow,6
1414,winsing,7
1415,winsome,7
1416,winsomeness,11
1417,winter,6
1418,wintered,8
1419,wintering,9
1420,wintergreen,11
1421,winterkilled,12
1422,winterkilling,13
1423,winterkill,10
1424,winterly,8
1425,wintertide,10
1426,winterweed,10
1427,wintery,7
1428,wintry,6
1429,winy,4
1430,winze,5
1431,wipe,4
1432,wiped,5
1433,wiping,6
1434,wiper,5
1435,wirbled,7
1436,wirbling,8
1437,wirble,6
1438,wirche,6
1439,wire,4
1440,wired,5
1441,wiring,6
1442,wiredrew,8
1443,wiredrawn,9
1444,wiredrawing,11
1445,wiredraw,8
1446,wirework,8
1447,wireworm,8
1448,wiriness,8
1449,wiry,4
1450,wis,3
1451,wisard,6
1452,wisdom,6
1453,wise,4
1454,wiseacre,8
1455,wiseling,8
1456,wisely,6
1457,wiseness,8
1458,wished,6
1459,wishing,7
1460,wish,4
1461,wishable,8
1462,wishbone,8
1463,wishedly,8
1464,wisher,6
1465,wishful,7
1466,wishly,6
1467,wishtonwish,11
1468,wisket,6
1469,wisly,5
1470,wisp,4
1471,wisped,6
1472,wisping,7
1473,wispen,6
1474,wisse,5
1475,wist,4
1476,wistaria,8
1477,wistful,7
1478,wistit,6
1479,wistly,6
1480,wistonwish,10
1481,wit,3
1482,wite,4
1483,wist(e),7
1484,wit(t)ing,9
1485,witch,5
1486,witched,7
1487,witching,8
1488,witchcraft,10
1489,witcheries,10
1490,witchery,8
1491,witchuck,8
1492,witcraft,8
1493,witeless,8
1494,witen,5
1495,witenagemote,12
1496,witfish,7
1497,witful,6
1498,with,4
1499,withal,6
1500,withamite,9
1501,withdrew,8
1502,withdrawn,9
1503,withdrawing,11
1504,withdraw,8
1505,withdrawal,10
1506,withdrawer,10
1507,withdrawment,12
1508,withe,5
1509,withed,6
1510,withing,7
1511,withered,8
1512,withering,9
1513,wither,6
1514,witherband,10
1515,witherite,9
1516,witherling,10
1517,withernam,9
1518,withers,7
1519,withheld,8
1520,withholden,10
1521,withholding,11
1522,withhold,8
1523,withholder,10
1524,withholdment,12
1525,within,6
1526,withinforth,11
1527,withinside,10
1528,without,7
1529,withouten,9
1530,withoutforth,12
1531,withsay,7
1532,withset,7
1533,withstood,9
1534,withstanding,12
1535,withstand,9
1536,withstander,11
1537,withvine,8
1538,withwind,8
1539,withwine,8
1540,withies,7
1541,withy,5
1542,witing,6
1543,witless,7
1544,witling,7
1545,witness,7
1546,witnessed,9
1547,witnessing,10
1548,witnesser,9
1549,witted,6
1550,witticaster,11
1551,witticism,9
1552,wittified,9
1553,witily,6
1554,wittiness,9
1555,wittingly,9
1556,wittol,6
1557,wittolly,8
1558,witts,5
1559,witty,5
1560,witwal,6
1561,witwall,7
1562,witworm,7
1563,wived,5
1564,wiving,6
1565,wive,4
1566,wivehood,8
1567,wiveless,8
1568,wively,6
1569,wiver,5
1570,wivern,6
1571,wizard,6
1572,wizardly,8
1573,wizardry,8
1574,wizen,5
1575,wizened,7
1576,wlatsome,8
1577,wo,2
1578,woad,4
1579,woaded,6
1580,woald,5
1581,wobble,6
1582,wode,4
1583,wodegeld,8
1584,woden,5
1585,woe,3
1586,woeful,6
1587,woful,5
1588,woefully,8
1589,wofully,7
1590,woefulness,10
1591,wofulness,9
1592,woesome,7
1593,wol,3
1594,wold,4
1595,wolde,5
1596,wolves,6
1597,wolf,4
1598,wolfberry,9
1599,wolffian,8
1600,wolfish,7
1601,wolfkin,7
1602,wolfling,8
1603,wolfram,7
1604,wolframate,10
1605,wolframic,9
1606,wolframite,10
1607,wolframium,10
1608,wolfsbane,9
1609,woll,4
1610,wollastonite,12
1611,wolle,5
1612,wolverene,9
1613,wolverine,9
1614,wolvish,7
1615,women,5
1616,woman,5
1617,womanhead,9
