,T,Length
654,tawer,5
655,tawery,6
656,tawniness,9
657,tawny,5
658,taws,4
659,tax,3
660,taxed,5
661,taxing,6
662,taxability,10
663,taxable,7
664,taxaspidean,11
665,taxation,8
666,taxel,5
667,taxeopoda,9
668,taxer,5
669,taxgatherer,11
670,taxiarch,8
671,taxicorn,8
672,taxidermic,10
673,taxidermist,11
674,taxidermy,9
675,taxine,6
676,taxis,5
677,taxless,7
678,taxology,8
679,taxonomic,9
680,taxonomist,10
681,taxonomy,8
682,taxor,5
683,taxpayer,8
684,tayra,5
685,tazel,5
686,tazza,5
687,tchawytcha,10
688,tea,3
689,teaberry,8
690,teaching,8
691,teach,5
692,teachable,9
693,teachableness,13
694,teache,6
695,teacher,7
696,teachless,9
697,teacup,6
698,teacupfuls,10
699,teacupful,9
700,tead,4
701,teade,5
702,teagle,6
703,teague,6
704,teak,4
705,teakettle,9
706,teal,4
707,team,4
708,teamed,6
709,teaming,7
710,teamster,8
711,teamwork,8
712,teapot,6
713,teapoy,6
714,tear,4
715,tore,4
716,torn,4
717,tearing,7
718,tearer,6
719,tearful,7
720,tearless,8
721,tearpit,7
722,teary,5
723,teased,6
724,teasing,7
725,tease,5
726,teasel,6
727,teaseled,8
728,teaselled,9
729,teaseling,9
730,teaselling,10
731,teaseler,8
732,teaser,6
733,teasle,6
734,teaspoon,8
735,teaspoonfuls,12
736,teaspoonful,11
737,teat,4
738,teated,6
739,teathe,6
740,teatish,7
741,teazel,6
742,teazer,6
743,teazle,6
744,tebeth,6
745,techily,7
746,techiness,9
747,technic,7
748,technical,9
749,technicalities,14
750,technicality,12
751,technically,11
752,technicalness,13
753,technicals,10
754,technicist,10
755,technicological,15
756,technicology,12
757,technics,8
758,technique,9
759,technism,8
760,technologic,11
761,technological,13
762,technologist,12
763,technology,10
764,techy,5
765,tectibranch,11
766,tectibranchia,13
767,tectibranchiata,15
768,tectibranchiate,15
769,tectly,6
770,tectology,9
771,tectonic,8
772,tectonics,9
773,tectorial,9
774,tectrices,9
775,tecum,5
776,tedded,6
777,tedding,7
778,ted,3
779,tedder,6
780,teddered,8
781,teddering,9
782,tedge,5
783,tediosity,9
784,tedious,7
785,tedium,6
786,tee,3
787,teek,4
788,teel,4
789,teelseed,8
790,teem,4
791,teemed,6
792,teeming,7
793,teemer,6
794,teemful,7
795,teemless,8
796,teen,4
797,teenage,7
798,teend,5
799,teenful,7
800,teens,5
801,teeny,5
802,teeong,6
803,teest,5
804,teetan,6
805,teetee,6
806,teetered,8
807,teetering,9
808,teeter,6
809,teeth,5
810,teethed,7
811,teething,8
812,teetotal,8
813,teetotaler,10
814,teetotalism,11
815,teetotally,10
816,teetotum,8
817,teetuck,7
818,teeuck,6
819,teewit,6
820,teg,3
821,tegmina,7
822,tegmen,6
823,tegmental,9
824,tegmenta,8
825,tegmentum,9
826,teguexin,8
827,tegulae,7
828,tegula,6
829,tegular,7
830,tegulated,9
831,tegument,8
832,tegumentary,11
833,teil,4
834,teind,5
835,teine,5
836,teinland,8
837,teinoscope,10
838,teint,5
839,teinture,8
840,tek,3
841,telamones,9
842,telangiectasis,14
843,telangiectasy,13
844,telarly,7
845,telary,6
846,teledu,6
847,telegram,8
848,telegrammic,11
849,telegraph,9
850,telegraphed,11
851,telegraphing,12
852,telegrapher,11
853,telegraphic,11
854,telegraphical,13
855,telegraphist,12
856,telegraphy,10
857,telemeter,9
858,teleocephial,12
859,teleological,12
860,teleologist,11
861,teleology,9
862,teleophore,10
863,teleorganic,11
864,teleosaur,9
865,teleosaurus,11
866,teleost,7
867,teleostean,10
868,teleostei,9
869,teleostomi,10
870,teleozoic,9
871,teleozoon,9
872,telepathy,9
873,telepheme,9
874,telephone,9
875,telephonic,10
876,telephonically,14
877,telephony,9
878,telepolariscope,15
879,telerythin,10
880,telescope,9
881,telescoped,10
882,telescoping,11
883,telescopic,10
884,telescopical,12
885,telescopically,14
886,telescopist,11
887,telescopy,9
888,telesm,6
889,telesmatic,10
890,telesmatical,12
891,telespectroscope,16
892,telestereoscope,15
893,telestic,8
894,telestich,9
895,telethermometer,15
896,teleutospore,12
897,telic,5
898,told,4
899,telling,7
900,tell,4
901,tellable,8
902,tellen,6
903,teller,6
904,tellership,10
905,tellina,7
906,telltale,8
907,tellural,8
908,tellurate,9
909,telluret,8
910,tellureted,10
911,tellurhydric,12
912,tellurian,9
913,telluric,8
914,telluride,9
915,tellurism,9
916,tellurite,9
917,tellurium,9
918,tellurize,9
919,tellurous,9
920,telodynamic,11
921,teloogoo,8
922,telotrochae,11
923,telotrocha,10
924,telotrochal,11
925,telotrochous,12
926,telotype,8
927,telpher,7
928,telpherage,10
929,telsons,7
930,telson,6
931,telugu,6
932,temerarious,11
933,temeration,10
934,temerity,8
935,temerous,8
936,tempean,7
937,tempered,8
938,tempering,9
939,temper,6
940,tempera,7
941,temperable,10
942,temperament,11
943,temperamental,13
944,temperance,10
945,temperancy,10
946,temperate,9
947,temperately,11
948,temperateness,13
949,temperative,11
950,temperature,11
951,temperer,8
952,tempest,7
953,tempestive,10
954,tempestivily,12
955,tempestuous,11
956,templar,7
957,template,8
958,temple,6
959,templed,7
960,templet,7
961,tempo,5
962,temporal,8
963,temporalities,13
964,temporality,11
965,temporally,10
966,temporalness,12
967,temporalty,10
968,temporaneous,12
969,temporarily,11
970,temporariness,13
971,temporary,9
972,temporist,9
973,temporization,13
974,temporized,10
975,temporizing,11
976,temporize,9
977,temporizer,10
978,temporizingly,13
979,temporofacial,13
980,temporomalar,12
981,temporomaxillary,16
982,temps,5
983,tempse,6
984,tempted,7
985,tempting,8
986,tempt,5
987,temptability,12
988,temptable,9
989,temptation,10
990,temptationless,14
991,temptatious,11
992,tempter,7
993,temptress,9
994,temse,5
995,temulence,9
996,temulency,9
997,temulent,8
998,temulentive,11
999,ten,3
1000,tenability,10
1001,tenable,7
1002,tenableness,11
1003,tenace,6
1004,tenacious,9
1005,tenacity,8
1006,tenacula,8
1007,tenaculums,10
1008,tenaculum,9
1009,tenacy,6
1010,tenaille,8
1011,tenaillon,9
1012,tenacies,8
1013,tenancy,7
1014,tenant,6
1015,tenanted,8
1016,tenanting,9
1017,tenantable,10
1018,tenantless,10
1019,tenantry,8
1020,tench,5
1021,tend,4
1022,tended,6
1023,tending,7
1024,tendance,8
1025,tendence,8
1026,tendencies,10
1027,tendency,8
1028,tender,6
1029,tendered,8
1030,tendering,9
1031,tenderfoot,10
1032,tenderling,10
1033,tenderloin,10
1034,tenderly,8
1035,tenderness,10
1036,tendinous,9
1037,tendment,8
1038,tendon,6
1039,tendonous,9
1040,tendosynovitis,14
1041,tendrac,7
1042,tendril,7
1043,tendriled,9
1044,tendrilled,10
1045,tendron,7
1046,tendry,6
1047,tene,4
1048,tenebrae,8
1049,tenebricose,11
1050,tenebrific,10
1051,tenebrificous,13
1052,tenebrious,10
1053,tenebrose,9
1054,tenebrosity,11
1055,tenebrous,9
1056,tenement,8
1057,tenemental,10
1058,tenementary,11
1059,tenent,6
1060,teneral,7
1061,teneriffe,9
1062,tenerity,8
1063,tenesmic,8
1064,tenesmus,8
1065,tenet,5
1066,tenfold,7
1067,tenia,5
1068,tenioid,7
1069,tennantite,10
1070,tenne,5
1071,tennis,6
1072,tennu,5
1073,tenon,5
1074,tenonian,8
1075,tenor,5
1076,tenosynovitis,13
1077,tenotome,8
1078,tenotomy,8
1079,tenpenny,8
1080,tenpins,7
1081,tenrec,6
1082,tense,5
1083,tensibility,11
1084,tensible,8
1085,tensile,7
1086,tensiled,8
1087,tensility,9
1088,tension,7
1089,tensioned,9
1090,tensity,7
1091,tensive,7
1092,tensor,6
1093,tensure,7
1094,tent,4
1095,tented,6
1096,tenting,7
1097,tentacle,8
1098,tentacled,9
1099,tentacular,10
1100,tentaculata,11
1101,tentaculate,11
1102,tentaculated,12
1103,tentaculifera,13
1104,tentaculiferous,15
1105,tentaculiform,13
1106,tentaculite,11
1107,tentaculocyst,13
1108,tentacula,9
1109,tentaculum,10
1110,tentage,7
1111,tentation,9
1112,tentative,9
1113,tenter,6
1114,tentered,8
1115,tentering,9
1116,tentfuls,8
1117,tentful,7
1118,tenth,5
1119,tenthly,7
1120,tenthmeter,10
1121,tenthmetre,10
1122,tenthredinides,14
1123,tentif,6
1124,tentifly,8
1125,tentiginous,11
1126,tentmaker,9
1127,tentorium,9
1128,tentory,7
1129,tentwort,8
1130,tenuated,8
1131,tenuating,9
1132,tenuate,7
1133,tenuifolious,12
1134,tenuious,8
1135,tenuirosters,12
1136,tenuiroster,11
1137,tenuirostral,12
1138,tenuirostres,12
1139,tenues,6
1140,tenuis,6
1141,tenuity,7
1142,tenuous,7
1143,tenure,6
1144,teocallis,9
1145,teocalli,8
1146,teosinte,8
1147,tepal,5
1148,tepee,5
1149,tepefaction,11
1150,tepefied,8
1151,tepefying,9
1152,tepefy,6
1153,tephramancy,11
1154,tephrite,8
1155,tephroite,9
1156,tephrosia,9
1157,tepid,5
1158,tepidity,8
1159,tepor,5
1160,tequila,7
1161,teraconic,9
1162,teracrylic,10
1163,teraphs,7
1164,teraph,6
1165,teraphim,8
1166,terapin,7
1167,teratical,9
1168,teratogeny,10
1169,teratoid,8
1170,teratological,13
1171,teratology,10
1172,teratoma,8
1173,terbic,6
1174,terbium,7
1175,terce,5
1176,tercel,6
1177,tercelet,8
1178,tercellene,10
1179,tercentenary,12
1180,tercet,6
1181,tercine,7
1182,terebate,8
1183,terebene,8
1184,terebenthene,12
1185,terebic,7
1186,terebilenic,11
1187,terebinth,9
1188,terebinthic,11
1189,terebinthinate,14
1190,terebinthine,12
1191,terebras,8
1192,terebrae,8
1193,terebra,7
1194,terebrant,9
1195,terebrantia,11
1196,terebrate,9
1197,terebrating,11
1198,terebration,11
1199,terebratulae,12
1200,terebratula,11
1201,terebratulid,12
1202,terebratuliform,15
1203,teredine,8
1204,teredos,7
1205,teredines,9
1206,teredo,6
1207,terephthalate,13
1208,terephthalic,12
1209,teret,5
1210,terete,6
1211,teretial,8
1212,teretous,8
1213,tergal,6
1214,tergant,7
1215,tergeminal,10
1216,tergeminate,11
1217,tergeminous,11
1218,tergiferous,11
1219,tergite,7
1220,tergiversate,12
1221,tergiversation,14
1222,tergiversator,13
1223,terga,5
1224,tergum,6
1225,terin,5
1226,term,4
1227,termed,6
1228,terming,7
1229,terma,5
1230,termagancy,10
1231,termagant,9
1232,termatarium,11
1233,termatary,9
1234,termer,6
1235,termites,8
1236,termes,6
1237,terminable,10
1238,terminal,8
1239,terminalia,10
1240,terminant,9
1241,terminated,10
1242,terminating,11
1243,terminate,9
1244,termination,11
1245,terminational,13
1246,terminative,11
1247,terminator,10
1248,terminatory,11
1249,termine,7
1250,terminer,8
1251,terminism,9
1252,terminist,9
1253,terminological,14
1254,terminology,11
1255,termini,7
1256,terminus,8
1257,termite,7
1258,termless,8
1259,termly,6
1260,termonology,11
1261,termor,6
1262,tern,4
1263,ternary,7
1264,ternaries,9
1265,ternate,7
1266,terneplate,10
1267,ternion,7
1268,terpene,7
1269,terpentic,9
1270,terpenylic,10
1271,terpilene,9
1272,terpin,6
1273,terpinol,8
1274,terpsichore,11
1275,terpsichorean,13
1276,terra,5
1277,terrace,7
1278,terraced,8
1279,terracing,9
1280,terraculture,12
1281,terrane,7
1282,terrapin,8
1283,terraqueous,11
1284,terrar,6
1285,terras,6
1286,terreen,7
1287,terreity,8
1288,terrel,6
1289,terremote,9
1290,terrene,7
1291,terrenity,9
1292,terreous,8
1293,terreplein,10
1294,terrestre,9
1295,terrestrial,11
1296,terrestrify,11
1297,terrestrious,12
1298,terret,6
1299,terrible,8
1300,terricolae,10
1301,terrienniak,11
1302,terrier,7
1303,terrific,8
1304,terrifical,10
1305,terrifically,12
1306,terrified,9
1307,terrifying,10
1308,terrify,7
1309,terrigenous,11
1310,territorial,11
1311,territorialized,15
1312,territorializing,16
1313,territorialize,14
1314,territorially,13
1315,territoried,11
1316,territories,11
1317,territory,9
1318,terror,6
1319,terrorism,9
1320,terrorist,9
1321,terrorize,9
1322,terrorless,10
1323,terry,5
1324,tersanctus,10
1325,terse,5
1326,tersulphide,11
1327,tersulphuret,12
1328,tertial,7
1329,tertian,7
1330,tertiary,8
1331,tertiaries,10
1332,tertiate,8
1333,terutero,8
1334,terzetto,8
1335,tesselar,8
1336,tessellata,10
1337,tessellated,11
1338,tessellating,12
1339,tessellate,10
1340,tessellation,12
1341,tesserae,8
1342,tessera,7
1343,tesseraic,9
1344,tesseral,8
1345,tessular,8
1346,test,4
1347,tested,6
1348,testing,7
1349,tests,5
1350,testae,6
1351,testa,5
1352,testable,8
1353,testacea,8
1354,testacean,9
1355,testaceography,14
1356,testaceology,12
1357,testaceous,10
1358,testacy,7
1359,testament,9
1360,testamental,11
1361,testamentary,12
1362,testamentation,14
1363,testamentize,12
1364,testamur,8
1365,testate,7
1366,testation,9
1367,testator,8
1368,testatrix,9
1369,teste,5
1370,tester,6
1371,testern,7
1372,testes,6
1373,testicardines,13
1374,testicle,8
1375,testicond,9
1376,testicular,10
1377,testiculate,11
1378,testiere,8
1379,testif,6
1380,testification,13
1381,testificator,12
1382,testifier,9
1383,testified,9
1384,testifying,10
1385,testify,7
1386,testimonial,11
1387,testimonies,11
1388,testimony,9
1389,testiness,9
1390,testis,6
1391,teston,6
1392,testone,7
1393,testoon,7
1394,testudinal,10
1395,testudinarious,14
1396,testudinata,11
1397,testudinate,11
1398,testudinated,12
1399,testudineous,12
1400,testudines,10
1401,testudo,7
1402,testy,5
1403,tetanic,7
1404,tetanin,7
1405,tetanization,12
1406,tetanize,8
1407,tetanoid,8
1408,tetanomotor,11
1409,tetanus,7
1410,tetany,6
1411,tetard,6
1412,tetartohedral,13
1413,tetartohedrism,14
1414,tetaug,6
1415,tetchiness,10
1416,tetchy,6
1417,tete,4
1418,tetel,5
1419,tether,6
1420,tethered,8
1421,tethering,9
1422,tethydan,8
1423,tethyodea,9
1424,tethys,6
1425,tetrabasic,10
1426,tetraboric,10
1427,tetrabranchiata,15
1428,tetrabranchiate,15
1429,tetracarpel,11
1430,tetrachord,10
1431,tetrachotomous,14
1432,tetracid,8
1433,tetracoccous,12
1434,tetracolon,10
1435,tetracoralla,12
1436,tetractinellid,14
1437,tetractinellida,15
1438,tetrad,6
1439,tetradactyl,11
1440,tetradactyle,12
1441,tetradactylous,14
1442,tetradecane,11
1443,tetradecapoda,13
1444,tetradic,8
1445,tetradite,9
1446,tetradon,8
1447,tetradont,9
1448,tetradrachm,11
1449,tetradrachma,12
1450,tetradymite,11
1451,tetradynamia,12
1452,tetradynamian,13
1453,tetradynamous,13
1454,tetragon,8
1455,tetragonal,10
1456,tetragrammaton,14
1457,tetragynia,10
1458,tetragynian,11
1459,tetragynous,11
1460,tetrahedral,11
1461,tetrahedrally,13
1462,tetrahedrite,12
1463,tetrahedron,11
1464,tetrahexahedral,15
1465,tetrahexahedron,15
1466,tetrakishexahedron,18
1467,tetrakosane,11
1468,tetralogy,9
1469,tetramera,9
1470,tetramerous,11
1471,tetrameter,10
1472,tetramethylene,14
1473,tetramorph,10
1474,tetrandria,10
1475,tetrandrian,11
1476,tetrandrous,11
1477,tetraonid,9
1478,tetrapetalous,13
1479,tetrapharmacom,14
1480,tetrapharmacum,14
1481,tetraphenol,11
1482,tetraphyllous,13
1483,tetrapla,8
1484,tetraneumona,12
1485,tetrapnuemonian,15
1486,tetrapod,8
1487,tetrapody,9
1488,tetrapteran,11
1489,tetrapterous,12
1490,tetraptote,10
1491,tetrarch,8
1492,tetrarchate,11
1493,tetrarchical,12
1494,tetrarchies,11
1495,tetrarchy,9
1496,tetraschistic,13
1497,tetrasepalous,13
1498,tetraspaston,12
1499,tetraspermous,13
1500,tetraspore,10
1501,tetrastich,10
1502,tetrastyle,10
1503,tetrasyllabic,13
1504,tetrasyllabical,15
1505,terrasyllable,13
1506,tetrathecal,11
1507,tetrathionate,13
1508,tetrathionic,12
1509,tetratomic,10
1510,tetravalence,12
1511,tetravalent,11
1512,tetraxile,9
1513,tetrazone,9
1514,tetric,6
1515,tetrical,8
1516,tetricity,9
1517,tetricous,9
1518,tetrinic,8
1519,tetrodon,8
1520,tetrodont,9
1521,tetrol,6
1522,tetrolic,8
1523,tetroxide,9
1524,tetryl,6
1525,tetrylene,9
1526,tetter,6
1527,tettered,8
1528,tettering,9
1529,tetterous,9
1530,tetterwort,10
1531,tettigonian,11
1532,tettish,7
1533,tettix,6
1534,tetty,5
1535,teufit,6
1536,teuk,4
1537,teutons,7
1538,teutones,8
1539,teuton,6
1540,teutonic,8
1541,teutonicism,11
1542,tewed,5
