,P,Length
969,paraselenae,11
970,paraselene,10
971,parasita,8
972,parasital,9
973,parasite,8
974,parasitic,9
975,parasitical,11
976,parasiticide,12
977,parasitism,10
978,parasol,7
979,parasolette,11
980,parasphenoid,12
981,parastichy,10
982,parasynaxis,11
983,parasynthetic,13
984,paratactic,10
985,parataxis,9
986,paratheses,10
987,parathesis,10
988,parathetic,10
989,paratonnerre,12
990,paraunter,9
991,parauque,8
992,paravail,8
993,paravant,8
994,paraventure,11
995,paraxanthin,11
996,paraxial,8
997,paraxylene,10
998,parboiled,9
999,parboiling,10
1000,parboil,7
1001,parbreak,8
1002,parbuckle,9
1003,parbuckled,10
1004,parbuckling,11
1005,parcae,6
1006,parcase,7
1007,parcel,6
1008,parceled,8
1009,parcelled,9
1010,parceling,9
1011,parcelling,10
1012,parcenary,9
1013,parcener,8
1014,parched,7
1015,parching,8
1016,parch,5
1017,parchedness,11
1018,parchment,9
1019,parcity,7
1020,parclose,8
1021,pard,4
1022,pardale,7
1023,parde,5
1024,pardie,6
1025,pardine,7
1026,pardo,5
1027,pardon,6
1028,pardoned,8
1029,pardoning,9
1030,pardonable,10
1031,pardonableness,14
1032,pardonably,10
1033,pardoner,8
1034,pared,5
1035,paring,6
1036,pare,4
1037,paregoric,9
1038,parelcon,8
1039,parelectronomic,15
1040,parelectronomy,14
1041,parella,7
1042,parelle,7
1043,parembole,9
1044,parement,8
1045,paremptosis,11
1046,parenchyma,10
1047,parenchymal,11
1048,parenchymatous,14
1049,parenchymous,12
1050,parenesis,9
1051,parenetic,9
1052,parenetioal,11
1053,parent,6
1054,parentage,9
1055,parental,8
1056,parentally,10
1057,parentation,11
1058,parentele,9
1059,parentheses,11
1060,parenthesis,11
1061,parenthesize,12
1062,parenthetic,11
1063,parenthetical,13
1064,parenthetically,15
1065,parenthood,10
1066,parentticide,12
1067,parentless,10
1068,parepididymis,13
1069,parer,5
1070,parergon,8
1071,parergy,7
1072,paresis,7
1073,parethmoid,10
1074,paretic,7
1075,parfay,6
1076,parfit,6
1077,parfitly,8
1078,parforn,7
1079,parfourn,8
1080,pargasite,9
1081,pargeboard,10
1082,pargeted,8
1083,pargeting,9
1084,parget,6
1085,pargeter,8
1086,pargetory,9
1087,parhelic,8
1088,parhelia,8
1089,parhelion,9
1090,parhelium,9
1091,pariah,6
1092,parial,6
1093,parian,6
1094,paridigitata,12
1095,parjdigitate,12
1096,parietes,8
1097,paries,6
1098,parietal,8
1099,parietary,9
1100,parietic,8
1101,parietine,9
1102,parigenin,9
1103,parillin,8
1104,paripinnate,11
1105,paris,5
1106,parish,6
1107,parishen,8
1108,parishional,11
1109,parishioner,11
1110,parisian,8
1111,parisienne,10
1112,parisology,10
1113,parisyllabic,12
1114,parisyllabical,14
1115,paritor,7
1116,paritory,8
1117,parity,6
1118,park,4
1119,parked,6
1120,parking,7
1121,parker,6
1122,parkeria,8
1123,parkesine,9
1124,parkleaves,10
1125,parlance,8
1126,parlando,8
1127,parlante,8
1128,parle,5
1129,parleys,7
1130,parley,6
1131,parleyed,8
1132,parleying,9
1133,parliament,10
1134,parliamental,12
1135,parliamentarian,15
1136,parliamentarily,15
1137,parliamentary,13
1138,parlor,6
1139,parlous,7
1140,parmesan,8
1141,parnassia,9
1142,parnassian,10
1143,parnassus,9
1144,paroccipital,12
1145,parochial,9
1146,parochialism,12
1147,parochiality,12
1148,parochialize,12
1149,parochially,11
1150,parochian,9
1151,parodic,7
1152,parodical,9
1153,parodist,8
1154,parodies,8
1155,parody,6
1156,parodied,8
1157,parodying,9
1158,paroket,7
1159,parol,5
1160,parole,6
1161,paroled,7
1162,paroling,8
1163,paromology,10
1164,paronomasia,11
1165,paronomastic,12
1166,paronomastical,14
1167,paronomasy,10
1168,paronychia,10
1169,paronym,7
1170,paronymous,10
1171,paronymy,8
1172,paroophoron,11
1173,paroquet,8
1174,parorchis,9
1175,parosteal,9
1176,parostosis,10
1177,parostotic,10
1178,parotic,7
1179,parotid,7
1180,parotitis,9
1181,parotoid,8
1182,parousia,8
1183,parovarium,10
1184,paroxysm,8
1185,paroxysmal,10
1186,paroxytone,10
1187,parquet,7
1188,parquetage,10
1189,parqueted,9
1190,parquetry,9
1191,parquette,9
1192,parr,4
1193,parrakeet,9
1194,parral,6
1195,parrel,6
1196,parraqua,8
1197,parrhesia,9
1198,parricidal,10
1199,parricide,9
1200,parricidious,12
1201,parrock,7
1202,parrot,6
1203,parroter,8
1204,parrotry,8
1205,parried,7
1206,parrying,8
1207,parry,5
1208,parries,7
1209,parsed,6
1210,parsing,7
1211,parse,5
1212,parsee,6
1213,parseeism,9
1214,parser,6
1215,parsimonious,12
1216,parsimony,9
1217,parsley,7
1218,parsnip,7
1219,parson,6
1220,parsonage,9
1221,parsoned,8
1222,parsonic,8
1223,parsonical,10
1224,parsonish,9
1225,part,4
1226,parted,6
1227,parting,7
1228,partable,8
1229,partage,7
1230,partook,7
1231,partaken,8
1232,partaking,9
1233,partake,7
1234,partaker,8
1235,partan,6
1236,parter,6
1237,parterre,8
1238,partheniad,10
1239,parthenic,9
1240,parthenogenesis,15
1241,parthenogenetic,15
1242,parthenogenitive,16
1243,parthenogeny,12
1244,parthenon,9
1245,partenope,9
1246,parthian,8
1247,partial,7
1248,partialism,10
1249,partialist,10
1250,partiality,10
1251,partialize,10
1252,partially,9
1253,partibility,11
1254,partible,8
1255,participable,12
1256,participant,11
1257,participantly,13
1258,participate,11
1259,participated,12
1260,participating,13
1261,participation,13
1262,participative,13
1263,participator,12
1264,participial,11
1265,participialized,15
1266,participializing,16
1267,participialize,14
1268,participially,13
1269,participle,10
1270,particle,8
1271,particolored,12
1272,particular,10
1273,particularism,13
1274,particularist,13
1275,particularities,15
1276,particularity,13
1277,particularization,17
1278,particularized,14
1279,particularizing,15
1280,particularize,13
1281,particularly,12
1282,particularment,14
1283,particulate,11
1284,partisan,8
1285,partisanship,12
1286,partita,7
1287,partite,7
1288,partition,9
1289,partitioned,11
1290,partitioning,12
1291,partitionment,13
1292,partitive,9
1293,partitively,11
1294,partlet,7
1295,partly,6
1296,partner,7
1297,partnership,11
1298,partridge,9
1299,parture,7
1300,parturiate,10
1301,parturiency,11
1302,parturient,10
1303,parturifacient,14
1304,parturious,10
1305,parturition,11
1306,parturitive,11
1307,parties,7
1308,party,5
1309,partyism,8
1310,parumbilical,12
1311,parusia,7
1312,parvanimity,11
1313,parvenu,7
1314,parvis,6
1315,parvise,7
1316,parvitude,9
1317,parvity,7
1318,parvolin,8
1319,parvoline,9
1320,pas,3
1321,pasan,5
1322,pasch,5
1323,pascha,6
1324,paschal,7
1325,paseng,6
1326,pash,4
1327,pasha,5
1328,pashalic,8
1329,pashaw,6
1330,pasigraphic,11
1331,pasigraphical,13
1332,pasigraphy,10
1333,pasilaly,8
1334,pask,4
1335,paspy,5
1336,pasque,6
1337,pasquil,7
1338,pasquilant,10
1339,pasquiler,9
1340,pasquin,7
1341,pasquinade,10
1342,passed,6
1343,passing,7
1344,pass,4
1345,passable,8
1346,passableness,12
1347,passably,8
1348,passacaglia,11
1349,passacaglio,11
1350,passade,7
1351,passado,7
1352,passage,7
1353,passager,8
1354,passageway,10
1355,passant,7
1356,passe,5
1357,passee,6
1358,passegarde,10
1359,passement,9
1360,passementerie,13
1361,passenger,9
1362,passer,6
1363,passeres,8
1364,passeriform,11
1365,passerine,9
1366,passibility,11
1367,passible,8
1368,passibleness,12
1369,passiflora,10
1370,passim,6
1371,passingly,9
1372,passion,7
1373,passioned,9
1374,passioning,10
1375,passional,9
1376,passionary,10
1377,passionate,10
1378,passionately,12
1379,passionateness,14
1380,passionist,10
1381,passionless,11
1382,passiontide,11
1383,passive,7
1384,passively,9
1385,passiveness,11
1386,passivity,9
1387,passless,8
1388,passmen,7
1389,passman,7
1390,passover,8
1391,passport,8
1392,passus,6
1393,passuses,8
1394,password,8
1395,passymeasure,12
1396,past,4
1397,paste,5
1398,pasted,6
1399,pasting,7
1400,pasteboard,10
1401,pastel,6
1402,paster,6
1403,pastern,7
1404,pasteurism,10
1405,pasteurization,14
1406,pasteurize,10
1407,pasticcio,9
1408,pastil,6
1409,pastille,8
1410,pastime,7
1411,pastor,6
1412,pastorage,9
1413,pastoral,8
1414,pastorale,9
1415,pastorally,10
1416,pastorate,9
1417,pastorless,10
1418,pastorling,10
1419,pastorly,8
1420,pastorship,10
1421,pastries,8
1422,pastry,6
1423,pasturable,10
1424,pasturage,9
1425,pasture,7
1426,pastured,8
1427,pasturing,9
1428,pastureless,11
1429,pasturer,8
1430,pasty,5
1431,pasties,7
1432,patted,6
1433,patting,7
1434,pat,3
1435,pataca,6
1436,patache,7
1437,patacoon,8
1438,patagia,7
1439,patagium,8
1440,patagonian,10
1441,patamar,7
1442,patas,5
1443,patavinity,10
1444,patch,5
1445,patched,7
1446,patching,8
1447,patcher,7
1448,patchery,8
1449,patchingly,10
1450,patchouli,9
1451,patchouly,9
1452,patchwork,9
1453,patchy,6
1454,pate,4
1455,pated,5
1456,patee,5
1457,patefaction,11
1458,patela,6
1459,patellae,8
1460,patella,7
1461,patellar,8
1462,patelliform,11
1463,patellulae,10
1464,patellula,9
1465,paten,5
1466,patena,6
1467,patency,7
1468,patent,6
1469,patented,8
1470,patenting,9
1471,patentable,10
1472,patentee,8
1473,patently,8
1474,paterae,7
1475,patera,6
1476,paterero,8
1477,pateresfamilias,15
1478,paterfamilias,13
1479,paternal,8
1480,paternalism,11
1481,paternally,10
1482,paternity,9
1483,paternoster,11
1484,paths,5
1485,path,4
1486,pathed,6
1487,pathing,7
1488,pathematic,10
1489,pathetic,8
1490,pathetical,10
1491,pathetism,9
1492,pathfinder,10
1493,pathic,6
1494,pathless,8
1495,pathmaker,9
1496,pathogene,9
1497,pathogenesis,12
1498,pathogenetic,12
1499,pathogenic,10
1500,pathogeny,9
1501,pathognomonic,13
1502,pathognomy,10
1503,pathologic,10
1504,pathological,12
1505,pathologist,11
1506,pathologies,11
1507,pathology,9
1508,pathopoela,10
1509,pathos,6
1510,pathway,7
1511,patible,7
1512,patibulary,10
1513,patibulated,11
1514,patience,8
1515,patient,7
1516,patiently,9
1517,patin,5
1518,patine,6
1519,patina,6
1520,patio,5
1521,patly,5
1522,patness,7
1523,patois,6
1524,patonce,7
1525,patrial,7
1526,patriarch,9
1527,patriarchal,11
1528,patriarchate,12
1529,patriarchdom,12
1530,patriarchic,11
1531,patriarchism,12
1532,patriarchship,13
1533,patriarchy,10
1534,patrician,9
1535,patricianism,12
1536,patriciate,10
1537,patricidal,10
1538,patricide,9
1539,patrimonial,11
1540,patrimonially,13
1541,patrimonies,11
1542,patrimony,9
1543,patriot,7
1544,patriotic,9
1545,patriotical,11
1546,patriotism,10
1547,patripassian,12
1548,patrist,7
1549,patristic,9
1550,patristical,11
1551,patristics,10
1552,patrizate,9
1553,patrocinate,11
1554,patrocination,13
1555,patrociny,9
