,D,Length
798,declaredness,12
799,declarement,11
800,declarer,8
801,declension,10
802,declensional,12
803,declinable,10
804,declinal,8
805,declinate,9
806,declination,11
807,declinator,10
808,declinatory,11
809,declinature,11
810,declined,8
811,declining,9
812,decline,7
813,decliner,8
814,declinometer,12
815,declinous,9
816,declivitous,11
817,declivous,9
818,declivities,11
819,declivity,9
820,decocted,8
821,decocting,9
822,decoct,6
823,decoctible,10
824,decoction,9
825,decocture,9
826,decollated,10
827,decollating,11
828,decollate,9
829,decollation,11
830,decollete,9
831,decolling,9
832,decolor,7
833,decolorant,10
834,decolorate,10
835,decoloration,12
836,decolorize,10
837,decomplex,9
838,decomposable,12
839,decomposed,10
840,decomposing,11
841,decompose,9
842,decomposite,11
843,decomposition,13
844,decompounded,12
845,decompounding,13
846,decompound,10
847,decompoundable,14
848,deconcentrate,13
849,deconcentration,15
850,deconcoct,9
851,deconsecrate,12
852,decorament,10
853,decorated,9
854,decorating,10
855,decorate,8
856,decoration,10
857,decorative,10
858,decorator,9
859,decore,6
860,decorement,10
861,decorous,8
862,decorticated,12
863,decorticating,13
864,decorticate,11
865,decortication,13
866,decorticator,12
867,decorum,7
868,decoyed,7
869,decoying,8
870,decoy,5
871,decoyer,7
872,decreased,9
873,decreasing,10
874,decrease,8
875,decreaseless,12
876,decreation,10
877,decree,6
878,decreed,7
879,decreeing,9
880,decreeable,10
881,decreer,7
882,decreet,7
883,decrement,9
884,decrepit,8
885,decrepitated,12
886,decrepitating,13
887,decrepitate,11
888,decrepitation,13
889,decrepitness,12
890,decrepitude,11
891,decrescendo,11
892,decrescent,10
893,decretal,8
894,decrete,7
895,decretion,9
896,decretist,9
897,decretive,9
898,decretorial,11
899,decretorily,11
900,decretory,9
901,decrew,6
902,decrial,7
903,decrier,7
904,decrown,7
905,decrustation,12
906,decried,7
907,decrying,8
908,decry,5
909,decubation,10
910,decubitus,9
911,decuman,7
912,decumbence,10
913,decumbency,10
914,decumbent,9
915,decumbently,11
916,decumbiture,11
917,decuple,7
918,decupled,8
919,decupling,9
920,decurion,8
921,decurionate,11
922,decurrence,10
923,decurrent,9
924,decursion,9
925,decursive,9
926,decursively,11
927,decurt,6
928,decurtation,11
929,decuries,8
930,decury,6
931,decussated,10
932,decussating,11
933,decussate,9
934,decussately,11
935,decussation,11
936,decussative,11
937,decussatively,13
938,decyl,5
939,decylic,7
940,dedalian,8
941,dedalous,8
942,dedans,6
943,dede,4
944,dedecorate,10
945,dedecoration,12
946,dedecorous,10
947,dedentition,11
948,dedicate,8
949,dedicated,9
950,dedicating,10
951,dedicatee,9
952,dedication,10
953,dedicator,9
954,dedicatorial,12
955,dedicatory,10
956,dedimus,7
957,dedition,8
958,dedolent,8
959,deduced,7
960,deducing,8
961,deduce,6
962,deducement,10
963,deducibility,12
964,deducible,9
965,deducibleness,13
966,deducibly,9
967,deducive,8
968,deducted,8
969,deducting,9
970,deduct,6
971,deductible,10
972,deduction,9
973,deductive,9
974,deductively,11
975,deductor,8
976,deduit,6
977,deduplication,13
978,deed,4
979,deedful,7
980,deedless,8
981,deedy,5
982,deemed,6
983,deeming,7
984,deem,4
985,deemster,8
986,deep,4
987,deepened,8
988,deepening,9
989,deepen,6
990,deeply,6
991,deepness,8
992,deer,4
993,deerberry,9
994,deergrass,9
995,deerhound,9
996,deerlet,7
997,deerskin,8
998,deerstalker,11
999,deerstalking,12
1000,dees,4
1001,deesis,6
1002,deess,5
1003,deev,4
1004,defaced,7
1005,defacing,8
1006,deface,6
1007,defacement,10
1008,defacer,7
1009,defail,6
1010,defailance,10
1011,defailure,9
1012,defalcated,10
1013,defalcating,11
1014,defalcate,9
1015,defalcation,11
1016,defalcator,10
1017,defalk,6
1018,defamation,10
1019,defamatory,10
1020,defamed,7
1021,defaming,8
1022,defame,6
1023,defamer,7
1024,defamingly,10
1025,defamous,8
1026,defatigable,11
1027,defatigate,10
1028,defatigation,12
1029,default,7
1030,defaulted,9
1031,defaulting,10
1032,defaulter,9
1033,defeasance,10
1034,defeasanced,11
1035,defeasible,10
1036,defeated,8
1037,defeating,9
1038,defeat,6
1039,defeature,9
1040,defeatured,10
1041,defecate,8
1042,defecated,9
1043,defecating,10
1044,defecation,10
1045,defecator,9
1046,defect,6
1047,defectibility,13
1048,defectible,10
1049,defection,9
1050,defectionist,12
1051,defectious,10
1052,defective,9
1053,defectuosity,12
1054,defectuous,10
1055,defedation,10
1056,defence,7
1057,defended,8
1058,defending,9
1059,defend,6
1060,defendable,10
1061,defendant,9
1062,defendee,8
1063,defender,8
1064,defendress,10
1065,defensative,11
1066,defense,7
1067,defenseless,11
1068,defenser,8
1069,defensibility,13
1070,defensible,10
1071,defensibleness,14
1072,defensive,9
1073,defensively,11
1074,defensor,8
1075,defensory,9
1076,deferred,8
1077,deferring,9
1078,defer,5
1079,deference,9
1080,deferent,8
1081,deferential,11
1082,deferentially,13
1083,deferment,9
1084,deferrer,8
1085,defervescence,13
1086,defervescency,13
1087,defeudalize,11
1088,defiance,8
1089,defiant,7
1090,defiatory,9
1091,defibrinate,11
1092,defibrination,13
1093,defibrinize,11
1094,deficience,10
1095,deficiencies,12
1096,deficiency,10
1097,deficient,9
1098,deficit,7
1099,defier,6
1100,defiguration,12
1101,defigure,8
1102,defiladed,9
1103,defilading,10
1104,defilade,8
1105,defiled,7
1106,defiling,8
1107,defile,6
1108,defilement,10
1109,defiler,7
1110,defiliation,11
1111,definable,9
1112,defined,7
1113,defining,8
1114,define,6
1115,definement,10
1116,definer,7
1117,definite,8
1118,definitely,10
1119,definiteness,12
1120,definition,10
1121,definitional,12
1122,definitive,10
1123,definitively,12
1124,definitiveness,14
1125,definitude,10
1126,defix,5
1127,deflagrability,14
1128,deflagrable,11
1129,deflagrated,11
1130,deflagrating,12
1131,deflagrate,10
1132,deflagration,12
1133,deflagrator,11
1134,deflate,7
1135,deflected,9
1136,deflecting,10
1137,deflect,7
1138,deflectable,11
1139,deflection,10
1140,deflectionization,17
1141,deflectionize,13
1142,deflective,10
1143,deflector,9
1144,deflexed,8
1145,deflexion,9
1146,deflexure,9
1147,deflorate,9
1148,defloration,11
1149,defloured,9
1150,deflouring,10
1151,deflour,7
1152,deflourer,9
1153,deflow,6
1154,deflower,8
1155,deflowerer,10
1156,defluous,8
1157,deflux,6
1158,defluxion,9
1159,defly,5
1160,defoedation,11
1161,defoliate,9
1162,defoliated,10
1163,defoliation,11
1164,deforced,8
1165,deforcing,9
1166,deforce,7
1167,deforcement,11
1168,deforceor,9
1169,deforciant,10
1170,deforciation,12
1171,deforest,8
1172,deformed,8
1173,deforming,9
1174,deform,6
1175,deformation,11
1176,deformer,8
1177,deformities,11
1178,deformity,9
1179,deforser,8
1180,defoul,6
1181,defrauded,9
1182,defrauding,10
1183,defraud,7
1184,defraudation,12
1185,defrauder,9
1186,defraudment,11
1187,defrayed,8
1188,defraying,9
1189,defray,6
1190,defrayal,8
1191,defrayer,8
1192,defrayment,10
1193,deft,4
1194,deftly,6
1195,deftness,8
1196,defunct,7
1197,defunction,10
1198,defunctive,10
1199,defuse,6
1200,defied,6
1201,defying,7
1202,defy,4
1203,degarnished,11
1204,degarnishing,12
1205,degarnish,9
1206,degarnishment,13
1207,degender,8
1208,degener,7
1209,degeneracy,10
1210,degenerate,10
1211,degenerated,11
1212,degenerating,12
1213,degenerately,12
1214,degenerateness,14
1215,degeneration,12
1216,degenerationist,15
1217,degenerative,12
1218,degenerous,10
1219,degenerously,12
1220,deglazing,9
1221,degloried,9
1222,deglutinated,12
1223,deglutinating,13
1224,deglutinate,11
1225,deglutination,13
1226,deglutition,11
1227,deglutitious,12
1228,deglutitory,11
1229,degradation,11
1230,degraded,8
1231,degrading,9
1232,degrade,7
1233,degradement,11
1234,degradingly,11
1235,degravation,11
1236,degree,6
1237,degu,4
1238,degust,6
1239,degustation,11
1240,dehisce,7
1241,dehiscence,10
1242,dehiscent,9
1243,dehonestate,11
1244,dehonestation,13
1245,dehorned,8
1246,dehorning,9
1247,dehorn,6
1248,dehors,6
1249,dehorted,8
1250,dehorting,9
1251,dehort,6
1252,dehortation,11
1253,dehortative,11
1254,dehortatory,11
1255,dehorter,8
1256,dehumanize,10
1257,dehusk,6
1258,dehydrate,9
1259,dehydration,11
1260,dehydrogenate,13
1261,dehydrogenation,15
1262,deicide,7
1263,deictic,7
1264,deictically,11
1265,deific,6
1266,deifical,8
1267,deification,11
1268,deified,7
1269,deifier,7
1270,deiform,7
1271,deiformity,10
1272,deifying,8
1273,deify,5
1274,deigned,7
1275,deigning,8
1276,deign,5
1277,deignous,8
1278,deil,4
1279,deinoceras,10
1280,deinornis,9
1281,deinosaur,9
1282,deinotherium,12
1283,deintegrate,11
1284,deinteous,9
1285,deintevous,10
1286,deiparous,9
1287,deipnosophist,13
1288,deis,4
1289,deism,5
1290,deist,5
1291,deistic,7
1292,deistical,9
1293,deistically,11
1294,deisticalness,13
1295,deitate,7
1296,deities,7
1297,deity,5
1298,dejected,8
1299,dejecting,9
1300,deject,6
1301,dejecta,7
1302,dejecter,8
1303,dejection,9
1304,dejectly,8
1305,dejectory,9
1306,dejecture,9
1307,dejerate,8
1308,dejeration,10
1309,dejeune,7
1310,dejeuner,8
1311,dekagram,8
1312,dekaliter,9
1313,dekameter,9
1314,dekastere,9
1315,dekle,5
1316,del,3
1317,delaceration,12
1318,delacrymation,13
1319,delactation,11
1320,delaine,7
1321,delamination,12
1322,delapsation,11
1323,delapsed,8
1324,delapsing,9
1325,delapse,7
1326,delapsion,9
1327,delassation,11
1328,delated,7
1329,delating,8
1330,delate,6
1331,delation,8
1332,delator,7
1333,delaware,8
1334,delawares,9
1335,delays,6
1336,delay,5
1337,delayed,7
1338,delaying,8
1339,delayer,7
1340,delayingly,10
1341,delayment,9
1342,dele,4
1343,deled,5
1344,deleing,7
1345,deleble,7
1346,delectable,10
1347,delectate,9
1348,delectation,11
1349,delectus,8
1350,delegacy,8
1351,delegate,8
1352,delegated,9
1353,delegating,10
1354,delegation,10
1355,delegatory,10
1356,delenda,7
1357,delenifical,11
1358,deleted,7
1359,deleting,8
1360,delete,6
1361,deleterious,11
1362,deletery,8
1363,deletion,8
1364,deletitious,11
1365,deletive,8
1366,deletory,8
1367,delf,4
1368,delft,5
1369,delftware,9
1370,delibate,8
1371,delibation,10
1372,deliber,7
1373,deliberate,10
1374,deliberated,11
1375,deliberating,12
1376,deliberately,12
1377,deliberateness,14
1378,deliberation,12
1379,deliberative,12
1380,deliberatively,14
1381,deliberator,11
1382,delibrated,10
1383,delibrating,11
1384,delibrate,9
1385,delibration,11
1386,delicacies,10
1387,delicacy,8
1388,delicate,8
1389,delicately,10
1390,delicateness,12
1391,delices,7
1392,deliciate,9
1393,delicious,9
1394,deliciously,11
1395,deliciousness,13
1396,delict,6
1397,deligate,8
1398,deligation,10
1399,delight,7
1400,delighted,9
1401,delighting,10
1402,delightable,11
1403,delightedly,11
1404,delighter,9
1405,delightful,10
1406,delightless,11
1407,delightous,10
1408,delightsome,11
1409,delilah,7
1410,delimit,7
1411,delimitation,12
1412,deline,6
1413,delineable,10
1414,delineament,11
1415,delineate,9
1416,delineated,10
1417,delineating,11
1418,delineation,11
1419,delineator,10
1420,delineatory,11
1421,delineature,11
1422,delinition,10
1423,delinquencies,13
1424,delinquency,11
1425,delinquent,10
1426,delinquently,12
1427,deliquate,9
1428,deliquation,11
1429,deliquesced,11
1430,deliquescing,12
1431,deliquesce,10
1432,deliquescence,13
1433,deliquescent,12
1434,deliquiate,10
1435,deliquiation,12
1436,deliquium,9
1437,deliracy,8
1438,delirament,10
1439,delirancy,9
1440,delirant,8
1441,delirate,8
1442,deliration,10
1443,deliriant,9
1444,delirifacient,13
1445,delirious,9
1446,delirium,8
1447,delit,5
1448,delitable,9
1449,delitescence,12
1450,delitescency,12
1451,delitescent,11
1452,delitigate,10
1453,delitigation,12
1454,delivered,9
1455,delivering,10
1456,deliver,7
1457,deliverable,11
1458,deliverance,11
1459,deliverer,9
1460,deliveress,10
1461,deliverly,9
1462,deliverness,11
1463,deliveries,10
1464,delivery,8
1465,dell,4
1466,dellacruscan,12
1467,deloo,5
1468,deloul,6
1469,delph,5
1470,delphian,8
1471,delphic,7
1472,delphin,7
1473,delphine,8
1474,delphinic,9
1475,delphinine,10
1476,delphinoid,10
1477,delphinoidea,12
1478,delphinus,9
1479,deltas,6
1480,delta,5
1481,deltafication,13
1482,deltaic,7
1483,delthyris,9
1484,deltic,6
1485,deltidium,9
1486,deltohedron,11
1487,deltoid,7
1488,deludable,9
1489,deluded,7
1490,deluding,8
1491,delude,6
1492,deluder,7
1493,deluge,6
1494,deluged,7
1495,deluging,8
1496,delundung,9
1497,delusion,8
1498,delusional,10
1499,delusive,8
1500,delusory,8
1501,delved,6
1502,delving,7
1503,delve,5
1504,delver,6
1505,demagnetize,11
1506,demagog,7
1507,demagogic,9
1508,demagogical,11
1509,demagogism,10
1510,demagogue,9
1511,demagogy,8
1512,demain,6
1513,demanded,8
1514,demanding,9
1515,demand,6
1516,demandable,10
1517,demandant,9
1518,demander,8
1519,demandress,10
1520,demantoid,9
1521,demarcate,9
1522,demarcation,11
1523,demarch,7
1524,demarkation,11
1525,dematerialize,13
1526,deme,4
1527,demeaned,8
1528,demeaning,9
1529,demean,6
1530,demeanance,10
1531,demeanor,8
1532,demeanure,9
1533,demency,7
1534,dement,6
1535,dementate,9
1536,dementation,11
1537,demented,8
1538,dementia,8
1539,demephitized,12
1540,demephitizing,13
1541,demephitize,11
1542,demerge,7
1543,demerit,7
1544,demerse,7
1545,demersed,8
1546,demersion,9
1547,demesmerize,11
1548,demesne,7
1549,demesnial,9
1550,demi,4
1551,demibastion,11
1552,demibrigade,11
1553,demicadence,11
1554,demicannon,10
1555,demicircle,10
1556,demiculverin,12
1557,demideify,9
1558,demidevil,9
1559,demigod,7
1560,demigoddess,11
1561,demigorge,9
1562,demigrate,9
1563,demigration,11
1564,demigroat,9
1565,demijohn,8
1566,demilance,9
1567,demilancer,10
1568,demilune,8
1569,demiman,7
1570,demimonde,9
1571,deminatured,11
1572,demiquaver,10
1573,demirelief,10
1574,demirelievo,11
1575,demirep,7
1576,demisability,12
1577,demisable,9
1578,demise,6
1579,demised,7
1580,demising,8
1581,demisemiquaver,14
1582,demiss,6
1583,demission,9
1584,demissionary,12
1585,demissive,9
1586,demissly,8
1587,demisuit,8
1588,demitted,8
1589,demitting,9
1590,demit,5
