,H,Length
322,halter,6
323,haltered,8
324,haltering,9
325,halteres,8
326,haltingly,9
327,halvans,7
328,halve,5
329,halved,6
330,halving,7
331,halwe,5
332,halysites,9
333,ham,3
334,hamadryads,10
335,hamadryades,11
336,hamadryad,9
337,hamadryas,9
338,hamamelis,9
339,hamate,6
340,hamated,7
341,hamatum,7
342,hamble,6
343,hamburg,7
344,hame,4
345,hamel,5
346,hamesecken,10
347,hamesucken,10
348,hamiform,8
349,haminura,8
350,hamite,6
351,haitic,6
352,hamlet,6
353,hamleted,8
354,hammer,6
355,hammered,8
356,hammering,9
357,hammerable,10
358,hammercloth,11
359,hammerer,8
360,hammerhead,10
361,hammerkop,9
362,hammermen,9
363,hammerman,9
364,hammochrysos,12
365,hammock,7
366,hamose,6
367,hamous,6
368,hamper,6
369,hampered,8
370,hampering,9
371,hamshackle,10
372,hamster,7
373,hamstring,9
374,hamstrung,9
375,hamstringing,12
376,hamular,7
377,hamulate,8
378,hamule,6
379,hamulose,8
380,hamuli,6
381,hamulus,7
382,hanap,5
383,hanaper,7
384,hance,5
385,hanch,5
386,hand,4
387,handed,6
388,handing,7
389,handbarrow,10
390,handbill,8
391,handbook,8
392,handbreadth,11
393,handcart,8
394,handcloth,9
395,handcraft,9
396,handcraftsman,13
397,handcuff,8
398,handcuffed,10
399,handcuffing,11
400,hander,6
401,handfast,8
402,handfasted,10
403,handfasting,11
404,handfastly,10
405,handfish,8
406,handful,7
407,handicap,8
408,handicapped,11
409,handicapping,12
410,handicapper,11
411,handicraft,10
412,handily,7
413,handiness,9
414,handiron,8
415,handiwork,9
416,handkercher,11
417,handkerchief,12
418,handled,7
419,handling,8
420,handle,6
421,handleable,10
422,handless,8
423,handmade,8
424,handmaid,8
425,handmaiden,10
426,handsaw,7
427,handsel,7
428,handseled,9
429,handseling,10
430,handselling,11
431,handsome,8
432,hadsome,7
433,handsomely,10
434,handsomeness,12
435,handspike,9
436,handspring,10
437,handwheel,9
438,handwriting,11
439,handy,5
440,handyfight,10
441,handygripe,10
442,handystroke,11
443,hanged,6
444,hung,4
445,hanging,7
446,hang,4
447,hangbird,8
448,hangdog,7
449,hanger,6
450,hangmen,7
451,hangman,7
452,hangmanship,11
453,hangnail,8
454,hangnest,8
455,hank,4
456,hankered,8
457,hankering,9
458,hanker,6
459,hankeringly,11
460,hanoverian,10
461,hansard,7
462,hanse,5
463,hanseatic,9
464,hansel,6
465,hanselines,10
466,hansom,6
467,hanuman,7
468,hap,3
469,haphazard,9
470,hapless,7
471,haplessly,9
472,haplomi,7
473,haplostemonous,14
474,haply,5
475,happed,6
476,happened,8
477,happening,9
478,happen,6
479,happily,7
480,happiness,9
481,happy,5
482,hapuku,6
483,haquebut,8
484,harangue,8
485,harangued,9
486,haranguing,10
487,harangueful,11
488,haranguer,9
489,harassed,8
490,harassing,9
491,harass,6
492,harasser,8
493,harassment,10
494,harberous,9
495,harbinger,9
496,harbingered,11
497,harbingering,12
498,harbor,6
499,harbored,8
500,harboring,9
501,harborage,9
502,harborer,8
503,harborless,10
504,harborough,10
505,harbrough,9
506,harborous,9
507,hard,4
508,hardbake,8
509,hardbeam,8
510,hardened,8
511,hardening,9
512,harden,6
513,hardener,8
514,harder,6
515,harderian,9
516,hardfavoredness,15
517,hardfern,8
518,hardhack,8
519,hardhead,8
520,harddihead,10
521,harddihood,10
522,hardily,7
523,hardiment,9
524,hardiness,9
525,hardish,7
526,hardly,6
527,hardness,8
528,hardock,7
529,hardpan,7
530,hards,5
531,hardship,8
532,hardspun,8
533,hardtail,8
534,hardware,8
535,hardwaremen,11
536,hardwareman,11
537,hardy,5
538,hare,4
539,harebell,8
540,harefoot,8
541,harehound,9
542,hareld,6
543,harelip,7
544,harem,5
545,harengiform,11
546,harfang,7
547,haricot,7
548,harier,6
549,harikari,8
550,harioiation,11
551,harish,6
552,hark,4
553,harken,6
554,harl,4
555,harle,5
556,harlequin,9
557,harlequinade,12
558,harlock,7
559,harlot,6
560,harlotize,9
561,harlotry,8
562,harm,4
563,harmed,6
564,harming,7
565,harmaline,9
566,harmattan,9
567,harmel,6
568,harmful,7
569,harmine,7
570,harmless,8
571,harmonic,8
572,harmonical,10
573,harmonica,9
574,harmonicon,10
575,harmonics,9
576,harmonious,10
577,harmoniphon,11
578,harmonist,9
579,harmonite,9
580,harmonium,9
581,harmonization,13
582,harmonized,10
583,harmonizing,11
584,harmonize,9
585,harmonizer,10
586,harmonometer,12
587,harmonies,9
588,harmony,7
589,harmost,7
590,harmotome,9
591,harness,7
592,harnessed,9
593,harnessing,10
594,harnesser,9
595,harns,5
596,harp,4
597,harped,6
598,harping,7
599,harpa,5
600,harpagon,8
601,harper,6
602,harpings,8
603,harpist,7
604,harpoon,7
605,harpooned,9
606,harpooning,10
607,harpooneer,10
608,harpooner,9
609,harpress,8
610,harpsichon,10
611,harpsichord,11
612,harpies,7
613,harpy,5
614,harquebus,9
615,harquebuse,10
616,harrage,7
617,harre,5
618,harridan,8
619,harrier,7
620,harrow,6
621,harrowed,8
622,harrowing,9
623,harrower,8
624,harried,7
625,harrying,8
626,harry,5
627,harsh,5
628,harshly,7
629,harshness,9
630,harslet,7
631,hart,4
632,hartbeest,9
633,harten,6
634,hartford,8
635,hartshorn,9
636,hartwort,8
637,haruspication,13
638,haruspice,9
639,haruspicy,9
640,harvest,7
641,harvested,9
642,harvesting,10
643,harvester,9
644,harvestless,11
645,harvestmen,10
646,harvestman,10
647,harvestry,9
648,hary,4
649,has,3
650,hasard,6
651,hase,4
652,hash,4
653,hashed,6
654,hashing,7
655,hasheesh,8
656,hashish,7
657,hask,4
658,haslet,6
659,hasp,4
660,hasped,6
661,hasping,7
662,hassock,7
663,hast,4
664,hastate,7
665,hastated,8
666,haste,5
667,hasted,6
668,hasting,7
669,hastened,8
670,hastening,9
671,hasten,6
672,hastener,8
673,hastif,6
674,hastile,7
675,hastily,7
676,hastiness,9
677,hastings,8
678,hastive,7
679,hasty,5
680,hat,3
681,hatable,7
682,hatband,7
683,hatbox,6
684,hatched,7
685,hatching,8
686,hatch,5
687,hatchel,7
688,hatcheled,9
689,hatchelled,10
690,hatcheling,10
691,hatchelling,11
692,hatcheler,9
693,hatcher,7
694,hatchery,8
695,hatchet,7
696,hatchettine,11
697,hatchettite,11
698,hatchment,9
699,hatchure,8
700,hatchway,8
701,hated,5
702,hating,6
703,hate,4
704,hateful,7
705,hatel,5
706,hater,5
707,hath,4
708,hatless,7
709,hatrack,7
710,hatred,6
711,hatstand,8
712,hatte,5
713,hatted,6
714,hatter,6
715,hatteria,8
716,hatting,7
717,hattree,7
718,haubergeon,10
719,hauberk,7
720,hauerite,8
721,haugh,5
722,haught,6
723,haughtily,9
724,haughtiness,11
725,haughty,7
726,hauled,6
727,hauling,7
728,haul,4
729,haulage,7
730,hauler,6
731,haulm,5
732,hauls,5
733,haulse,6
734,hault,5
735,haum,4
736,haunce,6
737,haunch,6
738,haunched,8
739,haunted,7
740,haunting,8
741,haunt,5
742,haunter,7
743,haurient,8
744,hausen,6
745,hausse,6
746,haustellata,11
747,haustellate,11
748,haustella,9
749,haustellum,10
750,haustoria,9
751,haustorium,10
752,haut,4
753,hautboy,7
754,hautboyist,10
755,hautein,7
756,hauteur,7
757,hautgout,8
758,hautpas,7
759,hauynite,8
760,havana,6
761,havanese,8
762,having,6
763,have,4
764,haveless,8
765,havelock,8
766,haven,5
767,havenage,8
768,havened,7
769,havener,7
770,haver,5
771,haversack,9
772,haversian,9
773,havildar,8
774,havior,6
775,havoc,5
776,haw,3
777,hawed,5
778,hawing,6
779,hawaiian,8
780,hawebake,8
781,hawfinch,8
782,hawhaw,6
783,hawk,4
784,hawked,6
785,hawking,7
786,hawkbill,8
787,hawkbit,7
788,hawker,6
789,hawkey,6
790,hawkweed,8
791,hawm,4
792,hawse,5
793,hawser,6
794,hawthorn,8
795,hay,3
796,haybird,7
797,haybote,7
798,haycock,7
799,hayfield,8
800,hayfork,7
801,hayloft,7
802,haymaker,8
803,haymaking,9
804,haymow,6
805,hayrack,7
806,hayrake,7
807,hayrick,7
808,haystack,8
809,haystalk,8
810,haythorn,8
811,haytian,7
812,hayward,7
813,hazard,6
814,hazarded,8
815,hazarding,9
816,hazardable,10
817,hazarder,8
818,hazardize,9
819,hazardous,9
820,hazardry,8
821,haze,4
822,hazed,5
823,hazing,6
824,hazel,5
825,hazeless,8
826,hazelly,7
827,hazelnut,8
828,hazelwort,9
829,hazily,6
830,haziness,8
831,hazle,5
832,hazy,4
833,he,2
834,head,4
835,headed,6
836,heading,7
837,headache,8
838,headachy,8
839,headband,8
840,headbeard,9
841,headborough,11
842,headborrow,10
843,headdress,9
844,header,6
845,headfirst,9
846,headforemost,12
847,headfish,8
848,headgear,8
849,headily,7
850,headiness,9
851,headland,8
852,headless,8
853,headlight,9
854,headline,8
855,headlong,8
856,headmen,7
857,headman,7
858,headmost,8
859,headnote,8
860,headpan,7
861,headpiece,9
862,headquarters,12
863,headrace,8
864,headroom,8
865,headrope,8
866,headsail,8
867,headshake,9
868,headship,8
869,headsmen,8
870,headsman,8
871,headspring,10
872,headstall,9
873,headstock,9
874,headstone,9
875,headstrong,10
876,headstrongness,14
877,headtire,8
878,headway,7
879,headwork,8
880,heady,5
881,heal,4
882,healed,6
883,healing,7
884,healable,8
885,healall,7
886,heald,5
887,healful,7
888,healingly,9
889,health,6
890,healthful,9
891,healthfully,11
892,healthfulness,13
893,healthily,9
894,healthiness,11
895,healthless,10
896,healthlessness,14
897,healthsome,10
898,healthward,10
899,healthy,7
900,heam,4
901,heap,4
902,heaped,6
903,heaping,7
904,heaper,6
905,heapy,5
906,heard,5
907,hearing,7
908,hear,4
909,hearer,6
910,hearkened,9
911,hearkening,10
912,hearken,7
913,hearkener,9
914,hearsal,7
915,hearsay,7
916,hearse,6
917,hearsecloth,11
918,hearselike,10
919,heart,5
920,heartache,9
921,heartbreak,10
922,heartbreaking,13
923,heartbroken,11
924,heartburn,9
925,heartburned,11
926,heartburning,12
927,heartdear,9
928,heartdeep,9
929,hearted,7
930,heartedness,11
931,hearten,7
932,heartener,9
933,heartfelt,9
934,heartgrief,10
935,hearth,6
936,hearthstone,11
937,heartily,8
938,heariness,9
939,heartless,9
940,heartlet,8
941,heartlings,10
942,heartpea,8
943,heartquake,10
944,heartrending,12
945,heartseed,9
946,heartshaped,11
947,heartsick,9
948,heartsome,9
949,heartstricken,13
950,heartstrike,11
951,heartstring,11
952,heartstruck,11
953,heartswelling,13
954,heartwood,9
955,hearty,6
956,hearties,8
957,heartyhale,10
958,heat,4
959,heated,6
960,heating,7
961,heater,6
962,heath,5
963,heathclad,9
964,heathens,8
965,heathen,7
966,heathendom,10
967,heathenesse,11
968,heathenish,10
969,heathenishly,12
970,heathenishness,14
971,heathenism,10
972,heathenized,11
973,heathenizing,12
974,heathenize,10
975,heathenness,11
976,heathenry,9
977,heather,7
978,heathery,8
979,heathy,6
980,heatingly,9
981,heatless,8
982,heaved,6
983,hove,4
984,hoven,5
985,heaving,7
986,heave,5
987,heaven,6
988,heavened,8
989,heavening,9
990,heavenize,9
991,heavenliness,12
992,heavenly,8
993,heavenlyminded,14
994,heavenward,10
995,heaver,6
996,heaves,6
997,heavily,7
998,heaviness,9
999,heavisome,9
1000,heavy,5
1001,hebdomad,8
1002,hebdomadal,10
1003,hebdomadary,11
1004,hebdomadally,12
1005,hebdomatical,12
1006,hebe,4
1007,heben,5
1008,hebenon,7
1009,hebetated,9
1010,hebetating,10
1011,hebetate,8
1012,hebetation,10
1013,hebete,6
1014,hebetude,8
1015,hebraic,7
1016,hebraically,11
1017,hebraism,8
1018,hebraist,8
1019,hebraistic,10
1020,hebraistically,14
1021,hebraize,8
1022,hebraized,9
1023,hebraizing,10
1024,hebrew,6
1025,hebrewess,9
1026,hebrician,9
1027,hebridean,9
1028,hebridian,9
1029,hecatomb,8
1030,hecatompedon,12
1031,hecdecane,9
1032,heck,4
1033,heckimal,8
1034,heckle,6
1035,hectare,7
1036,hectic,6
1037,hectocotylized,14
1038,hectocotyli,11
1039,hectocotylus,12
1040,hectogram,9
1041,hectogramme,11
1042,hectograph,10
1043,hectoliter,10
1044,hectolitre,10
1045,hectometer,10
1046,hectometre,10
1047,hector,6
1048,hectored,8
1049,hectoring,9
1050,hectorism,9
1051,hectorly,8
1052,hectostere,10
1053,heddles,7
1054,heddle,6
1055,heddling,8
1056,hederaceous,11
1057,hederal,7
1058,hederic,7
1059,hederiferous,12
1060,hederose,8
1061,hedge,5
1062,hedged,6
1063,hedging,7
1064,hedgeborn,9
1065,hedgebote,9
1066,hedgehog,8
1067,hedgeless,9
1068,hedgepig,8
1069,hedger,6
1070,hedgerow,8
1071,hedonic,7
1072,hedonistic,10
1073,heeded,6
1074,heeding,7
1075,heed,4
1076,heedful,7
1077,heedless,8
1078,heedy,5
1079,heel,4
1080,heeled,6
1081,heeling,7
1082,heelball,8
1083,heeler,6
1084,heelless,8
1085,heelpiece,9
1086,heelpost,8
1087,heelspur,8
1088,heeltap,7
1089,heeltapped,10
1090,heeltapping,11
1091,heeltool,8
1092,heep,4
1093,heer,4
1094,heft,4
1095,hefted,6
1096,hefting,7
1097,hefty,5
1098,hegelian,8
1099,hegelianism,11
1100,hegelism,8
1101,hegemonic,9
1102,hegemonical,11
1103,hegemony,8
1104,hegge,5
1105,hegira,6
1106,heifer,6
1107,height,6
1108,heightened,10
1109,heightening,11
1110,heighten,8
1111,heightener,10
1112,heinous,7
1113,heir,4
1114,heirdom,7
1115,heiress,7
1116,heirless,8
1117,heirloom,8
1118,heirship,8
1119,hejira,6
1120,hektare,7
1121,hektogram,9
1122,hektoliter,10
1123,hektometer,10
1124,hektograph,10
1125,helamys,7
1126,helcoplasty,11
1127,held,4
1128,hele,4
1129,helena,6
1130,helenin,7
1131,heliac,6
1132,heliacal,8
1133,heliacally,10
1134,helianthin,10
1135,helianthoid,11
1136,helianthoidea,13
1137,helical,7
1138,helichrysum,11
1139,heliciform,10
1140,helicin,7
1141,helicine,8
1142,helicograph,11
1143,helicoid,8
1144,helicoidal,10
1145,helicon,7
1146,heliconia,9
1147,heliconian,10
1148,helicotrema,11
1149,heliocentric,12
1150,heliocentrical,14
1151,heliochrome,11
1152,heliochromic,12
1153,heliochromy,11
1154,heliograph,10
1155,heliographic,12
1156,heliography,11
1157,heliogravure,12
1158,heliolater,10
1159,heliolatry,10
1160,heliolite,9
1161,heliometer,10
1162,heliometric,11
1163,heliometrical,13
1164,heliometry,10
1165,heliopora,9
1166,helioscope,10
1167,heliostat,9
1168,heliotrope,10
1169,heliotroper,11
1170,heliotropic,11
1171,heliotropism,12
1172,heliotype,9
1173,heliotypic,10
1174,heliotypy,9
1175,heliozoa,8
1176,helispheric,11
1177,helispherical,13
1178,helium,6
1179,helices,7
1180,helixes,7
1181,helix,5
1182,hell,4
1183,hellanodic,10
1184,hellbender,10
1185,hellborn,8
1186,hellbred,8
1187,hellbrewed,10
1188,hellbroth,9
1189,helldoomed,10
1190,hellebore,9
1191,helleborein,11
1192,helleborin,10
1193,helleborism,11
1194,hellene,7
1195,hellenian,9
1196,hellenic,8
1197,hellenism,9
1198,hellenist,9
1199,hellenistic,11
1200,hellenistical,13
1201,hellenistically,15
1202,hellenize,9
1203,hellenotype,11
1204,hellespont,10
1205,hellespontine,13
1206,hellgamite,10
1207,hellgramite,11
1208,hellhag,7
1209,hellhound,9
1210,hellier,7
1211,hellish,7
1212,hellkite,8
1213,hello,5
1214,hellward,8
1215,helly,5
1216,helm,4
1217,helmed,6
1218,helming,7
1219,helmage,7
1220,helmet,6
1221,helmeted,8
1222,helminth,8
1223,helminthagogue,14
1224,helminthes,10
1225,helminthiasis,13
1226,helminthic,10
1227,helminthite,11
1228,helminthoid,11
1229,helminthologic,14
1230,helminthological,16
1231,helminthologist,15
1232,helminthology,13
1233,helmless,8
1234,helmsmen,8
1235,helmsman,8
1236,helmwind,8
1237,helot,5
1238,helotism,8
1239,helotry,7
1240,helped,6
1241,holp,4
1242,holpen,6
1243,helping,7
1244,help,4
1245,helper,6
1246,helpful,7
1247,helpless,8
1248,helpmate,8
1249,helpmeet,8
1250,helve,5
1251,helved,6
1252,helving,7
1253,helvetian,9
1254,helvetic,8
1255,helvine,7
1256,helvite,7
1257,hem,3
1258,hemmed,6
1259,hemming,7
1260,hemachate,9
1261,hemachrome,10
1262,hemacite,8
1263,hemadrometer,12
1264,hemadromometer,14
1265,hemadrometry,12
1266,hemadromometry,14
1267,hemadynamics,12
1268,hemadynamometer,15
1269,hemal,5
1270,hemaphaein,10
1271,hemapophyses,12
1272,hemapophysis,12
1273,hemastatic,10
1274,hemastatical,12
1275,hemastatics,11
1276,hematachometer,14
1277,hematein,8
1278,hematemesis,11
1279,hematherm,9
1280,hemathermal,11
1281,hematic,7
1282,hematin,7
1283,hematinometer,13
1284,hematinometric,14
1285,hematinon,9
1286,hematite,8
1287,hematitic,9
1288,hemato,6
1289,hematocele,10
1290,hematocrya,10
1291,hematocrystallin,16
1292,hematoid,8
1293,hematoidin,10
1294,hematology,10
1295,hematoma,8
1296,hematophilia,12
1297,hematosin,9
1298,hematosis,9
1299,hematotherma,12
1300,hematothermal,13
1301,hematoxylin,11
1302,hematuria,9
1303,hemautography,13
1304,hemelytra,9
1305,hemelytron,10
1306,hemelytrum,10
1307,hemeralopia,11
1308,hemerobian,10
1309,hemerobid,9
1310,hemerocallis,12
1311,hemialbumin,11
1312,hemialbumose,12
1313,hemianaesthesia,15
1314,hemibranchi,11
1315,hemicardia,10
1316,hemicarp,8
1317,hemicerebrum,12
1318,hemicollin,10
1319,hemicrania,10
1320,hemicrany,9
1321,hemicycle,9
1322,hemidactyl,10
1323,hemiditone,10
1324,hemigamous,10
1325,hemiglyph,9
1326,hemihedral,10
1327,hemihedrism,11
1328,hemihedron,10
1329,hemiholohedral,14
1330,hemimellitic,12
1331,hemimetabola,12
1332,hemimetabolic,13
1333,hemimorphic,11
1334,hemin,5
1335,heminae,7
1336,hemina,6
1337,hemionus,8
1338,hemiopia,8
1339,hemiopsia,9
1340,hemiorthotype,13
1341,hemipeptone,11
1342,hemiplegia,10
1343,hemiplegy,9
1344,hemipode,8
1345,hemiprotein,11
1346,hemipter,8
1347,hemiptera,9
1348,hemipteral,10
1349,hemipterous,11
1350,hemipteran,10
1351,hemisected,10
1352,hemisecting,11
1353,hemisect,8
1354,hemisection,11
1355,hemisphere,10
1356,hemispheric,11
1357,hemispherical,13
1358,hemispheroid,12
1359,hemispheroidal,14
1360,hemispherule,12
1361,hemistich,9
1362,hemistichal,11
1363,hemisystole,11
1364,hemitone,8
1365,hemitropal,10
1366,hemitropous,11
1367,hemitrope,9
1368,hemitropy,9
1369,hemlock,7
1370,hemmel,6
1371,hemmer,6
1372,hemoglobin,10
1373,hemoglobinometer,16
1374,hemophilia,10
1375,hemoptysis,10
1376,hemorrhage,10
1377,hemorrhagic,11
1378,hemorrhoidal,12
1379,hemorrhoids,11
1380,hemostatic,10
1381,hemoothorax,11
1382,hemp,4
1383,hempen,6
1384,hempy,5
1385,hemself,7
1386,hemselven,9
1387,hemstitched,11
1388,hemstitching,12
1389,hemstitch,9
1390,hemuse,6
1391,hen,3
1392,henbane,7
1393,henbit,6
1394,hence,5
1395,henceforth,10
1396,henceforward,12
1397,henchboy,8
1398,henchman,8
1399,hencoop,7
1400,hende,5
1401,hendecagon,10
1402,hendecane,9
1403,hendecasyllabic,15
1404,hendecasyllable,15
1405,hendecatoic,11
1406,hendiadys,9
1407,hendy,5
1408,henen,5
1409,henfish,7
1410,heng,4
1411,henhouses,9
1412,henhouse,8
1413,henhussy,8
1414,heniquen,8
1415,henna,5
1416,hennery,7
1417,hennes,6
1418,hennotannic,11
1419,henogenesis,11
1420,henotheism,10
1421,henotic,7
1422,henpecked,9
1423,henpecking,10
1424,henpeck,7
1425,henroost,8
1426,henrys,6
1427,henry,5
1428,hente,5
1429,hent,4
1430,henware,7
1431,henxman,7
1432,hep,3
1433,hepar,5
1434,hepatic,7
1435,hepaticae,9
1436,hepatica,8
1437,hepatical,9
1438,hepatite,8
1439,hepatitis,9
1440,hepatization,12
1441,hepatized,9
1442,hepatizing,10
1443,hepatize,8
1444,hepatocele,10
1445,hepatocystic,12
1446,hepatogastric,13
1447,hepatogenic,11
1448,hepatogenous,12
1449,hepatology,10
1450,hepatorenal,11
1451,hepatoscopy,11
1452,heppen,6
1453,hepper,6
1454,hepta,5
1455,heptachord,10
1456,heptad,6
1457,heptade,7
1458,heptaglot,9
1459,heptagon,8
1460,heptagonal,10
1461,heptagynia,10
1462,heptagynian,11
1463,heptagynous,11
1464,heptahedron,11
1465,heptamerous,11
1466,heptandria,10
1467,heptandrian,11
1468,heptandrous,11
1469,heptane,7
1470,heptangular,11
1471,heptaphyllous,13
1472,heptarch,8
1473,heptarchic,10
1474,heptarchist,11
1475,heptarchy,9
1476,heptaspermous,13
1477,heptastich,10
1478,heptateuch,10
1479,heptavalent,11
1480,heptene,7
1481,heptine,7
1482,heptoic,7
1483,heptone,7
1484,heptyl,6
1485,heptylene,9
1486,heptylic,8
1487,her,3
1488,here,4
1489,heracleonite,12
1490,herakline,9
1491,herald,6
1492,heralded,8
1493,heralding,9
1494,heraldic,8
1495,heraldically,12
1496,heraldry,8
1497,heraldship,10
1498,herapathite,11
1499,heraud,6
1500,herb,4
1501,herbaceous,10
1502,herbage,7
1503,herbaged,8
1504,herbal,6
1505,herbalism,9
1506,herbalist,9
1507,herbar,6
1508,herbarian,9
1509,herbarist,9
1510,herbariums,10
1511,herbaria,8
1512,herbarium,9
1513,herbarize,9
1514,herbary,7
1515,herber,6
1516,herbergage,10
1517,herbergeour,11
1518,herbergh,8
1519,herberwe,8
1520,herbescent,10
1521,herbid,6
1522,herbiferous,11
1523,herbist,7
1524,herbivora,9
1525,herbivore,9
1526,herbivorous,11
1527,herbless,8
1528,herblet,7
1529,herborist,9
1530,herborization,13
1531,herborized,10
1532,herborizing,11
1533,herborize,9
1534,herborough,10
1535,herbose,7
