,A,Length
197,abit,4.0
198,abject,6.0
199,abjectedness,12.0
200,abjection,9.0
201,abjectly,8.0
202,abjectness,10.0
203,abjudge,7.0
204,abjudicate,10.0
205,abjudication,12.0
206,abjugate,8.0
207,abjunctive,10.0
208,abjuration,10.0
209,abjuratory,10.0
210,abjured,7.0
211,abjuring,8.0
212,abjure,6.0
213,abjurement,10.0
214,abjurer,7.0
215,ablactate,9.0
216,ablactation,11.0
217,ablaqueate,10.0
218,ablaqueation,12.0
219,ablastemic,10.0
220,ablation,8.0
221,ablatitious,11.0
222,ablative,8.0
223,ablaut,6.0
224,ablaze,6.0
225,able,4.0
226,ablegate,8.0
227,ablegation,10.0
228,ableness,8.0
229,ablepsy,7.0
230,abler,5.0
231,ablet,5.0
232,ablen,5.0
233,abligate,8.0
234,abligurition,12.0
235,ablins,6.0
236,abloom,6.0
237,ablude,6.0
238,abluent,7.0
239,ablush,6.0
240,ablution,8.0
241,ablutionary,11.0
242,abluvion,8.0
243,ably,4.0
244,abnegated,9.0
245,abnegating,10.0
246,abnegate,8.0
247,abnegation,10.0
248,abnegative,10.0
249,abnegator,9.0
250,abnet,5.0
251,abnodate,8.0
252,abnodation,10.0
253,abnormal,8.0
254,abnormalities,13.0
255,abnormality,11.0
256,abnormally,10.0
257,abnormities,11.0
258,abnormity,9.0
259,abnormous,9.0
260,aboard,6.0
261,abodance,8.0
262,abodement,9.0
263,aboding,7.0
264,abolished,9.0
265,abolishing,10.0
266,abolish,7.0
267,abolishable,11.0
268,abolisher,9.0
269,abolishment,11.0
270,abolition,9.0
271,abolitionism,12.0
272,abolitionist,12.0
273,abolitionize,12.0
274,aboma,5.0
275,abomasum,8.0
276,abomasus,8.0
277,abominable,10.0
278,abominableness,14.0
279,abominably,10.0
280,abominated,10.0
281,abominating,11.0
282,abominate,9.0
283,abomination,11.0
284,aboon,5.0
285,aboral,6.0
286,abord,5.0
287,aboriginal,10.0
288,aboriginality,13.0
289,aboriginally,12.0
290,aborigines,10.0
291,aborsement,10.0
292,aborsive,8.0
293,abort,5.0
294,aborted,7.0
295,aborticide,10.0
296,abortifacient,13.0
297,abortion,8.0
298,abortional,10.0
299,abortionist,11.0
300,abortive,8.0
301,abortively,10.0
302,abortiveness,12.0
303,abortment,9.0
304,abought,7.0
305,abounded,8.0
306,abounding,9.0
307,abound,6.0
308,about,5.0
309,above,5.0
310,aboveboard,10.0
311,abovedeck,9.0
312,abovesaid,9.0
313,abox,4.0
314,abracadabra,11.0
315,abradant,8.0
316,abraded,7.0
317,abrading,8.0
318,abrade,6.0
319,abrahamic,9.0
320,abrahamitic,11.0
321,ical,4.0
322,abraid,6.0
323,abranchial,10.0
324,abranchiata,11.0
325,abranchiate,11.0
326,abrase,6.0
327,abrasion,8.0
328,abrasive,8.0
329,abraum,6.0
330,abraxas,7.0
331,abray,5.0
332,abreast,7.0
333,abregge,7.0
334,abrenounce,10.0
335,abrenunciation,14.0
336,abreption,9.0
337,abreuvoir,9.0
338,abricock,8.0
339,abridged,8.0
340,abridging,9.0
341,abridge,7.0
342,abridger,8.0
343,abridgment,10.0
344,abroach,7.0
345,abroad,6.0
346,abrogable,9.0
347,abrogate,8.0
348,abrogated,9.0
349,abrogating,10.0
350,abrogation,10.0
351,abrogative,10.0
352,abrogator,9.0
353,abrood,6.0
354,abrook,6.0
355,abrupt,6.0
356,abruption,9.0
357,abruptly,8.0
358,abruptness,10.0
359,abscesses,9.0
360,abscess,7.0
361,abscession,10.0
362,abscind,7.0
363,abscision,9.0
364,abscisses,9.0
365,absciss,7.0
366,abscissas,9.0
367,abscissae,9.0
368,abscissa,8.0
369,abscission,10.0
370,absconded,9.0
371,absconding,10.0
372,abscond,7.0
373,abscondence,11.0
374,absconder,9.0
375,absence,7.0
376,absent,6.0
377,absented,8.0
378,absenting,9.0
379,absentaneous,12.0
380,absentation,11.0
381,absentee,8.0
382,absenteeism,11.0
383,absenter,8.0
384,absently,8.0
385,absentment,10.0
386,absentness,10.0
387,absinthate,10.0
388,absinth,7.0
389,absinthe,8.0
390,absinthial,10.0
391,absinthian,10.0
392,absinthiate,11.0
393,absinthiated,12.0
394,absinthic,9.0
395,absinthin,9.0
396,absinthism,10.0
397,absinthium,10.0
398,absis,5.0
399,absist,6.0
400,absistence,10.0
401,absolute,8.0
402,absolutely,10.0
403,absoluteness,12.0
404,absolution,10.0
405,absolutism,10.0
406,absolutist,10.0
407,absolutistic,12.0
408,absolutory,10.0
409,absolvable,10.0
410,absolvatory,11.0
411,absolved,8.0
412,absolving,9.0
413,absolve,7.0
414,absolvent,9.0
415,absolver,8.0
416,absonant,8.0
417,absonous,8.0
418,absorbed,8.0
419,absorbing,9.0
420,absorb,6.0
421,absorbability,13.0
422,absorbable,10.0
423,absorbedly,10.0
424,absorbency,10.0
425,absorbent,9.0
426,absorber,8.0
427,absorbition,11.0
428,absorpt,7.0
429,absorption,10.0
430,absorptive,10.0
431,absorptiveness,14.0
432,absorptivity,12.0
433,absquatulate,12.0
434,abstained,9.0
435,abstaining,10.0
436,abstain,7.0
437,abstainer,9.0
438,abstemious,10.0
439,abstemiousness,14.0
440,abstention,10.0
441,abstentious,11.0
442,absterge,8.0
443,abstergent,10.0
444,absterse,8.0
445,abstersion,10.0
446,abstersive,10.0
447,abstersiveness,14.0
448,abstinence,10.0
449,abstinency,10.0
450,abstinent,9.0
451,abstinently,11.0
452,abstorted,9.0
453,abstract,8.0
454,abstracted,10.0
455,abstracting,11.0
456,abstractedly,12.0
457,abstractedness,14.0
458,abstracter,10.0
459,abstraction,11.0
460,abstractional,13.0
461,abstractionist,14.0
462,abstractitious,14.0
463,abstractive,11.0
464,abstractively,13.0
465,abstractiveness,15.0
466,abstractly,10.0
467,abstractness,12.0
468,abstringe,9.0
469,abstrude,8.0
470,abstruse,8.0
471,abstrusely,10.0
472,abstruseness,12.0
473,abstrusion,10.0
474,abstrusity,10.0
475,absume,6.0
476,absumption,10.0
477,absurd,6.0
478,absurdities,11.0
479,absurdity,9.0
480,absurdly,8.0
481,absurdness,10.0
482,abuna,5.0
483,abundance,9.0
484,abundant,8.0
485,abundantly,10.0
486,aburst,6.0
487,abusable,8.0
488,abusage,7.0
489,abused,6.0
490,abusing,7.0
491,abuse,5.0
492,abuseful,8.0
493,abuser,6.0
494,abusion,7.0
495,abusive,7.0
496,abusively,9.0
497,abusiveness,11.0
498,abutted,7.0
499,abutting,8.0
500,abut,4.0
501,abutilon,8.0
502,abutment,8.0
503,abuttal,7.0
504,abutter,7.0
505,abuzz,5.0
506,aby,3.0
507,abye,4.0
508,abysm,5.0
509,abysmal,7.0
510,abysmally,9.0
511,abyss,5.0
512,abyssal,7.0
513,abyssinian,10.0
514,acacia,6.0
515,acacias,7.0
516,acaciae,7.0
517,acacin,6.0
518,acacine,7.0
519,academe,7.0
520,academial,9.0
521,academian,9.0
522,academic,8.0
523,academical,10.0
524,academically,12.0
525,academicals,11.0
526,academician,11.0
527,academicism,11.0
528,academism,9.0
529,academist,9.0
530,academies,9.0
531,academy,7.0
532,acadian,7.0
533,acajou,6.0
534,acalephs,8.0
535,acalephans,10.0
536,acaleph,7.0
537,acalephan,9.0
538,acalephae,9.0
539,acalephoid,10.0
540,acalycine,9.0
541,acalysinous,11.0
542,acanth,6.0
543,acantha,7.0
544,acanthaceous,12.0
545,acanthine,9.0
546,acanthocarpous,14.0
547,acanthocephala,14.0
548,acanthocephalous,16.0
549,acanthophorous,14.0
550,acanthopodious,14.0
551,acanthopteri,12.0
552,acanthopterous,14.0
553,acanthopterygian,16.0
554,acanthopterygii,15.0
555,acanthopterygious,17.0
556,acanthuses,10.0
557,acanthi,7.0
558,acanthus,8.0
559,acapsular,9.0
560,acardiac,8.0
561,acaridan,8.0
562,acarina,7.0
563,acarine,7.0
564,acaroid,7.0
565,acarpellous,11.0
566,acarpous,8.0
567,acari,5.0
568,acarus,6.0
569,acatalectic,11.0
570,acatalepsy,10.0
571,acataleptic,11.0
572,acater,6.0
573,acates,6.0
574,acaudate,8.0
575,acaulescent,11.0
576,acauline,8.0
577,acaulose,8.0
578,acaulous,8.0
579,accadian,8.0
580,acceded,7.0
581,acceding,8.0
582,accede,6.0
583,accedence,9.0
584,acceder,7.0
585,accelerando,11.0
586,accelerated,11.0
587,accelerating,12.0
588,accelerate,10.0
589,acceleration,12.0
590,accelerative,12.0
591,accelerator,11.0
592,acceleratory,12.0
593,accelerograph,13.0
594,accelerometer,13.0
595,accend,6.0
596,accendibility,13.0
597,accendible,10.0
598,accension,9.0
599,accensor,8.0
600,accent,6.0
601,accented,8.0
602,accenting,9.0
603,accentless,10.0
604,accentor,8.0
605,accentuable,11.0
606,accentual,9.0
607,accentuality,12.0
608,accentually,11.0
609,accentuated,11.0
610,accentuating,12.0
611,accentuate,10.0
612,accentuation,12.0
613,accepted,8.0
614,accepting,9.0
615,accept,6.0
616,acceptability,13.0
617,acceptable,10.0
618,acceptableness,14.0
619,acceptably,10.0
620,acceptance,10.0
621,acceptancy,10.0
622,acceptant,9.0
623,acceptation,11.0
624,acceptedly,10.0
625,accepter,8.0
626,acceptilation,13.0
627,acception,9.0
628,acceptive,9.0
629,acceptor,8.0
630,access,6.0
631,accessarily,11.0
632,accessariness,13.0
633,accessary,9.0
634,accessaries,11.0
635,accessibility,13.0
636,accessible,10.0
637,accessibly,10.0
638,accession,9.0
639,accessional,11.0
640,accessive,9.0
641,accessorial,11.0
642,accessorily,11.0
643,accessoriness,13.0
644,accessory,9.0
645,accessories,11.0
646,acciaccatura,12.0
647,accidence,9.0
648,accident,8.0
649,accidental,10.0
650,accidentalism,13.0
651,accidentality,13.0
652,accidentally,12.0
653,accidentalness,14.0
654,accidie,7.0
655,accipenser,10.0
656,accipient,9.0
657,accipiters,10.0
658,accipitres,10.0
659,accipiter,9.0
660,accipitral,10.0
661,accipitrine,11.0
662,accismus,8.0
663,accite,6.0
664,acclaim,7.0
665,acclaimer,9.0
666,acclamation,11.0
667,acclamatory,11.0
668,acclimatable,12.0
669,acclimatation,13.0
670,acclimated,10.0
671,acclimating,11.0
672,acclimate,9.0
673,acclimatement,13.0
674,acclimation,11.0
675,acclimatizable,14.0
676,acclimatization,15.0
677,acclimatized,12.0
678,acclimatizing,13.0
679,acclimatize,11.0
680,acclimature,11.0
681,acclive,7.0
682,acclivitous,11.0
683,acclivities,11.0
684,acclivity,9.0
685,acclivous,9.0
686,accloy,6.0
687,accoast,7.0
688,accoil,6.0
689,accolade,8.0
690,accombination,13.0
691,accommodable,12.0
692,accommodableness,16.0
693,accommodated,12.0
694,accommodating,13.0
695,accommodate,11.0
696,accommodately,13.0
697,accommodateness,15.0
698,accommodation,13.0
699,accommodator,12.0
700,accompanable,12.0
701,accompanier,11.0
702,accompaniment,13.0
703,accompanist,11.0
704,accompanied,11.0
705,accompanying,12.0
706,accompany,9.0
707,accompletive,12.0
708,accomplice,10.0
709,accompliceship,14.0
710,accomplicity,12.0
711,accomplished,12.0
712,accomplishing,13.0
713,accomplish,10.0
714,accomplishable,14.0
715,accomplisher,12.0
716,accomplishment,14.0
717,accompt,7.0
718,accomptable,11.0
719,accomptant,10.0
720,accord,6.0
721,accorded,8.0
722,according,9.0
723,accordable,10.0
724,accordance,10.0
725,accordancy,10.0
726,accordant,9.0
727,accordantly,11.0
728,accorder,8.0
729,accordingly,11.0
730,accordion,9.0
731,accordionist,12.0
732,accordment,10.0
733,accorporate,11.0
734,accosted,8.0
735,accosting,9.0
736,accost,6.0
737,accostable,10.0
738,accouchement,12.0
739,accoucheur,10.0
740,accoucheuse,11.0
741,account,7.0
742,accounted,9.0
743,accounting,10.0
744,accountability,14.0
745,accountable,11.0
746,accountably,11.0
747,accountancy,11.0
748,accountant,10.0
749,accountantship,14.0
750,accouple,8.0
751,accouplement,12.0
752,accourage,9.0
753,accourt,7.0
754,accoutered,10.0
755,accoutred,9.0
756,accoutering,11.0
757,accoutring,10.0
758,accouter,8.0
759,accoutre,8.0
760,accouterments,13.0
761,accoutrements,13.0
762,accoy,5.0
763,accredited,10.0
764,accrediting,11.0
765,accredit,8.0
766,accreditation,13.0
767,accrementitial,14.0
768,accrementition,14.0
769,accresce,8.0
770,accrescence,11.0
771,accrescent,10.0
772,accrete,7.0
773,accretion,9.0
774,accretive,9.0
775,accriminate,11.0
776,accroach,8.0
777,accroachment,12.0
778,accrual,7.0
779,accrued,7.0
780,accruing,8.0
781,accrue,6.0
782,accruer,7.0
783,accrument,9.0
784,accubation,10.0
785,accumb,6.0
786,accumbency,10.0
787,accumbent,9.0
788,accumber,8.0
789,accumulated,11.0
790,accumulating,12.0
791,accumulate,10.0
792,accumulation,12.0
793,accumulative,12.0
794,accumulator,11.0
795,accuracy,8.0
796,accurate,8.0
797,accurately,10.0
798,accurateness,12.0
799,accurse,7.0
800,accursed,8.0
801,accurst,7.0
802,accusable,9.0
803,accusal,7.0
804,accusant,8.0
805,accusation,10.0
806,accusatival,11.0
807,accusative,10.0
808,accusatively,12.0
809,accusatorial,12.0
810,accusatorially,14.0
811,accusatory,10.0
812,accuse,6.0
813,accused,7.0
814,accusing,8.0
815,accusement,10.0
816,accuser,7.0
817,accusingly,10.0
818,accustomed,10.0
819,accustoming,11.0
820,accustom,8.0
821,accustomable,12.0
822,accustomably,12.0
823,accustomance,12.0
824,accustomarily,13.0
825,accustomary,11.0
826,accustomedness,14.0
827,aces,4.0
828,ace,3.0
829,aceldama,8.0
830,acentric,8.0
831,acephal,7.0
832,acephala,8.0
833,acephalan,9.0
834,acephali,8.0
835,acephalist,10.0
836,acephalocyst,12.0
837,acephalocystic,14.0
838,acephalous,10.0
839,acerate,7.0
840,acerb,5.0
841,acerbate,8.0
842,acerbic,7.0
843,acerbitude,10.0
844,acerbity,8.0
845,aceric,6.0
846,acerose,7.0
847,acerous,7.0
848,acerval,7.0
849,acervate,8.0
850,acervation,10.0
851,acervative,10.0
852,acervose,8.0
853,acervuline,10.0
854,acescence,9.0
855,acescency,9.0
856,acescent,8.0
857,acetable,8.0
858,acetabular,10.0
859,acetabulifera,13.0
860,acetabuliferous,15.0
861,acetabuliform,13.0
862,acetabulum,10.0
863,acetal,6.0
864,acetaldehyde,12.0
865,acetamide,9.0
866,acetanilide,11.0
867,acetarious,10.0
868,acetary,7.0
869,acetate,7.0
870,acetated,8.0
871,acetic,6.0
872,acetification,13.0
873,acetifier,9.0
874,acetified,9.0
875,acetifying,10.0
876,acetify,7.0
877,acetimeter,10.0
878,acetimetry,10.0
879,acetin,6.0
880,acetize,7.0
881,acetometer,10.0
882,acetone,7.0
883,acetonic,8.0
884,acetose,7.0
885,acetosity,9.0
886,acetous,7.0
887,acetyl,6.0
888,acetylene,9.0
889,ach,3.0
890,ache,4.0
891,achaean,7.0
892,achaian,7.0
893,acharnement,11.0
894,achate,6.0
895,achatina,8.0
896,achatour,8.0
897,ached,5.0
898,aching,6.0
899,achean,6.0
900,achene,6.0
901,achenium,8.0
902,achenial,8.0
903,acheron,7.0
904,acherontic,10.0
905,achievable,10.0
906,achievance,10.0
907,achieved,8.0
908,achieving,9.0
909,achieve,7.0
910,achievement,11.0
911,achiever,8.0
912,achillean,9.0
913,achilous,8.0
914,achiote,7.0
915,achlamydate,11.0
916,achlamydeous,12.0
917,acholia,7.0
918,acholous,8.0
919,achromatic,10.0
920,achromatically,14.0
921,achromaticity,13.0
922,achromatin,10.0
923,achromatism,11.0
924,achromatization,15.0
925,achromatized,12.0
926,achromatizing,13.0
927,achromatize,11.0
928,achromatopsy,12.0
929,achronic,8.0
930,achroodextrin,13.0
931,achroous,8.0
932,achylous,8.0
933,achymous,8.0
934,aciculae,8.0
935,acicula,7.0
936,acicular,8.0
937,aciculate,9.0
938,aciculated,10.0
939,aciculiform,11.0
940,aciculite,9.0
941,acid,4.0
942,acidic,6.0
943,acidiferous,11.0
944,acidifiable,11.0
945,acidific,8.0
946,acidification,13.0
947,acidifier,9.0
948,acidified,9.0
949,acidifying,10.0
950,acidify,7.0
951,acidimeter,10.0
952,acidimetry,10.0
953,acidity,7.0
954,acidly,6.0
955,acidness,8.0
956,acidulated,10.0
957,acidulating,11.0
958,acidulate,9.0
959,acidulent,9.0
960,acidulous,9.0
961,acierage,8.0
962,aciform,7.0
963,acinaceous,10.0
964,acinaces,8.0
965,acinaciform,11.0
966,acinesia,8.0
967,acinetae,8.0
968,acinetiform,11.0
969,aciniform,9.0
970,acinose,7.0
971,acinous,7.0
972,acini,5.0
973,acinus,6.0
974,acipenser,9.0
975,aciurgy,7.0
976,acknow,6.0
977,acknowledged,12.0
978,acknowledging,13.0
979,acknowledge,11.0
980,acknowledgedly,14.0
981,acknowledger,12.0
982,acknowledgment,14.0
983,aclinic,7.0
984,acme,4.0
985,acne,4.0
986,acnodal,7.0
987,acnode,6.0
988,acock,5.0
989,acockbill,9.0
990,acold,5.0
991,acologic,8.0
992,acology,7.0
993,acolothist,10.0
994,acolyctine,10.0
995,acolyte,7.0
996,acolyth,7.0
997,acolythist,10.0
998,aconddylose,11.0
999,acondylous,10.0
1000,aconital,8.0
1001,aconite,7.0
1002,aconitia,8.0
1003,aconitic,8.0
1004,aconitine,9.0
1005,aconitum,8.0
1006,acontia,7.0
1007,acontias,8.0
1008,acopic,6.0
1009,acorn,5.0
1010,acorned,7.0
1011,acosmism,8.0
1012,acosmist,8.0
1013,acotyledon,10.0
1014,acotyledonous,13.0
1015,acouchy,7.0
1016,acoumeter,9.0
1017,acoumetry,9.0
1018,acoustic,8.0
1019,acoustical,10.0
1020,acoustically,12.0
1021,acoustician,11.0
1022,acoustics,9.0
1023,acquaint,8.0
1024,acquainted,10.0
1025,acquainting,11.0
1026,acquaintable,12.0
1027,acquaintance,12.0
1028,acquaintanceship,16.0
1029,acquaintant,11.0
1030,acquaintedness,14.0
1031,acquest,7.0
1032,acquiesced,10.0
1033,acquiescing,11.0
1034,acquiesce,9.0
1035,acquiescence,12.0
1036,acquiescency,12.0
1037,acquiescent,11.0
1038,acquiescently,13.0
1039,acquiet,7.0
1040,acquirability,13.0
1041,acquirable,10.0
1042,acquired,8.0
1043,acquiring,9.0
1044,acquire,7.0
1045,acquirement,11.0
1046,acquirer,8.0
1047,acquiry,7.0
1048,acquisite,9.0
1049,acquisition,11.0
1050,acquisitive,11.0
1051,acquisitively,13.0
1052,acquisitiveness,15.0
1053,acquisitor,10.0
1054,acquist,7.0
1055,acquit,6.0
1056,acquitted,9.0
1057,acquitting,10.0
1058,acquitment,10.0
1059,acquittal,9.0
1060,acquittance,11.0
1061,acquitter,9.0
1062,acrania,7.0
1063,acranial,8.0
1064,acrase,6.0
1065,acraze,6.0
1066,acrasia,7.0
1067,acrasy,6.0
1068,acraspeda,9.0
1069,acre,4.0
1070,acreable,8.0
1071,acreage,7.0
1072,acred,5.0
1073,acrid,5.0
1074,acridity,8.0
1075,acridness,9.0
1076,acridly,7.0
1077,acrimonious,11.0
1078,acrimoniously,13.0
1079,acrimoniousness,15.0
1080,acrimonies,10.0
1081,acrimony,8.0
1082,acrisia,7.0
1083,acrisy,6.0
1084,acrita,6.0
1085,acritan,7.0
1086,acrite,6.0
1087,acritical,9.0
1088,acritochromacy,14.0
1089,acritude,8.0
1090,acrity,6.0
1091,acroamatic,10.0
1092,acroamatical,12.0
1093,acroatic,8.0
1094,acrobat,7.0
1095,acrobatic,9.0
1096,acrobatism,10.0
1097,acrocarpous,11.0
1098,acrocephalic,12.0
1099,acrocephaly,11.0
1100,acroceraunian,13.0
1101,acrodactylum,12.0
1102,acrodont,8.0
1103,acrogen,7.0
1104,acrogenous,10.0
1105,acrolein,8.0
1106,acrolith,8.0
1107,acrolithan,10.0
1108,acrolithic,10.0
1109,acromegaly,10.0
1110,acromial,8.0
1111,acromion,8.0
1112,acromonogrammatic,17.0
1113,acronyc,7.0
1114,acronychal,10.0
1115,acronycally,11.0
1116,acronyctous,11.0
1117,acrook,6.0
1118,acropetal,9.0
1119,acrophony,9.0
1120,acropodium,10.0
1121,acropolis,9.0
1122,acropolitan,11.0
1123,acrospire,9.0
1124,acrospore,9.0
1125,acrosporous,11.0
1126,across,6.0
1127,acrostic,8.0
1128,acrostical,10.0
1129,acrostically,12.0
1130,acrotarsium,11.0
1131,acroteleutic,12.0
1132,acroter,7.0
1133,acroterial,10.0
1134,acroteria,9.0
1135,acroterium,10.0
1136,acrotic,7.0
1137,acrotism,8.0
1138,acrotomous,10.0
1139,acrylic,7.0
1140,act,3.0
1141,acted,5.0
1142,acting,6.0
1143,actable,7.0
1144,actinal,7.0
1145,actinaria,9.0
1146,actiniae,8.0
1147,actinias,8.0
1148,actinia,7.0
1149,actinic,7.0
1150,actiniform,10.0
1151,actinism,8.0
1152,actinium,8.0
1153,actinograph,11.0
1154,actinoid,8.0
1155,actinolite,10.0
1156,actinolitic,11.0
1157,actinology,10.0
1158,actinomere,10.0
1159,actinometer,11.0
1160,actinometric,12.0
1161,actinometry,11.0
1162,actinophorous,13.0
1163,actinosome,10.0
1164,actinost,8.0
1165,actinostome,11.0
1166,actinotrocha,12.0
1167,actinozoa,9.0
1168,actinozoal,10.0
1169,actinozoon,10.0
1170,actinula,8.0
1171,action,6.0
1172,actionable,10.0
1173,actionably,10.0
1174,actionary,9.0
1175,actionist,9.0
1176,actionless,10.0
1177,activate,8.0
1178,active,6.0
1179,actively,8.0
1180,activeness,10.0
1181,activities,10.0
1182,activity,8.0
1183,actless,7.0
1184,acton,5.0
1185,actor,5.0
1186,actress,7.0
1187,actual,6.0
1188,actualist,9.0
1189,actualities,11.0
1190,actuality,9.0
1191,actualization,13.0
1192,actualize,9.0
1193,actually,8.0
1194,actualness,10.0
1195,actuarial,9.0
1196,actuaries,9.0
1197,actuary,7.0
1198,actuated,8.0
1199,actuating,9.0
1200,actuate,7.0
1201,actuation,9.0
1202,actuator,8.0
1203,actuose,7.0
1204,actuosity,9.0
1205,acture,6.0
1206,acturience,10.0
1207,acuate,6.0
1208,acuation,8.0
1209,acuition,8.0
1210,acuity,6.0
1211,aculeate,8.0
1212,aculeated,9.0
1213,aculeiform,10.0
1214,aculeolate,10.0
1215,aculeous,8.0
1216,aculei,6.0
1217,aculeus,7.0
1218,acumen,6.0
1219,acuminate,9.0
1220,acumination,11.0
1221,acuminose,9.0
1222,acuminous,9.0
1223,acupressure,11.0
1224,acupuncturation,15.0
1225,acupuncture,11.0
1226,acustumaunce,12.0
1227,acutangular,11.0
1228,acute,5.0
1229,acutely,7.0
1230,acuteness,9.0
1231,acutifoliate,12.0
1232,acutilobate,11.0
1233,adact,5.0
1234,adactyl,7.0
1235,adactylous,10.0
1236,adage,5.0
1237,adagial,7.0
1238,adagio,6.0
1239,adam,4.0
1240,adamant,7.0
1241,adamantean,10.0
1242,adamantine,10.0
1243,adambulacral,12.0
1244,adamic,6.0
1245,adamical,8.0
1246,adamite,7.0
1247,adance,6.0
1248,adangle,7.0
1249,adansonia,9.0
1250,adapt,5.0
1251,adapted,7.0
1252,adapting,8.0
1253,adaptability,12.0
1254,adaptableness,13.0
1255,adaptable,9.0
1256,adaptation,10.0
1257,adaptative,10.0
1258,adaptedness,11.0
1259,adapter,7.0
1260,adaption,8.0
1261,adaptive,8.0
1262,adaptiveness,12.0
1263,adaptly,7.0
1264,adaptness,9.0
1265,adaptorial,10.0
1266,adar,4.0
1267,adarce,6.0
1268,adatis,6.0
1269,adaunt,6.0
1270,adaw,4.0
1271,adays,5.0
1272,added,5.0
1273,adding,6.0
1274,add,3.0
1275,addable,7.0
1276,addax,5.0
1277,addeem,6.0
1278,addenda,7.0
1279,addendum,8.0
1280,adder,5.0
1281,adderwort,9.0
1282,addibility,10.0
