,N,Length
234,nativeness,10.0
235,nativism,8.0
236,nativist,8.0
237,nativistic,10.0
238,nativies,8.0
239,nativity,8.0
240,natka,5.0
241,natrium,7.0
242,natrolite,9.0
243,natron,6.0
244,natter,6.0
245,natterjack,10.0
246,natty,5.0
247,natural,7.0
248,naturalism,10.0
249,naturalist,10.0
250,naturalistic,12.0
251,naturality,10.0
252,naturalization,14.0
253,naturalized,11.0
254,naturalizing,12.0
255,naturalize,10.0
256,naturally,9.0
257,naturalness,11.0
258,nature,6.0
259,natured,7.0
260,natureless,10.0
261,naturism,8.0
262,naturist,8.0
263,naturity,8.0
264,naturize,8.0
265,naufrage,8.0
266,naufragous,10.0
267,naught,6.0
268,naughtily,9.0
269,naughtiness,11.0
270,naughtly,8.0
271,naughty,7.0
272,naumachy,8.0
273,nauplii,7.0
274,nauplius,8.0
275,nauropometer,12.0
276,nauscopy,8.0
277,nausea,6.0
278,nauseant,8.0
279,nauseated,9.0
280,nauseating,10.0
281,nauseate,8.0
282,nauseation,10.0
283,nauseative,10.0
284,nauseous,8.0
285,nautch,6.0
286,nautic,6.0
287,nautical,8.0
288,nautically,10.0
289,nautiform,9.0
290,nautilite,9.0
291,nautiloid,9.0
292,nautiluses,10.0
293,nautili,7.0
294,nautilus,8.0
295,navajoes,8.0
296,naval,5.0
297,navals,6.0
298,navarch,7.0
299,navarchy,8.0
300,navarrese,9.0
301,nave,4.0
302,navel,5.0
303,navelwort,9.0
304,navew,5.0
305,navicular,9.0
306,navigability,12.0
307,navigable,9.0
308,navigated,9.0
309,navigating,10.0
310,navigate,8.0
311,navigation,10.0
312,navigator,9.0
313,navigerous,10.0
314,navies,6.0
315,navvy,5.0
316,navy,4.0
317,nawab,5.0
318,nawl,4.0
319,nay,3.0
320,nays,4.0
321,nayaur,6.0
322,nayt,4.0
323,nayward,7.0
324,nayword,7.0
325,nazarene,8.0
326,nazarite,8.0
327,nazariteship,12.0
328,nazaritic,9.0
329,nazaritism,10.0
330,naze,4.0
331,nazirite,8.0
332,ne,2.0
333,neaf,4.0
334,neal,4.0
335,neap,4.0
336,neaped,6.0
337,neapolitan,10.0
338,near,4.0
339,neared,6.0
340,nearing,7.0
341,nearctic,8.0
342,nearhand,8.0
343,nearly,6.0
344,nearness,8.0
345,nearsighted,11.0
346,nearsightedness,15.0
347,neat,4.0
348,neatherd,8.0
349,neathouse,9.0
350,neatify,7.0
351,neatly,6.0
352,neatness,8.0
353,neatress,8.0
354,neb,3.0
355,nebalia,7.0
356,nebulae,7.0
357,nebula,6.0
358,nebular,7.0
359,nebulated,9.0
360,nebulation,10.0
361,nebule,6.0
362,nebuly,6.0
363,nebulization,12.0
364,nebulize,8.0
365,nebulizer,9.0
366,nebulose,8.0
367,nebulosity,10.0
368,nebulous,8.0
369,necessarian,11.0
370,necessarianism,14.0
371,necessarily,11.0
372,necessariness,13.0
373,necessary,9.0
374,necessaries,11.0
375,necessitarian,13.0
376,necessitarianism,16.0
377,necessitated,12.0
378,necessitating,13.0
379,necessitate,11.0
380,necessitattion,14.0
381,necessitied,11.0
382,necessitous,11.0
383,necessitude,11.0
384,necessities,11.0
385,necessity,9.0
386,neck,4.0
387,necked,6.0
388,necking,7.0
389,neckband,8.0
390,neckcloth,9.0
391,neckerchief,11.0
392,necklace,8.0
393,necklaced,9.0
394,neckland,8.0
395,necklet,7.0
396,neckmold,8.0
397,neckmould,9.0
398,neckplate,9.0
399,necktie,7.0
400,neckwear,8.0
401,neckweed,8.0
402,necrobiosis,11.0
403,necrobiotic,11.0
404,necrolatry,10.0
405,necrolite,9.0
406,necrologic,10.0
407,necrological,12.0
408,necrologist,11.0
409,necrologies,11.0
410,necrology,9.0
411,necromancer,11.0
412,necromancy,10.0
413,necromantic,11.0
414,necromantical,13.0
415,necronite,9.0
416,necrophagan,11.0
417,necrophagous,12.0
418,necrophobia,11.0
419,necrophore,10.0
420,necropolises,12.0
421,necropolis,10.0
422,necropsy,8.0
423,necroscopic,11.0
424,necroscopical,13.0
425,necrose,7.0
426,necrosed,8.0
427,necrosis,8.0
428,necrotic,8.0
429,nectar,6.0
430,nectareal,9.0
431,nectarean,9.0
432,nectared,8.0
433,nectareous,10.0
434,nectarial,9.0
435,nectaried,9.0
436,nectariferous,13.0
437,nectarine,9.0
438,nectarized,10.0
439,nectarizing,11.0
440,nectarize,9.0
441,nectarous,9.0
442,nectaries,9.0
443,nectary,7.0
444,nectocalyces,12.0
445,nectocalyx,10.0
446,nectosac,8.0
447,nectosack,9.0
448,nectostem,9.0
449,nedder,6.0
450,neddies,7.0
451,neddy,5.0
452,nee,3.0
453,need,4.0
454,needed,6.0
455,needing,7.0
456,needer,6.0
457,needful,7.0
458,needily,7.0
459,neediness,9.0
460,needle,6.0
461,needlebook,10.0
462,needlecase,10.0
463,needlefish,10.0
464,needlefuls,10.0
465,needleful,9.0
466,needler,7.0
467,needless,8.0
468,needlestone,11.0
469,needlewomen,11.0
470,needlewoman,11.0
471,needlework,10.0
472,needly,6.0
473,needment,8.0
474,needs,5.0
475,needscost,9.0
476,needsly,7.0
477,needy,5.0
478,neeld,5.0
479,neele,5.0
480,neelghau,8.0
481,neer,4.0
482,neesed,6.0
483,neesing,7.0
484,neese,5.0
485,nef,3.0
486,nefand,6.0
487,nefandous,9.0
488,nefarious,9.0
489,nefasch,7.0
490,nefast,6.0
491,negation,8.0
492,negative,8.0
493,negatived,9.0
494,negativing,10.0
495,negatively,10.0
496,negativeness,12.0
497,negativity,10.0
498,negatory,8.0
499,neginoth,8.0
500,neglected,9.0
501,neglecting,10.0
502,neglect,7.0
503,neglectedness,13.0
504,neglecter,9.0
505,neglectful,10.0
506,neglectingly,12.0
507,neglection,10.0
508,neglective,10.0
509,negligee,8.0
510,negligence,10.0
511,negligent,9.0
512,negligently,11.0
513,negligible,10.0
514,negoce,6.0
515,negotiability,13.0
516,negotiable,10.0
517,negotiant,9.0
518,negotiate,9.0
519,negotiated,10.0
520,negotiating,11.0
521,negotiation,11.0
522,negotiator,10.0
523,negotiatory,11.0
524,negotiatrix,11.0
525,negotiosity,11.0
526,negotious,9.0
527,negotiousness,13.0
528,negresses,9.0
529,negress,7.0
530,negrita,7.0
531,negritic,8.0
532,negritos,8.0
533,negroes,7.0
534,negro,5.0
535,negroid,7.0
536,negroloid,9.0
537,negus,5.0
538,nehiloth,8.0
539,nehushtan,9.0
540,neif,4.0
541,neife,5.0
542,neighed,7.0
543,neighing,8.0
544,neigh,5.0
545,neighbor,8.0
546,neighbored,10.0
547,neighboring,11.0
548,neighborhood,12.0
549,neighborliness,14.0
550,neighborly,10.0
551,neighborship,12.0
552,neishout,8.0
553,neither,7.0
554,nelumbo,7.0
555,nemaline,8.0
556,nemalite,8.0
557,nematelmia,10.0
558,nemathecia,10.0
559,nemathecium,11.0
560,nemthelminthes,14.0
561,nematelminthes,14.0
562,nematoblast,11.0
563,nematocalyces,13.0
564,calyxes,7.0
565,nematocalyx,11.0
566,nematocera,10.0
567,nematocyst,10.0
568,nematode,8.0
569,nematogene,10.0
570,nematognath,11.0
571,nematognathi,12.0
572,nematoid,8.0
573,nematoidea,10.0
574,nematoidean,11.0
575,nematophora,11.0
576,nemean,6.0
577,nemetean,8.0
578,nemertes,8.0
579,nemertian,9.0
580,nemertid,8.0
581,nemertida,9.0
582,nemertina,9.0
583,nemesis,7.0
584,nemophilist,11.0
585,nemophily,9.0
586,nemoral,7.0
587,nemorous,8.0
588,nempne,6.0
589,nempt,5.0
590,nems,4.0
591,nenia,5.0
592,nenuphar,8.0
593,neocarida,9.0
594,neocene,7.0
595,neocomian,9.0
596,neocosmic,9.0
597,neocracy,8.0
598,neodamode,9.0
599,neodymium,9.0
600,neogaean,8.0
601,neogamist,9.0
602,neogen,6.0
603,neography,9.0
604,neolithic,9.0
605,neologian,9.0
606,neologianism,12.0
607,neologic,8.0
608,neological,10.0
609,neologically,12.0
610,neologism,9.0
611,neologist,9.0
612,neologistic,11.0
613,neologistical,13.0
614,neologization,13.0
615,neologize,9.0
616,neology,7.0
617,neomenia,8.0
618,neomenoidea,11.0
619,neomorph,8.0
620,neonism,7.0
621,neonomian,9.0
622,neonomianism,12.0
623,neophyte,8.0
624,neoplasia,9.0
625,neoplasm,8.0
626,neoplastic,10.0
627,neoplasty,9.0
628,neoplatonic,11.0
629,neoplatonician,14.0
630,neoplatonism,12.0
631,neoplatonist,12.0
632,neorama,7.0
633,neossine,8.0
634,neossology,10.0
635,neoteric,8.0
636,neoterical,10.0
637,neoterically,12.0
638,neoterism,9.0
639,neoterist,9.0
640,neoterized,10.0
641,neoterize,9.0
642,neotropical,11.0
643,neozoic,7.0
644,nep,3.0
645,nepa,4.0
646,nepaulese,9.0
647,nepenthe,8.0
648,nepenthes,9.0
649,nepeta,6.0
650,nephalism,9.0
651,nephalist,9.0
652,nepheline,9.0
653,nephelite,9.0
654,nephelodometer,14.0
655,nephelometer,12.0
656,nephew,6.0
657,nephilim,8.0
658,nephoscope,10.0
659,nephralgia,10.0
660,nephralgy,9.0
661,nephridial,10.0
662,nephridia,9.0
663,nephridium,10.0
664,nephrite,8.0
665,nephritic,9.0
666,nephritical,11.0
667,nephritis,9.0
668,nephrolithic,12.0
669,nephrology,10.0
670,nephrostome,11.0
671,nephrotomy,10.0
672,nepotal,7.0
673,nepotic,7.0
674,nepotism,8.0
675,nepotist,8.0
676,neptune,7.0
677,neptunian,9.0
678,neptunist,9.0
679,neptunicentric,14.0
680,neptunium,9.0
681,ner,3.0
682,nere,4.0
683,nereids,7.0
684,nereides,8.0
685,nereid,6.0
686,nereidian,9.0
687,nereis,6.0
688,nereites,8.0
689,nereocystis,11.0
690,nerfling,8.0
691,nerita,6.0
692,nerite,6.0
693,neritina,8.0
694,nero,4.0
695,neroli,6.0
696,nerre,5.0
697,nervate,7.0
698,nervation,9.0
699,nerve,5.0
700,nerved,6.0
701,nerving,7.0
702,nerveless,9.0
703,nervelessness,13.0
704,nervimotion,11.0
705,nervimotor,10.0
706,nervine,7.0
707,nervomuscular,13.0
708,nervose,7.0
709,nervosity,9.0
710,nervous,7.0
711,nervously,9.0
712,nervousness,11.0
713,nervure,7.0
714,nervy,5.0
715,nescience,9.0
716,nese,4.0
717,nesh,4.0
718,ness,4.0
719,nesslerize,10.0
720,nest,4.0
721,nestfuls,8.0
722,nestful,7.0
723,nestled,7.0
724,nestling,8.0
725,nestle,6.0
726,nestor,6.0
727,nestorian,9.0
728,nestorianism,12.0
729,ney,3.0
730,netted,6.0
731,netting,7.0
732,net,3.0
733,netfish,7.0
734,nether,6.0
735,neithermore,11.0
736,nethermost,10.0
737,nethinim,8.0
738,netify,6.0
739,nettle,6.0
740,nettled,7.0
741,nettling,8.0
742,nettlebird,10.0
743,nettler,7.0
744,nettles,7.0
745,netty,5.0
746,network,7.0
747,neurad,6.0
748,neural,6.0
749,neuralgia,9.0
750,neuralgic,9.0
751,neuralgy,8.0
752,neurapophysial,14.0
753,neurapophyses,13.0
754,neurapophysis,13.0
755,neurasthenia,12.0
756,neuration,9.0
757,neuraxis,8.0
758,neurenteric,11.0
759,neuridin,8.0
760,neurilemma,10.0
761,neurility,9.0
762,neurine,7.0
763,neurism,7.0
764,neuritis,8.0
765,neurochord,10.0
766,neurochordal,12.0
767,neurocity,9.0
768,neurocoele,10.0
769,neurocord,9.0
770,neuroglia,9.0
771,neurography,11.0
772,neurokeratin,12.0
773,neurological,12.0
774,neurologist,11.0
775,neurology,9.0
776,neuroma,7.0
777,neuromere,9.0
778,neuromuscular,13.0
779,neura,5.0
780,neuron,6.0
781,neuropathic,11.0
782,neuropathy,10.0
783,neuropod,8.0
784,neuropodium,11.0
785,neuropodous,11.0
786,neuropore,9.0
787,neuropter,9.0
788,neuroptera,10.0
789,neropteral,10.0
790,neuropteran,11.0
791,neuropteris,11.0
792,neuropterous,12.0
793,neurosensiferous,16.0
794,neurosis,8.0
795,neuroskeletal,13.0
796,neuroskeleton,13.0
797,neurospast,10.0
798,neurotic,8.0
799,neurotome,9.0
800,neurotomical,12.0
801,neurotomist,11.0
802,neurotomy,9.0
803,neurula,7.0
804,neuter,6.0
805,neutral,7.0
806,neutralist,10.0
807,neutrality,10.0
808,neutralization,14.0
809,neutralized,11.0
810,neutralizing,12.0
811,neutralize,10.0
812,neutralizer,11.0
813,neutrally,9.0
814,neuvaines,9.0
815,nevadite,8.0
816,neve,4.0
817,neven,5.0
818,never,5.0
819,nevermore,9.0
820,neverthelater,13.0
821,nevertheless,12.0
822,nevew,5.0
823,new,3.0
824,newborn,7.0
825,newcome,7.0
826,newcomer,8.0
827,newel,5.0
828,newfangle,9.0
829,newfangled,10.0
830,newfangledness,14.0
831,newfangleness,13.0
832,newfanglist,11.0
833,newfangly,9.0
834,newfashioned,12.0
835,newfoundland,12.0
836,newing,6.0
837,newish,6.0
838,newly,5.0
839,newmarket,9.0
840,newness,7.0
841,news,4.0
842,newsboy,7.0
843,newsmen,7.0
844,newsman,7.0
845,newsmonger,10.0
846,newspaper,9.0
847,newsroom,8.0
848,newsy,5.0
849,newt,4.0
850,newtonian,9.0
851,nexible,7.0
852,next,4.0
853,nexus,5.0
854,ngina,5.0
855,nias,4.0
856,nib,3.0
857,nebbed,6.0
858,nibbing,7.0
859,nibbed,6.0
860,nibbled,7.0
861,nibbling,8.0
862,nibble,6.0
863,nibbler,7.0
864,nibblingly,10.0
865,niblick,7.0
866,nicagua,7.0
867,niccolite,9.0
868,nice,4.0
869,nicely,6.0
870,nicene,6.0
871,niceness,8.0
872,nicery,6.0
873,niceties,8.0
874,nicety,6.0
875,niche,5.0
876,niched,6.0
877,nick,4.0
878,nicked,6.0
879,nicking,7.0
880,nickel,6.0
881,nickelic,8.0
882,nickeliferous,13.0
883,nickeline,9.0
884,nickelous,9.0
885,nicker,6.0
886,nickle,6.0
887,nicknack,8.0
888,nicknackery,11.0
889,nickname,8.0
890,nicknamed,9.0
891,nicknaming,10.0
892,nicolaitan,10.0
893,nicotian,8.0
894,nicotiana,9.0
895,nicotianine,11.0
896,nicotic,7.0
897,nicotidine,10.0
898,nicotine,8.0
899,nicotinic,9.0
900,nictate,7.0
901,nictation,9.0
902,nictitate,9.0
903,nictitation,11.0
904,nidamental,10.0
905,nidary,6.0
906,nide,4.0
907,nidering,8.0
908,nidgery,7.0
909,nidget,6.0
910,nidificated,11.0
911,nidificating,12.0
912,nidificate,10.0
913,nidification,12.0
914,niding,6.0
915,nidor,5.0
916,nidorose,8.0
917,nidorous,8.0
918,nidulant,8.0
919,nidulated,9.0
920,nidulating,10.0
921,nidulate,8.0
922,nidulation,10.0
923,nidulite,8.0
924,nidi,4.0
925,nidus,5.0
926,niece,5.0
927,nief,4.0
928,niellist,8.0
929,niello,6.0
930,nifle,5.0
931,niggard,7.0
932,niggardise,10.0
933,niggardish,10.0
934,niggardliness,13.0
935,niggardly,9.0
936,niggardness,11.0
937,niggardous,10.0
938,niggardship,11.0
939,niggardy,8.0
940,nigged,6.0
941,nigger,6.0
942,niggish,7.0
943,niggled,7.0
944,niggling,8.0
945,niggle,6.0
946,niggler,7.0
947,nigh,4.0
948,nighly,6.0
949,nighness,8.0
950,night,5.0
951,nightcap,8.0
952,nightdress,10.0
953,nighted,7.0
954,nightertale,11.0
955,nightfall,9.0
956,nightgown,9.0
957,nightingale,11.0
958,nightish,8.0
959,nightjar,8.0
960,nightless,9.0
961,nightlong,9.0
962,nightly,7.0
963,nightmen,8.0
964,nightman,8.0
965,nightmare,9.0
966,nightshade,10.0
967,nightshirt,10.0
968,nighttime,9.0
969,nightward,9.0
970,nigraniline,11.0
971,nigrescent,10.0
972,nigrification,13.0
973,nigrine,7.0
974,nigritude,9.0
975,nigromancie,11.0
976,nigromancien,12.0
977,nigrosine,9.0
978,nigua,5.0
979,nihil,5.0
980,nihilism,8.0
981,nihilist,8.0
982,nihilistic,10.0
983,nihility,8.0
984,nil,3.0
985,nile,4.0
986,nilgau,6.0
987,nilled,6.0
988,nilling,7.0
989,nill,4.0
990,nilometer,9.0
991,niloscope,9.0
992,nilotic,7.0
993,nilt,4.0
994,nimmed,6.0
995,nomen,5.0
996,nome,4.0
997,nim,3.0
998,nimbiferous,11.0
999,nimble,6.0
1000,nimbleness,10.0
1001,nimbless,8.0
1002,nimbly,6.0
1003,nimbose,7.0
1004,nimbi,5.0
1005,nimbuses,8.0
1006,nimbus,6.0
1007,nimiety,7.0
1008,nimious,7.0
1009,nimmer,6.0
1010,nin,3.0
1011,nincompoop,10.0
1012,nine,4.0
1013,ninefold,8.0
1014,nineholes,9.0
1015,ninepences,10.0
1016,ninepence,9.0
1017,ninepins,8.0
1018,ninescore,9.0
1019,nineteen,8.0
1020,nineteenth,10.0
1021,ninetieth,9.0
1022,ninety,6.0
1023,nineties,8.0
1024,ninnies,7.0
1025,ninny,5.0
1026,ninnyhammer,11.0
1027,ninth,5.0
1028,ninthly,7.0
1029,ninut,5.0
1030,niobate,7.0
1031,niobe,5.0
1032,niobic,6.0
1033,niobite,7.0
1034,niobium,7.0
1035,niopo,5.0
1036,nip,3.0
1037,nipped,6.0
1038,nipt,4.0
1039,nipping,7.0
1040,nipper,6.0
1041,nipperkin,9.0
1042,nippers,7.0
1043,nippingly,9.0
1044,nippitate,9.0
1045,nippitato,9.0
1046,nipple,6.0
1047,nipplewort,10.0
1048,nirvana,7.0
1049,nis,3.0
1050,nisan,5.0
1051,nyseys,6.0
1052,nisey,5.0
1053,nisi,4.0
1054,niste,5.0
1055,nisus,5.0
1056,nit,3.0
1057,nitency,7.0
1058,niter,5.0
1059,nitre,5.0
1060,nithing,7.0
1061,nitid,5.0
1062,nitranilic,10.0
1063,nitraniline,11.0
1064,nitrate,7.0
1065,nitrated,8.0
1066,nitratine,9.0
1067,nitriary,8.0
1068,nitric,6.0
1069,nitride,7.0
1070,nitriferous,11.0
1071,nitrification,13.0
1072,nitrifier,9.0
1073,nitrified,9.0
1074,nitrifying,10.0
1075,nitrify,7.0
1076,nitrile,7.0
1077,nitrite,7.0
1078,nitrobenzene,12.0
1079,nitrobenzol,11.0
1080,nitrobenzole,12.0
1081,nitrocalcite,12.0
1082,nitrocarbol,11.0
1083,nitrocellulose,14.0
1084,nitroform,9.0
1085,nitrogelatin,12.0
1086,nitrogen,8.0
1087,nitrogenized,12.0
1088,nitrogenizing,13.0
1089,nitrogenize,11.0
1090,nitrogenous,11.0
1091,nitroglycerin,13.0
1092,nitrohydrochloric,17.0
1093,nitrol,6.0
1094,nitroleum,9.0
1095,nitrolic,8.0
1096,nitromagnesite,14.0
1097,nitrometer,10.0
1098,nitromethane,12.0
1099,nitromuriatic,13.0
1100,nitrophnol,10.0
1101,nitroprussic,12.0
1102,nitroprusside,13.0
1103,nitroquinol,11.0
1104,niteosaccharin,14.0
1105,nitrosalicylic,14.0
1106,nitrose,7.0
1107,nitrosyl,8.0
1108,nitrosylic,10.0
1109,nitrous,7.0
1110,nitroxyl,8.0
1111,nitrum,6.0
1112,nitry,5.0
1113,nitryl,6.0
1114,nitter,6.0
1115,nittily,7.0
1116,nittings,8.0
1117,nitty,5.0
1118,nival,5.0
1119,niveous,7.0
1120,nivose,6.0
1121,nix,3.0
1122,nixie,5.0
1123,nizam,5.0
1124,no,2.0
1125,noes,4.0
1126,noachian,8.0
1127,noah,4.0
1128,nob,3.0
1129,nobbily,7.0
1130,nobbler,7.0
1131,nobby,5.0
1132,nobiliary,9.0
1133,nobilify,8.0
1134,nobilitate,10.0
1135,nobilitation,12.0
1136,nobility,8.0
1137,noble,5.0
1138,noblemen,8.0
1139,nobleman,8.0
1140,nobleness,9.0
1141,nobless,7.0
1142,noblesse,8.0
1143,noblewomen,10.0
1144,noblewoman,10.0
1145,nobley,6.0
1146,nobly,5.0
1147,nobodies,8.0
1148,nobody,6.0
1149,nocake,6.0
1150,nocent,6.0
1151,nocently,8.0
1152,nocive,6.0
1153,nock,4.0
1154,noctambulation,14.0
1155,noctambulism,12.0
1156,noctambulist,12.0
1157,noctambulo,10.0
1158,noctidial,9.0
1159,noctiferous,11.0
1160,noctilionid,11.0
1161,noctilucae,10.0
1162,noctiluca,9.0
1163,noctilucin,10.0
1164,noctilucine,11.0
1165,noctilucous,11.0
1166,noctivagant,11.0
1167,noctivagation,13.0
1168,noctivagous,11.0
1169,noctograph,10.0
1170,noctuary,8.0
1171,noctuid,7.0
1172,noctule,7.0
1173,nocturn,7.0
1174,nocturnal,9.0
1175,nocturnally,11.0
1176,nocturne,8.0
1177,nocument,8.0
1178,nocuous,7.0
1179,nod,3.0
1180,nodded,6.0
1181,nodding,7.0
1182,nodal,5.0
1183,nodated,7.0
1184,nodation,8.0
1185,nodder,6.0
1186,noddle,6.0
1187,noddies,7.0
1188,noddy,5.0
1189,node,4.0
1190,nodical,7.0
1191,nodosarine,10.0
1192,nodose,6.0
1193,nodosity,8.0
1194,nodosous,8.0
1195,nodous,6.0
1196,nodular,7.0
1197,nodule,6.0
1198,noduled,7.0
1199,nodulose,8.0
1200,nodulous,8.0
1201,noel,4.0
1202,noematachograph,15.0
1203,noematic,8.0
1204,noematical,10.0
1205,noemics,7.0
1206,noetian,7.0
1207,noetic,6.0
1208,noetical,8.0
1209,nof,3.0
1210,nog,3.0
1211,noggen,6.0
1212,noggin,6.0
1213,nogging,7.0
1214,noght,5.0
1215,noiance,7.0
1216,noie,4.0
1217,noier,5.0
1218,noils,5.0
1219,noint,5.0
1220,noious,6.0
1221,noise,5.0
1222,noised,6.0
1223,noising,7.0
1224,noiseful,8.0
1225,noiseless,9.0
1226,noisette,8.0
1227,noisily,7.0
1228,noisiness,9.0
1229,noisome,7.0
1230,noisy,5.0
1231,nolde,5.0
1232,nole,4.0
1233,nolition,8.0
1234,noll,4.0
1235,nolleity,8.0
1236,nolt,4.0
1237,nom,3.0
1238,noma,4.0
1239,nomad,5.0
1240,nomade,6.0
1241,nomadian,8.0
1242,nomadic,7.0
1243,nomadism,8.0
1244,nomadized,9.0
1245,nomadizing,10.0
1246,nomadize,8.0
1247,nomancy,7.0
1248,nomarch,7.0
1249,nomarchies,10.0
1250,nomarchy,8.0
1251,nombles,7.0
1252,nombril,7.0
1253,nomenclator,11.0
1254,nomenclatress,13.0
1255,nomenclatural,13.0
1256,nomenclature,12.0
1257,nomial,6.0
1258,nomic,5.0
1259,nominal,7.0
1260,nominalism,10.0
1261,nominalist,10.0
1262,nominalistic,12.0
1263,nominalize,10.0
1264,nominally,9.0
1265,nominated,9.0
1266,nominating,10.0
1267,nominate,8.0
1268,nominately,10.0
1269,nomination,10.0
1270,nominatival,11.0
1271,nominative,10.0
1272,nominatively,12.0
1273,nominator,9.0
1274,nominee,7.0
1275,nominor,7.0
1276,nomocracy,9.0
1277,nomography,10.0
1278,nomology,8.0
1279,nomopelmous,11.0
1280,nomothete,9.0
1281,nomothetic,10.0
1282,nomothetical,12.0
1283,non,3.0
1284,nonability,10.0
1285,nonacceptance,13.0
