,C,Length
220,caitiff,7
221,cajeput,7
222,cajoled,7
223,cajoling,8
224,cajole,6
225,cajolement,10
226,cajoler,7
227,cajoleries,10
228,cajolery,8
229,cajuput,7
230,cajuputene,10
231,cake,4
232,caked,5
233,caking,6
234,cal,3
235,calabar,7
236,calabarine,10
237,calabash,8
238,calaboose,9
239,calade,6
240,caladium,8
241,calaite,7
242,calamanco,9
243,calamar,7
244,calamary,8
245,calambac,8
246,calambour,9
247,calamiferous,12
248,calamine,8
249,calamint,8
250,calamist,8
251,calamistrate,12
252,calamistration,14
253,calamistrum,11
254,calamite,8
255,calamitous,10
256,calamities,10
257,calamity,8
258,calami,6
259,calamus,7
260,calando,7
261,calash,6
262,calaverite,10
263,calcaneal,9
264,calcaneum,9
265,calcar,6
266,calcaria,8
267,calcarate,9
268,calcarated,10
269,calcareous,10
270,calcareousness,14
271,calcariferous,13
272,calcarine,9
273,calcavella,10
274,calceated,9
275,calced,6
276,calcedon,8
277,calcedonic,10
278,calcedonian,11
279,calceiform,10
280,calceolaria,11
281,calceolate,10
282,calces,6
283,calcic,6
284,calciferous,11
285,calcific,8
286,calcification,13
287,calcified,9
288,calciform,9
289,calcifying,10
290,calcify,7
291,calcigenous,11
292,calcigerous,11
293,calcimine,9
294,calcimined,10
295,calcimining,11
296,calciminer,10
297,calcinable,10
298,calcinate,9
299,calcination,11
300,calcinatory,11
301,calciden,8
302,calcining,9
303,calcine,7
304,calciner,8
305,calcispongiae,13
306,calcite,7
307,calcitrant,10
308,calcitrate,10
309,calcitration,12
310,calcium,7
311,calcivorous,11
312,calcographer,12
313,calcographic,12
314,calcographical,14
315,calcography,11
316,calculable,10
317,calculary,9
318,calculater,10
319,calculating,11
320,calculate,9
321,calculated,10
322,calculation,11
323,calculative,11
324,calculator,10
325,calculatory,11
326,calcule,7
327,calculi,7
328,calculous,9
329,calculus,8
330,caldron,7
331,caleche,7
332,caledonia,9
333,caledonian,10
334,caledonite,10
335,calefacient,11
336,calefaction,11
337,calefactive,11
338,calefactor,10
339,calefactory,11
340,calefied,8
341,calefying,9
342,calefy,6
343,calembour,9
344,calendar,8
345,calendared,10
346,calendaring,11
347,calendarial,11
348,calendary,9
349,calender,8
350,calendered,10
351,calendering,11
352,calendographer,14
353,calendrer,9
354,calendric,9
355,calendrical,11
356,calends,7
357,calendula,9
358,calendulin,10
359,calenture,9
360,calescence,10
361,calves,6
362,calf,4
363,calfskin,8
364,cali,4
365,caliber,7
366,calibre,7
367,calibrate,9
368,calibration,11
369,calice,6
370,calicle,7
371,calicoes,8
372,calico,6
373,calicoback,10
374,calicular,9
375,caliculate,10
376,calid,5
377,calidity,8
378,caliduct,8
379,calif,5
380,califate,8
381,californian,11
382,caligation,10
383,caliginosity,12
384,caliginous,10
385,caligo,6
386,caligraphic,11
387,caligraphy,10
388,calin,5
389,calipash,8
390,calipee,7
391,calipers,8
392,caliph,6
393,caliphate,9
394,calippic,8
395,calistheneum,12
396,calisthenis,11
397,calisthenics,12
398,caliver,7
399,calix,5
400,calked,6
401,calking,7
402,calk,4
403,calker,6
404,calkin,6
405,called,6
406,calling,7
407,call,4
408,calla,5
409,callat,6
410,calle,5
411,caller,6
412,callet,6
413,callid,6
414,callidity,9
415,calligrapher,12
416,calligraphic,12
417,calligraphical,14
418,calligraphist,13
419,calligraphy,11
420,calliope,8
421,calliopsis,10
422,callipash,9
423,callipee,8
424,callipers,9
425,callisection,12
426,callisthenic,12
427,callisthenics,13
428,callithump,10
429,callithumpian,13
430,callosan,8
431,callose,7
432,callosities,11
433,callosity,9
434,callosum,8
435,callot,6
436,callous,7
437,callow,6
438,callus,6
439,calm,4
440,calmed,6
441,calming,7
442,calmer,6
443,calmly,6
444,calmness,8
445,calmucks,8
446,calmy,5
447,calomel,7
448,calorescence,12
449,caloric,7
450,caloricity,10
451,caloriduct,10
452,calorie,7
453,calorifacient,13
454,calorifere,10
455,calorifiant,11
456,calorific,9
457,calorification,14
458,calorificient,13
459,calorimeter,11
460,calorimetric,12
461,calorimetry,11
462,calorimotor,11
463,calotte,7
464,calotype,8
465,caloyer,7
466,calque,6
467,caltrop,7
468,caltrap,7
469,calumba,7
470,calumbin,8
471,calumet,7
472,calumniated,11
473,calumniating,12
474,calumniate,10
475,calumniation,12
476,calumniator,11
477,calumniatory,12
478,calumnious,10
479,calumnies,9
480,calumny,7
481,calvaria,8
482,calvary,7
483,calved,6
484,calving,7
485,calve,5
486,calver,6
487,calvessnout,11
488,calvinism,9
489,calvinist,9
490,calvinistic,11
491,calvinistical,13
492,calvinize,9
493,calvish,7
494,calxes,6
495,calx,4
496,calycifloral,12
497,callyciflorous,14
498,calyciform,10
499,calycinal,9
500,calycine,8
501,calycle,7
502,calycled,8
503,calycozoa,9
504,calycular,9
505,calyculate,10
506,calyculated,11
507,calymene,8
508,calyon,6
509,calypso,7
510,calyptra,8
511,calyptriform,12
512,calyxes,7
513,calyces,7
514,calyx,5
515,calzoons,8
516,cam,3
517,camaieu,7
518,camail,6
519,camarasaurus,12
520,camarilla,9
521,camass,6
522,camber,6
523,cambered,8
524,cambering,9
525,camberkeeled,12
526,cambial,7
527,cambist,7
528,cambistry,9
529,cambium,7
530,camblet,7
531,camboge,7
532,camboose,8
533,cambrasine,10
534,cambrel,7
535,cambria,7
536,cambrian,8
537,cambric,7
538,came,4
539,camel,5
540,cameleon,8
541,camellia,8
542,camelopard,10
543,camelot,7
544,camelshair,10
545,cameos,6
546,cameo,5
547,cameras,7
548,camerae,7
549,camera,6
550,camerade,8
551,cameralistic,12
552,cameralistics,13
553,camerated,9
554,camerzting,10
555,camerate,8
556,cameration,10
557,camerlingo,10
558,cameronian,10
559,camis,5
560,camisade,8
561,camisado,8
562,camisard,8
563,camisated,9
564,camisole,8
565,camlet,6
566,camleted,8
567,cammas,6
568,cammock,7
569,camomile,8
570,chamomile,9
571,camonflet,9
572,camous,6
573,camoys,6
574,camoused,8
575,camously,8
576,camp,4
577,camped,6
578,camping,7
579,campagna,8
580,campagnol,9
581,campaign,8
582,campaigner,10
583,campana,7
584,campaned,8
585,campanero,9
586,campanes,8
587,campania,8
588,campaniform,11
589,campanile,9
590,campaniliform,13
591,campanologist,13
592,campanology,11
593,campanula,9
594,campanulaceous,14
595,campanularian,13
596,campanulate,11
597,campbellite,11
598,camper,6
599,campestral,10
600,campestrian,11
601,camptight,9
602,camphene,8
603,camphine,8
604,camphire,8
605,camphogen,9
606,camphol,7
607,camphor,7
608,camphoraceous,13
609,camphorate,10
610,camporated,10
611,camphoric,9
612,camphretic,10
613,campion,7
614,campus,6
615,campylospermous,15
616,campylotropous,14
617,camus,5
618,camwood,7
619,can,3
620,canned,6
621,canning,7
622,could,5
623,canaanite,9
624,canaanitish,11
625,ca�ada,6
626,canada,6
627,canadian,8
628,canaille,8
629,canakin,7
630,canal,5
631,canaliculate,12
632,canaliculated,13
633,canaliculi,10
634,canaliculus,11
635,canalization,12
636,canard,6
637,canarese,8
638,canary,6
639,canaries,8
640,canaster,8
641,cancan,6
642,canceled,8
643,cancelled,9
644,canceling,9
645,cancelling,10
646,cancel,6
647,cancelier,9
648,canceleer,9
649,cancellarean,12
650,cancellate,10
651,cancellated,11
652,cancellation,12
653,cancelli,8
654,cancellous,10
655,cancer,6
656,cancerated,10
657,cancerate,9
658,canceration,11
659,cancerite,9
660,cancriform,10
661,cancrine,8
662,cancrinite,10
663,cancroid,8
664,cand,4
665,candelabra,10
666,candelabrums,12
667,candelabrum,11
668,candent,7
669,canderos,8
670,candescence,11
671,candicant,9
672,candid,6
673,candidacy,9
674,candidate,9
675,candidateship,13
676,candidating,11
677,candidature,11
678,candidly,8
679,candidness,10
680,candied,7
681,candify,7
682,candiot,7
683,candite,7
684,candle,6
685,candlebomb,10
686,candlefish,10
687,candleholder,12
688,candlelight,11
689,candlemas,9
690,candlestick,11
691,candlewaster,12
692,candock,7
693,candor,6
694,candroy,7
695,candying,8
696,candy,5
697,candytuft,9
698,cane,4
699,caned,5
700,caning,6
701,canebrake,9
702,canella,7
703,canescent,9
704,cannicula,9
705,canicular,9
706,canicule,8
707,caninal,7
708,canine,6
709,canes,5
710,canis,5
711,canister,8
712,canker,6
713,cankered,8
714,cankering,9
715,cankeredly,10
716,cankerous,9
717,cankerworm,10
718,cankery,7
719,canna,5
720,cannabene,9
721,cannabin,8
722,cannabine,9
723,cannabis,8
724,cannery,7
725,cannibal,8
726,cannibalism,11
727,cannibally,10
728,cannikin,8
729,cannily,7
730,canniness,9
731,cannons,7
732,cannon,6
733,cannonade,9
734,cannonading,11
735,cannoned,8
736,cannoneer,9
737,cannonier,9
738,cannonering,11
739,cannonry,8
740,cannot,6
741,cannula,7
742,cannular,8
743,cannulated,10
744,canny,5
745,cannei,6
746,canoes,6
747,canoe,5
748,canoed,6
749,canoeing,8
750,canoeist,8
751,canoemen,8
752,canoeman,8
753,canon,5
754,ca�on,5
755,canoness,8
756,canonic,7
757,cannonical,10
758,canonically,11
759,canonicalness,13
760,canonicals,10
761,canonicate,10
762,canonicity,10
763,canonist,8
764,canonistic,10
765,canonization,12
766,canonized,9
767,canonizing,10
768,canonize,8
769,canonry,7
770,canonship,9
771,canopus,7
772,canopies,8
773,canopy,6
774,canopes,7
775,canopying,9
776,canorous,8
777,canorousness,12
778,canstick,8
779,cant,4
780,canted,6
781,canting,7
782,cantab,6
783,cantabile,9
784,cantabrian,10
785,cantabrigian,12
786,cantalever,10
787,cantaloupe,10
788,cantankerous,12
789,cantar,6
790,cantarro,8
791,cantata,7
792,cantation,9
793,cantatory,9
794,cantatrice,10
795,canteen,7
796,cantel,6
797,canter,6
798,cantered,8
799,cantering,9
800,canterbury,10
801,cantharidal,11
802,cantharides,11
803,cantharidin,11
804,cantharis,9
805,canthoplasty,12
806,canthi,6
807,canthus,7
808,canticles,9
809,canticle,8
810,canticoy,8
811,cantile,7
812,cantilena,9
813,cantilever,10
814,cantillate,10
815,cantillation,12
816,cantine,7
817,cantiniere,10
818,cantion,7
819,cantle,6
820,cantlet,7
821,cantos,6
822,canto,5
823,canton,6
824,cantoned,8
825,cantoning,9
826,cantonal,8
827,cantonize,9
828,cantonment,10
829,cantoon,7
830,cantor,6
831,cantoral,8
832,cantoris,8
833,cantrap,7
834,cantrip,7
835,cantred,7
836,cantref,7
837,canty,5
838,canuck,6
839,canula,6
840,canular,7
841,canulated,9
842,canvas,6
843,canvasback,10
844,canvassed,9
845,canvassing,10
846,canvass,7
847,canvasser,9
848,cany,4
849,canyon,6
850,canzone,7
851,canzonet,8
852,caoutchin,9
853,caoutchouc,10
854,caoutchoucin,12
855,cap,3
856,capped,6
857,capping,7
858,capabilities,12
859,capability,10
860,capable,7
861,capableness,11
862,capacified,10
863,capacify,8
864,capacious,9
865,capaciosly,10
866,capaciousness,13
867,capacitated,11
868,capacitating,12
869,capacitate,10
870,capacities,10
871,capacity,8
872,capape,6
873,capapie,7
874,caparison,9
875,caparisoned,11
876,caparisoning,12
877,caparro,7
878,capcase,7
879,cape,4
880,capel,5
881,caple,5
882,capelan,7
883,capelin,7
884,cappeline,9
885,capella,7
886,capellane,9
887,capelle,7
888,capellet,8
889,capellmeister,13
890,capered,7
891,capering,8
892,caper,5
893,caperberry,10
894,capercailzie,12
895,capercally,10
896,caperclaw,9
897,caperer,7
898,capful,6
899,capias,6
900,capibara,8
901,capillaceous,12
902,capillaire,10
903,capillament,11
904,capillariness,13
905,capillarity,11
906,capillary,9
907,capillation,11
908,capillature,11
909,capilliform,11
910,capillose,9
911,capistrate,10
912,capital,7
913,capitalist,10
914,capitalization,14
915,capitalized,11
916,capitalizing,12
917,capitalize,10
918,capitally,9
919,capitalness,11
920,pacha,5
921,capitate,8
922,capitatim,9
923,capitation,10
924,capite,6
925,capitellate,11
926,capitibranchiata,16
927,capitol,7
928,capitolian,10
929,capitoline,10
930,capitula,8
931,capitular,9
932,capitularly,11
933,capitularies,12
934,capitulary,10
935,capitulated,11
936,capitulating,12
937,capitulate,10
938,capitulation,12
939,capitulator,11
940,capitule,8
941,capitulum,9
942,capivi,6
943,caplin,6
944,capling,7
945,capnomancy,10
946,capnomor,8
947,capoc,5
948,capoches,8
949,capoch,6
950,capoched,8
951,capon,5
952,caponet,7
953,caponiere,9
954,caponize,8
955,capot,5
956,capotted,8
957,capote,6
958,capouch,7
959,cappadine,9
960,cappaper,8
961,cappeak,7
962,cappella,8
963,capper,6
964,capra,5
965,caprate,7
966,capreolate,10
967,capreoline,10
968,capric,6
969,cariccio,8
970,capricioso,10
971,caprice,7
972,capricious,10
973,capricorn,9
974,caprid,6
975,caprification,13
976,caprifole,9
977,caprifoliaceous,15
978,capriform,9
979,caprigenous,11
980,caprine,7
981,capriole,8
982,capriped,8
983,caproate,8
984,caproic,7
985,caprylate,9
986,caprylic,8
987,capsaicin,9
988,capsheaf,8
989,capsicin,8
990,capsicine,9
991,capsicum,8
992,capsized,8
993,capsizing,9
994,capsize,7
995,capsquare,9
996,capstan,7
997,capstone,8
998,capsular,8
999,capsulary,9
1000,capsulate,9
1001,capsulated,10
1002,capsule,7
1003,captain,7
1004,captaincy,9
1005,captainry,9
1006,captainship,11
1007,captation,9
1008,caption,7
1009,captious,8
1010,captiously,10
1011,captiousness,12
1012,captivated,10
1013,captivating,11
1014,captivate,9
1015,captivation,11
1016,captive,7
1017,captived,8
1018,captiving,9
1019,captivity,9
1020,captor,6
1021,capture,7
1022,captured,8
1023,capturing,9
1024,capuccio,8
1025,capuched,8
1026,capuchin,8
1027,capucine,8
1028,capulet,7
1029,capulin,7
1030,capita,6
1031,caput,5
1032,capybara,8
1033,car,3
1034,carabid,7
1035,carabine,8
1036,carabineer,10
1037,caraboid,8
1038,carabus,7
1039,carac,5
1040,caracal,7
1041,caracara,8
1042,carack,6
1043,caracole,8
1044,caracoled,9
1045,caracoly,8
1046,caracore,8
1047,caracora,8
1048,carafe,6
1049,carageen,8
1050,caragheen,9
1051,carambola,9
1052,caramel,7
1053,carangoid,9
1054,caranx,6
1055,carapace,8
1056,carapato,8
1057,carapax,7
1058,carat,5
1059,caravan,7
1060,caravaneer,10
1061,caravansaries,13
1062,caravansary,11
1063,caravel,7
1064,caraway,7
1065,carbamic,8
1066,carbamide,9
1067,carbamine,9
1068,carbanil,8
1069,carbazol,8
1070,carbazotate,11
1071,carbazotic,10
1072,carbide,7
1073,carbimide,9
1074,carbine,7
1075,carbineer,9
1076,carbinol,8
1077,carbohydrate,12
1078,carbohydride,12
1079,carbolic,8
1080,carbolize,9
1081,carbon,6
1082,carbonaceous,12
1083,carbonade,9
1084,carbonado,9
1085,carbonadoed,11
1086,carbonadoing,12
1087,carbonadoes,11
1088,carbonarism,11
1089,carbonari,9
1090,carbonaro,9
1091,carbonatation,13
1092,carbonate,9
1093,carbonated,10
1094,carbone,7
1095,carbonic,8
1096,carbonide,9
1097,carboniferous,13
1098,carbonization,13
1099,carbonized,10
1100,carbonizing,11
1101,carbonize,9
1102,carbonometer,12
1103,carbonyl,8
1104,carbostyril,11
1105,carboxide,9
1106,carboxyl,8
1107,carboy,6
1108,carbuncle,9
1109,carbuncled,10
1110,carbuncular,11
1111,carbunculation,14
1112,carburet,8
1113,carbureted,10
1114,carburetted,11
1115,carbureting,11
1116,carburetting,12
1117,carburetant,11
1118,carburetor,10
1119,carburization,13
1120,carburized,10
1121,carburizing,11
1122,carburize,9
1123,carcajou,8
1124,carcanet,8
1125,carcase,7
1126,carcasses,9
1127,carcass,7
1128,carcavelhos,11
1129,carcelage,9
1130,carceral,8
1131,carcinological,14
1132,carcinology,11
1133,carcinoma,9
1134,carcinomatous,13
1135,carcinosys,10
1136,card,4
1137,carded,6
1138,carding,7
1139,cardamine,9
1140,cardamom,8
1141,cardboard,9
1142,cardcase,8
1143,cardecu,7
1144,carder,6
1145,cardia,6
1146,cardiac,7
1147,cardiacal,9
1148,cardiacle,9
1149,cardiagraph,11
1150,cardialgla,10
1151,cardialgy,9
1152,cardinal,8
1153,cardinalate,11
1154,cardinalize,11
1155,cardinalship,12
1156,cardiograph,11
1157,cardiographic,13
1158,cardioid,8
1159,cardioinhibitory,16
1160,cardiolgy,9
1161,cardiometry,11
1162,cardiosphygmograph,18
1163,carditis,8
1164,cardines,8
1165,cardo,5
1166,cardol,6
1167,cardoon,7
1168,care,4
1169,cared,5
1170,caring,6
1171,careened,8
1172,careening,9
1173,careen,6
1174,careenage,9
1175,career,6
1176,careered,8
1177,careering,9
1178,careful,7
1179,carefully,9
1180,carefulness,11
1181,careless,8
1182,carelessly,10
1183,carelessness,12
1184,carene,6
1185,caress,6
1186,caressed,8
1187,caressing,9
1188,caressingly,11
1189,caret,5
1190,caretuned,9
1191,careworn,8
1192,carex,5
1193,carf,4
1194,cargason,8
1195,cargoes,7
1196,cargo,5
1197,cargoose,8
1198,cariama,7
1199,caries,6
1200,carib,5
1201,caribbean,9
1202,caribbee,8
1203,caribe,6
1204,caribou,7
1205,caricature,10
1206,caricatured,11
1207,caricaturing,12
1208,caricaturist,12
1209,caricous,8
1210,carillon,8
1211,carina,6
1212,carinaria,9
1213,carinatae,9
1214,carinate,8
1215,carinated,9
1216,cariole,7
1217,cariopsis,9
1218,cariosity,9
1219,carious,7
1220,cark,4
1221,carkanet,8
1222,carking,7
1223,carl,4
1224,carlin,6
1225,carline,7
1226,caroline,8
1227,carling,7
1228,carlings,8
1229,carlist,7
1230,carlock,7
1231,carlot,6
1232,carlovingian,12
1233,carmagnole,10
1234,carman,6
1235,carmelite,9
1236,carmelin,8
1237,carminated,10
1238,carminative,11
1239,carmine,7
1240,carminic,8
1241,carmot,6
1242,carnage,7
1243,carnal,6
1244,carnalism,9
1245,carnalist,9
1246,carnality,9
1247,carnalized,10
1248,carnalizing,11
1249,carnalize,9
1250,carnallite,10
1251,carnally,8
1252,carnary,7
1253,carnassial,10
1254,carnate,7
1255,carnation,9
1256,carnationed,11
1257,carnauba,8
1258,carnelian,9
1259,carneous,8
1260,carney,6
1261,carnifex,8
1262,carnification,13
1263,carnify,7
1264,carnin,6
1265,carnival,8
1266,carnivora,9
1267,carnivoracity,13
1268,carnivore,9
1269,carnivorous,11
1270,carnose,7
1271,carnous,7
1272,carnosity,9
1273,carob,5
1274,caroche,7
1275,caroched,8
1276,caroigne,8
1277,carol,5
1278,caroled,7
1279,carolled,8
1280,caroling,8
1281,carolling,9
1282,carrol,6
1283,carolin,7
1284,carolinian,10
1285,carolitic,9
1286,caroluses,9
1287,caroli,6
1288,carolus,7
1289,carom,5
1290,caromel,7
1291,caroteel,8
1292,carotic,7
1293,carotid,7
1294,carotidal,9
1295,carotin,7
1296,carousal,8
1297,carouse,7
1298,caroused,8
1299,carousing,9
1300,carouser,8
1301,carousingly,11
1302,carped,6
1303,carping,7
1304,carp,4
1305,carps,5
1306,carpal,6
1307,carpalia,8
1308,carpale,7
1309,carpathian,10
1310,carpel,6
1311,carpellum,9
1312,carpellary,10
1313,carpenter,9
1314,carpentering,12
1315,carpentry,9
1316,carper,6
1317,carpet,6
1318,carpeted,8
1319,carpeting,9
1320,carpetbag,9
1321,carpetbagger,12
1322,carpetless,10
1323,carpetmonger,12
1324,carpetway,9
1325,carphology,10
1326,carpintero,10
1327,carpogenic,10
1328,carpolite,9
1329,carpological,12
1330,carpologist,11
1331,carpology,9
1332,carpophagous,12
1333,carpophore,10
1334,carpophyll,10
1335,carpophyte,10
1336,carpospore,10
1337,carpi,5
1338,carpus,6
1339,carrack,7
1340,carrageen,9
1341,carrigeen,9
1342,carrancha,9
1343,carraway,8
1344,carrel,6
1345,carriable,9
1346,carriage,8
1347,carriageable,12
1348,carriboo,8
1349,carrick,7
1350,carrier,7
1351,carrion,7
1352,carrom,6
1353,carronade,9
1354,carrot,6
1355,carroty,7
1356,carrow,6
1357,carried,7
1358,carrying,8
1359,carry,5
1360,carries,7
1361,carryall,8
1362,carryk,6
1363,carrytale,9
1364,carse,5
1365,cart,4
1366,carted,6
1367,carting,7
1368,cartage,7
1369,cartbote,8
1370,carte,5
1371,quarte,6
1372,cartel,6
1373,carter,6
1374,cartesian,9
1375,cartesianism,12
1376,carthaginian,12
1377,carthamin,9
1378,carthusian,10
1379,cartilage,9
1380,cartilagineous,14
1381,cartilaginification,19
1382,cartilaginous,13
1383,cartman,7
1384,cartographer,12
1385,cartographic,12
1386,cartographical,14
1387,cartographically,16
1388,cartography,11
1389,cartomancy,10
1390,carton,6
1391,cartoon,7
1392,cartoonist,10
1393,cartouches,10
1394,cartouch,8
1395,cartridge,9
1396,cartularies,11
1397,cartulary,9
1398,cartway,7
1399,cartwright,10
1400,carucage,8
1401,carucate,8
1402,caruncle,8
1403,caruncula,9
1404,caruncular,10
1405,carunculous,11
1406,carunculate,11
1407,carunculated,12
1408,carus,5
1409,carvacrol,9
1410,carved,6
1411,carving,7
1412,carve,5
1413,carvel,6
1414,carvelbuilt,11
1415,carven,6
1416,carvene,7
1417,carver,6
1418,carvist,7
1419,carvol,6
1420,caryatic,8
1421,caryatid,8
1422,caryatids,9
1423,caryatides,10
1424,caryophyllaceous,16
1425,caryophyllin,12
1426,caryophyllous,13
1427,caryopses,9
1428,caryopsis,9
1429,casal,5
1430,cascabel,8
1431,cascade,7
1432,cascalho,8
1433,cascarilla,10
1434,cascarillin,11
1435,case,4
1436,cased,5
1437,casing,6
1438,caseation,9
1439,caseharden,10
1440,casehardened,12
1441,casehardening,13
1442,caseic,6
1443,casein,6
1444,casemate,8
1445,casemated,9
1446,casement,8
1447,casemented,10
1448,caseous,7
1449,casern,6
1450,caseum,6
1451,caseworm,8
1452,cash,4
1453,cashed,6
1454,cashbook,8
1455,cashew,6
1456,cashier,7
1457,cahiered,8
1458,cashiering,10
1459,cashierer,9
1460,cashmere,8
1461,cashmerette,11
1462,cashoo,6
1463,casings,7
1464,casinos,7
1465,casini,6
1466,casino,6
1467,cask,4
1468,casket,6
1469,casque,6
1470,cass,4
1471,cassada,7
1472,cassareep,9
1473,cassate,7
1474,cassation,9
1475,cassava,7
1476,casserole,9
1477,cassia,6
1478,cassican,8
1479,cassideous,10
1480,cassidony,9
1481,cassimere,9
1482,cassinette,10
1483,cassino,7
1484,cassioberry,11
1485,cassiopeia,10
1486,cassiterite,11
1487,cassius,7
1488,cassock,7
1489,cassocked,9
1490,cassolette,10
1491,cassonade,9
1492,cassowaries,11
1493,cassowary,9
1494,cassumunar,10
1495,cassumuniar,11
1496,cast,4
1497,casting,7
1498,castalian,9
1499,castanea,8
1500,castanet,8
1501,castanets,9
1502,castaway,8
1503,caste,5
1504,castellan,9
1505,castellanies,12
1506,castellany,10
1507,castellated,11
1508,castellation,12
1509,caster,6
1510,castigated,10
1511,castigating,11
1512,castigate,9
1513,castigation,11
1514,castigator,10
1515,castigatory,11
1516,castilian,9
1517,castillan,9
1518,castle,6
1519,castled,7
1520,castling,8
1521,castlebuilder,13
1522,castlery,8
1523,castlet,7
1524,castleward,10
1525,castor,6
1526,castorite,9
1527,castoreum,9
1528,castorin,8
1529,castrametation,14
1530,castrated,9
1531,castrating,10
1532,castrate,8
1533,castration,10
1534,castrato,8
1535,castrel,7
1536,castrensial,11
1537,castrensian,11
1538,casual,6
1539,casualism,9
1540,casualist,9
1541,casually,8
1542,casualness,10
1543,casualties,10
1544,casualty,8
1545,casuarina,9
1546,casuist,7
1547,casuistic,9
1548,casuistieal,11
1549,casuistry,9
1550,casus,5
1551,cat,3
1552,tted,4
1553,catting,7
1554,cata,4
1555,catabaptist,11
1556,catabasion,10
1557,catabiotic,10
1558,catacaustic,11
1559,catachresis,11
1560,catachrestic,12
1561,catachrestical,14
1562,cataclysm,9
1563,cataclysmal,11
1564,cataclysmic,11
1565,cataclysmist,12
1566,catacomb,8
1567,catacoustic,11
1568,catadioptric,12
1569,catadioptrical,14
1570,catadioptrics,13
1571,catadrome,9
1572,catadromous,11
1573,catafalco,9
1574,catafalque,10
1575,catagmatic,10
